,price,volume,value
2022-05-11 12:37:48.351906,685.0,1300996461.2227564,896532352652.0516
2022-05-11 12:38:01.315527,685.0,1301002098.799896,896536216937.1278
2022-05-11 12:38:15.071737,685.0,1301009480.788237,896541277700.1786
2022-05-11 12:38:27.589494,686.0,1301022532.836699,896550230905.4235
2022-05-11 12:38:41.410715,685.0,1301060004.3053327,896575928187.5005
2022-05-11 12:38:54.253167,686.0,1301060937.6518319,896576567882.5289
2022-05-11 12:39:07.206439,686.0,1301066966.0160754,896580703340.3999
2022-05-11 12:39:20.496660,686.0,1301074749.4279041,896586035728.9429
2022-05-11 12:39:33.505452,685.0,1301098727.4001453,896602460917.4487
2022-05-11 12:39:46.011388,686.0,1301124493.269276,896620117650.6604
2022-05-11 12:39:57.915811,686.0,1301158426.40411,896643390821.2489
2022-05-11 12:40:09.363734,686.0,1301170257.5017934,896651506797.6299
2022-05-11 12:40:21.352482,685.0,1301430514.9503162,896830034150.7365
2022-05-11 12:40:34.768899,686.0,1301471967.7922304,896858433009.6056
2022-05-11 12:40:47.829376,686.0,1301488941.1861129,896870064287.809
2022-05-11 12:41:00.050642,686.0,1301508488.0288208,896883454257.6528
2022-05-11 12:41:12.914660,686.0,1301512309.0839677,896886074735.5668
2022-05-11 12:41:25.775160,686.0,1301640141.4786901,896973755892.9656
2022-05-11 12:41:39.433883,686.0,1301723775.463646,897031049813.6647
2022-05-11 12:41:51.410074,685.0,1301871239.7459247,897132099256.6814
2022-05-11 12:42:03.821831,685.0,1301902183.262987,897153292179.1798
2022-05-11 12:42:16.844857,685.0,1301929204.859539,897171799745.3988
2022-05-11 12:42:29.122999,684.0,1301939221.3573947,897178660805.3496
2022-05-11 12:42:41.199579,684.0,1301968800.1457129,897198912654.5463
2022-05-11 12:42:56.214302,684.0,1302011220.8051405,897227964570.6987
2022-05-11 12:43:08.981743,684.0,1302177081.8378174,897341416317.108
2022-05-11 12:43:22.327033,684.0,1302217491.1710014,897369065893.8507
2022-05-11 12:43:34.983622,684.0,1302259036.2654636,897397478103.2056
2022-05-11 12:43:47.976180,684.0,1302277338.4500995,897409996627.5966
2022-05-11 12:44:00.327636,685.0,1302363621.7709627,897469014706.4277
2022-05-11 12:44:13.636979,684.0,1302400428.905708,897494204456.9648
2022-05-11 12:44:26.027118,685.0,1302411809.2517583,897501993705.5116
2022-05-11 12:44:38.113830,685.0,1302508712.0046642,897568350551.7416
2022-05-11 12:44:50.916301,685.0,1302522220.7229187,897577601184.7034
2022-05-11 12:45:04.357770,684.0,1302649662.01641,897664772179.3658
2022-05-11 12:45:16.515443,684.0,1302714657.626292,897709227241.732
2022-05-11 12:45:28.212980,684.0,1302729849.2729938,897719618222.0482
2022-05-11 12:45:41.190084,684.0,1302822630.257178,897783080342.1309
2022-05-11 12:45:54.316852,684.0,1302835315.5236049,897791760958.6464
2022-05-11 12:46:07.924717,685.0,1302916971.861948,897847695453.5515
2022-05-11 12:46:20.864655,684.0,1302918333.861948,897848627061.5515
2022-05-11 12:46:33.972746,685.0,1302930683.185505,897857078559.849
2022-05-11 12:46:47.947466,684.0,1302946967.872606,897868221816.0902
2022-05-11 12:47:01.478481,684.0,1302983413.9292932,897893150918.8641
2022-05-11 12:47:14.451723,685.0,1303027195.8946023,897923134587.6218
2022-05-11 12:47:27.642151,685.0,1303031173.0162838,897925858915.9736
2022-05-11 12:47:40.848610,685.0,1303039203.2955089,897931359576.5195
2022-05-11 12:47:54.013039,685.0,1303145560.1528952,898004213116.2743
2022-05-11 12:48:07.327571,685.0,1303153350.4828498,898009545747.2567
2022-05-11 12:48:20.088099,685.0,1303156660.3241959,898011812988.5787
2022-05-11 12:48:33.652177,684.0,1303165705.4059334,898018007480.9141
2022-05-11 12:48:47.468235,685.0,1303219680.0217206,898054956046.072
2022-05-11 12:49:13.360914,685.0,1303399812.8775594,898178347052.3215
2022-05-11 12:49:25.878888,686.0,1303400360.7056935,898178722862.4215
2022-05-11 12:49:38.584012,686.0,1303401535.5796957,898179528773.5474
2022-05-11 12:49:52.484666,686.0,1303403376.822402,898180790934.3883
2022-05-11 12:50:05.154553,686.0,1303417015.6160474,898190142617.9519
2022-05-11 12:50:18.573148,685.0,1303437172.4652314,898203950117.9519
2022-05-11 12:50:32.475813,686.0,1303579396.2969155,898301375131.1774
2022-05-11 12:50:45.573148,686.0,1303586772.5156085,898306428205.4136
2022-05-11 12:50:59.546776,686.0,1303591698.683327,898309803200.1433
2022-05-11 12:51:12.836764,686.0,1303621343.8742647,898330114781.036
2022-05-11 12:51:27.245576,685.0,1304456355.4686673,898900606581.2518
2022-05-11 12:51:40.484954,684.0,1304506938.0331275,898935284591.9733
2022-05-11 12:51:53.392344,685.0,1304512139.2957623,898938846725.884
2022-05-11 12:52:06.828830,684.0,1304598558.58498,898997942403.2316
2022-05-11 12:52:20.094092,684.0,1304614556.8800032,899008884207.1669
2022-05-11 12:52:32.683828,683.0,1304648195.1903238,899031861045.5793
2022-05-11 12:52:44.954577,683.0,1304695871.55496,899064419305.5228
2022-05-11 12:52:58.896599,683.0,1304735141.8801615,899091226599.8029
2022-05-11 12:53:12.351105,683.0,1304770918.4694004,899115660228.7552
2022-05-11 12:53:25.608480,683.0,1304852625.0117886,899171465322.3634
2022-05-11 12:53:38.607495,683.0,1304891010.8651226,899197682860.1904
2022-05-11 12:53:51.697219,683.0,1304953531.6227176,899240336611.9613
2022-05-11 12:54:05.538641,683.0,1305002591.497218,899273816684.714
2022-05-11 12:54:19.320909,683.0,1305037191.090737,899297438207.0875
2022-05-11 12:54:32.506819,683.0,1305052788.5303338,899308080921.9751
2022-05-11 12:54:45.766911,682.0,1305584716.0773847,899670852246.2389
2022-05-11 12:54:58.797658,682.0,1305589780.511015,899674306189.9749
2022-05-11 12:55:11.761968,683.0,1305599351.9966564,899680838211.9022
2022-05-11 12:55:24.004483,682.0,1305615541.2766128,899691893593.4314
2022-05-11 12:55:36.273834,683.0,1305667567.7452781,899727427284.293
2022-05-11 12:55:49.935144,683.0,1305680891.3363864,899736526807.086
2022-05-11 12:56:02.281341,682.0,1305703178.8220973,899751737268.373
2022-05-11 12:56:15.169673,682.0,1305705805.470076,899753531188.8707
2022-05-11 12:56:28.325178,683.0,1305731795.9601228,899771282251.7712
2022-05-11 12:56:41.647439,683.0,1305746491.1154943,899781319042.8899
2022-05-11 12:56:55.044363,683.0,1305763248.6972353,899792768178.8813
2022-05-11 12:57:07.561879,683.0,1305793574.3454006,899813480390.3926
2022-05-11 12:57:20.144790,683.0,1305804810.6377873,899821154778.0928
2022-05-11 12:57:34.089377,684.0,1305808287.7845871,899823531689.5994
2022-05-11 12:57:47.778758,684.0,1305810307.2794988,899824912685.1064
2022-05-11 12:58:01.608738,684.0,1305820899.7491827,899832153438.6532
2022-05-11 12:58:26.048035,684.0,1305913163.5111473,899895190788.2303
2022-05-11 12:58:37.777916,684.0,1305917532.2280934,899898178284.552
2022-05-11 12:58:49.529674,684.0,1305920617.6897485,899900288740.3241
2022-05-11 12:59:01.675145,683.0,1305961044.7647486,899927940495.5942
2022-05-11 12:59:14.492445,683.0,1306007148.1995752,899959430479.8209
2022-05-11 12:59:26.696577,683.0,1306102700.0555744,900024694272.8466
2022-05-11 12:59:38.641056,683.0,1306114117.0304277,900032492216.6979
2022-05-11 12:59:50.479565,683.0,1306118714.0823357,900035632003.1511
2022-05-11 13:00:02.512625,682.0,1306125495.6292539,900040257893.5256
2022-05-11 13:00:15.639189,683.0,1306148189.1562088,900055736450.1383
2022-05-11 13:00:28.317679,683.0,1306224639.160427,900107927044.478
2022-05-11 13:00:41.270033,683.0,1306240309.729697,900118628077.976
2022-05-11 13:00:53.260276,683.0,1306263514.6780891,900134475202.8376
2022-05-11 13:01:05.708807,682.0,1306266244.7616954,900136339081.2429
2022-05-11 13:01:19.512581,683.0,1306329494.3677304,900179538920.352
2022-05-11 13:01:32.801297,683.0,1306331829.163052,900181134170.352
2022-05-11 13:01:45.153924,684.0,1306393090.3629107,900223008121.0133
2022-05-11 13:01:57.317975,683.0,1306403334.454571,900230008237.1765
2022-05-11 13:02:09.484848,683.0,1306528805.6555831,900315703914.1031
2022-05-11 13:02:21.068438,683.0,1306545046.2032862,900326796208.1843
2022-05-11 13:02:32.632080,683.0,1306621996.8152418,900379353052.2434
2022-05-11 13:02:44.734991,682.0,1306626944.111119,900382731358.9998
2022-05-11 13:02:56.131983,682.0,1306639523.8221648,900391322640.116
2022-05-11 13:03:08.819998,682.0,1306643152.2098103,900393799285.8912
2022-05-11 13:03:20.842994,682.0,1306646607.6376562,900396157792.9768
2022-05-11 13:03:32.447332,683.0,1306656688.5992272,900403034896.7253
2022-05-11 13:03:44.138264,683.0,1306662548.4330816,900407036022.5365
2022-05-11 13:03:55.492138,682.0,1306695827.612745,900429734371.1948
2022-05-11 13:04:07.220196,683.0,1306738109.1020153,900458612481.9535
2022-05-11 13:04:18.423539,683.0,1306750335.5246365,900466963128.6036
2022-05-11 13:04:30.811625,683.0,1306770514.0860252,900480743958.4948
2022-05-11 13:04:43.404758,683.0,1306953535.912578,900605747474.2484
2022-05-11 13:04:57.001898,683.0,1306965645.6874387,900614019667.811
2022-05-11 13:05:09.108211,684.0,1306970059.4843483,900617034305.7201
2022-05-11 13:05:21.770318,684.0,1307263206.9788718,900817564265.4108
2022-05-11 13:05:34.021562,685.0,1307267088.2606456,900820221193.4258
2022-05-11 13:05:47.098187,685.0,1307273009.3418925,900824277134.0798
2022-05-11 13:05:59.935204,686.0,1307536791.3993099,901004969298.9502
2022-05-11 13:06:12.196048,686.0,1307934215.6379576,901277601886.2174
2022-05-11 13:06:23.851400,687.0,1307947177.6537552,901286499908.3839
2022-05-11 13:06:35.037344,687.0,1308046398.4739592,901354659979.582
2022-05-11 13:06:47.062286,686.0,1308127023.7969193,901409969975.8778
2022-05-11 13:06:58.597338,686.0,1308128878.4360228,901411242008.0311
2022-05-11 13:07:10.687768,686.0,1308144360.4411907,901421852489.8044
2022-05-11 13:07:22.941907,685.0,1308163694.6832805,901435098007.2484
2022-05-11 13:07:34.641335,685.0,1308176923.9778035,901444160416.7233
2022-05-11 13:07:46.650684,685.0,1308249408.1765053,901493795826.5894
2022-05-11 13:07:58.695560,686.0,1308254122.402218,901497027663.6737
2022-05-11 13:08:11.521387,686.0,1308254122.402218,901497027663.6737
2022-05-11 13:08:24.186985,686.0,1308388685.3742256,901589336534.4708
2022-05-11 13:08:36.763655,686.0,1308396309.2120326,901594566538.2894
2022-05-11 13:08:49.545282,687.0,1308639224.1880305,901761209096.923
2022-05-11 13:09:02.180329,686.0,1308734873.282833,901826824571.8699
2022-05-11 13:09:15.197922,686.0,1308735147.2373521,901827012504.6698
2022-05-11 13:09:28.107997,686.0,1308737690.1504312,901828756598.113
2022-05-11 13:09:40.962262,686.0,1308786442.664412,901862199432.954
2022-05-11 13:09:53.233229,686.0,1308813361.5686991,901880660028.0476
2022-05-11 13:10:05.484432,686.0,1308829659.2324884,901891840225.4071
2022-05-11 13:10:18.047353,686.0,1308830138.051825,901892168695.472
2022-05-11 13:10:30.567726,686.0,1308874865.8577495,901922851970.3362
2022-05-11 13:10:42.892919,685.0,1308886727.218221,901930984021.626
2022-05-11 13:10:55.265704,684.0,1309094523.8016636,902073218162.789
2022-05-11 13:11:08.801067,683.0,1309255950.5247903,902183631549.414
2022-05-11 13:11:21.753727,684.0,1309256636.0247526,902184099996.0751
2022-05-11 13:11:34.403060,684.0,1309262847.118907,902188346970.324
2022-05-11 13:11:47.206659,684.0,1309276947.6369345,902197990521.6168
2022-05-11 13:11:59.374133,684.0,1309344201.5436819,902243967296.921
2022-05-11 13:12:13.074171,685.0,1309415808.039397,902292952215.1049
2022-05-11 13:12:26.962308,684.0,1309476355.2249064,902334365722.4984
2022-05-11 13:12:40.969250,684.0,1309505260.4252343,902354136908.7198
2022-05-11 13:12:53.760703,684.0,1309785832.428543,902546050823.5889
2022-05-11 13:13:09.068438,685.0,1309997550.1561363,902690882696.302
2022-05-11 13:13:23.485631,685.0,1310008283.5764396,902698228267.4574
2022-05-11 13:13:37.898334,684.0,1310015746.5227652,902703330499.361
2022-05-11 13:13:50.358595,684.0,1310028927.7847815,902712343516.124
2022-05-11 13:14:03.773821,684.0,1310037288.5573142,902718060567.1326
2022-05-11 13:14:17.789937,684.0,1310053584.5224473,902729196510.5704
2022-05-11 13:14:31.517685,683.0,1310062973.3499858,902735613986.1407
2022-05-11 13:14:45.470842,684.0,1310099760.2007456,902760770016.4221
2022-05-11 13:14:58.354786,683.0,1310114211.9061422,902770645717.6044
2022-05-11 13:15:11.337164,684.0,1310169634.2966166,902808513531.6888
2022-05-11 13:15:26.166651,684.0,1310181114.000944,902816363449.4489
2022-05-11 13:15:40.800723,686.0,1310316913.7853975,902909292576.1106
2022-05-11 13:15:54.769332,686.0,1310330786.1280422,902918805980.5991
2022-05-11 13:16:08.745049,687.0,1310517306.6928463,903046760788.55
2022-05-11 13:16:22.579138,688.0,1310815068.155678,903251480155.2449
2022-05-11 13:16:36.329464,688.0,1310836481.310969,903266202406.085
2022-05-11 13:16:49.527512,687.0,1310861773.675024,903283576149.9109
2022-05-11 13:17:02.765084,686.0,1310879128.4722881,903295482098.596
2022-05-11 13:17:16.253519,687.0,1310883725.898063,903298637684.3805
