,price,volume,value
2022-05-11 19:07:09.437499,861.0,428280903.3288152,373024867032.9854
2022-05-11 19:07:22.123508,861.0,428287415.1437357,373030474985.75256
2022-05-11 19:07:34.446358,862.0,428306555.9116554,373046956937.28595
2022-05-11 19:07:47.791439,861.0,428318252.4929883,373057032220.8425
2022-05-11 19:08:04.450300,861.0,428342177.0442493,373077631259.4783
2022-05-11 19:08:19.245367,861.0,428355409.28286994,373089024216.9306
2022-05-11 19:08:34.405674,860.0,428389623.307582,373118448278.18304
2022-05-11 19:08:48.355560,860.0,428406560.71164095,373133012951.7153
2022-05-11 19:09:00.010712,860.0,428422996.5664783,373147153248.6384
2022-05-11 19:09:12.916311,860.0,428465969.2508143,373184109757.1674
2022-05-11 19:09:27.960820,862.0,428472631.8340925,373189841439.5691
2022-05-11 19:09:39.651943,861.0,428477810.65569305,373194303353.498
2022-05-11 19:09:51.481439,861.0,428480736.4369073,373196822451.1234
2022-05-11 19:10:04.327994,862.0,428523797.6280584,373233959015.9531
2022-05-11 19:10:16.554043,862.0,428526964.658494,373236688996.1886
2022-05-11 19:10:27.943147,863.0,428536975.4427216,373245328248.11725
2022-05-11 19:10:39.176828,863.0,428556799.0621651,373262436031.697
2022-05-11 19:10:51.744117,864.0,428559372.06802326,373264659058.7585
2022-05-11 19:11:03.956443,864.0,428563502.58443856,373268227372.5948
2022-05-11 19:11:16.579091,864.0,428566711.71246725,373271000826.0513
2022-05-11 19:11:29.012437,867.0,428603761.8403831,373303093963.0829
2022-05-11 19:11:42.308988,869.0,428650795.5790825,373343955703.3468
2022-05-11 19:11:54.522381,871.0,428962771.4043382,373615163381.741
2022-05-11 19:12:07.990842,875.0,429280399.678587,373892031681.5132
2022-05-11 19:12:22.168684,878.0,429429935.7634426,374023219479.01874
2022-05-11 19:12:36.646976,878.0,429740088.99818885,374295908787.581
2022-05-11 19:12:49.224676,876.0,429781052.6868451,374331798290.35913
2022-05-11 19:13:01.468677,877.0,429807915.0679983,374355349505.3903
2022-05-11 19:13:13.887002,879.0,429855236.95979077,374396932581.3811
2022-05-11 19:13:27.184529,880.0,429879746.0685627,374418495314.56116
2022-05-11 19:13:39.788542,877.0,430124187.6781269,374633512755.75775
2022-05-11 19:13:51.605627,875.0,430194974.3919234,374695498141.1824
2022-05-11 19:14:04.622122,875.0,430315057.30157954,374800567844.39
2022-05-11 19:14:17.301617,874.0,430374819.07728434,374852821552.45654
