,price,volume,value
2022-05-11 19:07:15.134464,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:07:27.663201,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:07:40.624588,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:07:53.461748,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:08:11.103013,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:08:25.934891,9.95,653470782.3901951,6736853495.421184
2022-05-11 19:08:41.302322,9.95,653471787.4153208,6736863495.421184
2022-05-11 19:08:53.819986,9.95,653471787.4153208,6736863495.421184
2022-05-11 19:09:05.453047,9.95,653471787.4153208,6736863495.421184
2022-05-11 19:09:19.054258,9.95,653588693.191772,6738026707.8968725
2022-05-11 19:09:33.477651,9.95,654235307.6652461,6744460521.90794
2022-05-11 19:09:44.899208,9.95,654235307.6652461,6744460521.90794
2022-05-11 19:09:56.747350,9.95,654236307.6652461,6744470471.90794
2022-05-11 19:10:10.127489,9.95,654246357.9165024,6744570471.90794
2022-05-11 19:10:22.086148,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:10:32.927184,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:10:44.720560,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:10:57.764011,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:11:09.915121,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:11:22.112942,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:11:35.298271,9.95,654247859.3768275,6744585411.438174
2022-05-11 19:11:47.761087,9.95,654253562.2540321,6744642155.06636
2022-05-11 19:12:00.597003,9.95,654540371.2997862,6747495905.071613
2022-05-11 19:12:15.018600,9.97,654841269.6396583,6750495861.520139
2022-05-11 19:12:29.263825,9.99,655198584.3143921,6754063389.536882
2022-05-11 19:12:42.479072,9.99,655198584.3143921,6754063389.536882
2022-05-11 19:12:54.939643,9.99,655198584.3143921,6754063389.536882
2022-05-11 19:13:06.971734,9.99,655208594.3244021,6754163389.536882
2022-05-11 19:13:20.407375,10.0,655613593.5937736,6758213382.230597
2022-05-11 19:13:32.670829,10.0,655613593.5937736,6758213382.230597
2022-05-11 19:13:45.446444,10.0,655624843.5937736,6758325882.230597
2022-05-11 19:13:57.509817,10.0,655624843.5937736,6758325882.230597
2022-05-11 19:14:10.118014,10.0,655649967.8677267,6758578115.069138
2022-05-11 19:14:23.116913,10.1,655650957.9667366,6758588115.069138
2022-05-11 19:14:35.685888,10.1,655651948.0657464,6758598115.069138
2022-05-11 19:14:48.883842,10.0,655653198.0657464,6758610615.069138
2022-05-11 19:15:01.839431,10.0,655653198.0657464,6758610615.069138
2022-05-11 19:15:14.772763,10.0,655657292.0614289,6758651555.025961
2022-05-11 19:15:27.431810,10.0,655657292.0614289,6758651555.025961
2022-05-11 19:15:40.702598,10.0,655657292.0614289,6758651555.025961
2022-05-11 19:15:52.441113,10.0,655658542.0614289,6758664055.025961
2022-05-11 19:16:04.717278,10.0,655658542.0614289,6758664055.025961
2022-05-11 19:16:16.744522,10.0,655737455.6319634,6759453190.731306
2022-05-11 19:16:28.896775,10.0,655740455.6319634,6759483190.731306
2022-05-11 19:16:41.303587,10.0,655940455.6319634,6761483190.731306
2022-05-11 19:16:53.909566,10.0,655940455.6319634,6761483190.731306
2022-05-11 19:17:06.288259,10.0,655961342.3571687,6761692057.983359
2022-05-11 19:17:18.934360,10.0,655971342.3571687,6761792057.983359
2022-05-11 19:17:31.511002,10.0,656245199.6319634,6764530630.731306
