,price,volume,value
2022-05-11 19:07:16.644470,2210.0,4740034.44391042,11169580212.088224
2022-05-11 19:07:29.035044,2210.0,4741334.44391042,11172453212.088224
2022-05-11 19:07:42.363336,2220.0,4741487.54861042,11172793104.522224
2022-05-11 19:07:55.400374,2220.0,4741487.54861042,11172793104.522224
2022-05-11 19:08:13.035883,2225.0,4741994.31333776,11173918698.594427
2022-05-11 19:08:28.761296,2230.0,4742293.56904732,11174586038.826746
2022-05-11 19:08:42.903259,2240.0,4743306.17167457,11176852904.602106
2022-05-11 19:08:55.467562,2215.0,4743816.53272468,11177983354.3281
2022-05-11 19:09:07.041650,2215.0,4743816.53272468,11177983354.3281
2022-05-11 19:09:20.692310,2215.0,4743816.53272468,11177983354.3281
2022-05-11 19:09:34.918035,2215.0,4743816.53272468,11177983354.3281
2022-05-11 19:09:46.400122,2205.0,4746984.37823302,11184979642.591982
2022-05-11 19:09:58.439958,2205.0,4746984.37823302,11184979642.591982
2022-05-11 19:10:11.666209,2205.0,4746984.37823302,11184979642.591982
2022-05-11 19:10:23.476300,2205.0,4747685.40603302,11186526313.865982
2022-05-11 19:10:34.394023,2205.0,4747685.40603302,11186526313.865982
2022-05-11 19:10:46.292032,2205.0,4747685.40603302,11186526313.865982
2022-05-11 19:10:59.410404,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:11:11.577343,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:11:23.726219,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:11:37.100510,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:11:49.375925,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:12:02.362742,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:12:16.532906,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:12:31.153007,2235.0,4747687.63364994,11186531292.589798
2022-05-11 19:12:44.112486,2220.0,4747776.86764994,11186729392.069798
2022-05-11 19:12:56.604115,2230.0,4747779.35310855,11186734934.642498
2022-05-11 19:13:08.317703,2230.0,4747779.35310855,11186734934.642498
2022-05-11 19:13:22.051090,2230.0,4747781.83856716,11186740477.215199
2022-05-11 19:13:34.148631,2230.0,4748124.16238341,11187503859.325436
2022-05-11 19:13:46.808949,2230.0,4748462.45888353,11188258260.520704
2022-05-11 19:13:59.264286,2215.0,4748784.93216633,11188977329.537361
2022-05-11 19:14:11.809135,2215.0,4748784.93216633,11188977329.537361
2022-05-11 19:14:24.840000,2235.0,4748787.41207704,11188982872.137796
2022-05-11 19:14:37.440281,2215.0,4749147.13866535,11189779666.530905
2022-05-11 19:14:50.530865,2215.0,4749147.13866535,11189779666.530905
2022-05-11 19:15:03.531774,2215.0,4749147.13866535,11189779666.530905
2022-05-11 19:15:16.143805,2215.0,4749147.13866535,11189779666.530905
2022-05-11 19:15:29.272052,2235.0,4749173.14576878,11189837792.40707
2022-05-11 19:15:42.287908,2235.0,4749173.14576878,11189837792.40707
2022-05-11 19:15:54.161767,2235.0,4749173.14576878,11189837792.40707
2022-05-11 19:16:06.295917,2235.0,4749175.62567949,11189843335.007507
2022-05-11 19:16:18.237045,2235.0,4749175.62567949,11189843335.007507
2022-05-11 19:16:30.900945,2235.0,4749175.62567949,11189843335.007507
2022-05-11 19:16:42.877295,2235.0,4749175.62567949,11189843335.007507
2022-05-11 19:16:55.587635,2225.0,4749180.12006151,11189853335.007502
2022-05-11 19:17:07.961421,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:17:20.458409,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:17:33.428394,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:17:46.824232,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:17:58.572880,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:18:11.430616,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:18:24.033447,2220.0,4751002.24874364,11193898460.68183
2022-05-11 19:18:36.606003,2225.0,4751010.24874364,11193916260.68183
2022-05-11 19:18:49.642709,2225.0,4751010.24874364,11193916260.68183
2022-05-11 19:19:02.099483,2225.0,4751044.33423465,11193991941.707827
2022-05-11 19:19:14.690121,2225.0,4751054.33423465,11194014191.707827
2022-05-11 19:19:25.787042,2225.0,4751054.33423465,11194014191.707827
2022-05-11 19:19:40.896015,2225.0,4751054.33423465,11194014191.707827
2022-05-11 19:19:52.982245,2225.0,4751054.33423465,11194014191.707827
2022-05-11 19:20:05.539057,2225.0,4751054.33423465,11194014191.707827
2022-05-11 19:20:17.830214,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:20:30.697751,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:20:42.890418,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:20:54.950997,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:21:06.485079,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:21:18.688816,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:21:31.026733,2225.0,4751089.23283461,11194091841.09274
2022-05-11 19:21:43.025644,2225.0,4754232.44545035,11201085489.16276
2022-05-11 19:21:54.818008,2225.0,4755423.66961899,11203735962.937984
