,price,volume,value
2022-05-11 19:07:15.480636,539.0,258735759.05006307,152187678572.73212
2022-05-11 19:07:27.949586,534.0,258837349.97624803,152242166865.64853
2022-05-11 19:07:40.955122,534.0,258850541.21690467,152249210988.15918
2022-05-11 19:07:53.870066,534.0,258851969.56534073,152249973726.22403
2022-05-11 19:08:11.449037,535.0,258853413.26791364,152250746107.10056
2022-05-11 19:08:26.405497,534.0,258868705.54878113,152258910916.99948
2022-05-11 19:08:41.634068,534.0,258868857.85498267,152258992248.51108
2022-05-11 19:08:54.092141,535.0,258887990.14933845,152269228025.99142
2022-05-11 19:09:05.755938,536.0,258888830.20245323,152269678294.46097
2022-05-11 19:09:19.372927,536.0,258906066.96826366,152278917200.93536
2022-05-11 19:09:33.779485,536.0,258914257.45874524,152283307303.83347
2022-05-11 19:09:45.264221,538.0,258926621.64374715,152289948729.91556
2022-05-11 19:09:57.142118,538.0,258929609.4004625,152291556143.0284
2022-05-11 19:10:10.430317,536.0,258931707.29591277,152292680661.49164
2022-05-11 19:10:22.448710,540.0,258958898.6206208,152307358976.83395
2022-05-11 19:10:33.261539,540.0,258980020.11809126,152318784147.86618
2022-05-11 19:10:45.023043,540.0,258991120.12364402,152324778150.8647
2022-05-11 19:10:58.109193,540.0,258992423.81624216,152325482144.86768
2022-05-11 19:11:10.201944,540.0,259009981.8351526,152334976375.0793
2022-05-11 19:11:22.429372,540.0,259009981.8351526,152334976375.0793
2022-05-11 19:11:35.708480,542.0,259012444.19774616,152336307271.9013
2022-05-11 19:11:48.123406,541.0,259018596.31428558,152339640792.95374
2022-05-11 19:12:00.958618,546.0,259291417.688357,152488216119.31256
2022-05-11 19:12:15.337367,544.0,259296455.41826427,152490969417.74155
2022-05-11 19:12:29.549744,547.0,259297342.59754682,152491452098.11584
2022-05-11 19:12:42.812374,546.0,259320566.25209442,152504150140.92313
2022-05-11 19:12:55.256876,547.0,259332665.1051109,152510756244.67014
2022-05-11 19:13:07.288171,547.0,259399317.73106694,152546936612.94644
2022-05-11 19:13:20.739833,542.0,259407931.9633018,152551647847.9789
2022-05-11 19:13:32.941955,546.0,259408847.71421754,152552147847.9789
2022-05-11 19:13:45.736228,545.0,259411286.64352778,152553471810.5125
2022-05-11 19:13:57.828363,545.0,259414802.0851313,152555386726.18643
2022-05-11 19:14:10.392013,545.0,259418655.29614046,152557486726.18643
2022-05-11 19:14:23.585728,543.0,259429144.47242174,152563183449.82462
2022-05-11 19:14:36.092770,542.0,259461144.85961756,152580524522.90094
2022-05-11 19:14:49.201579,542.0,259461144.85961756,152580524522.90094
2022-05-11 19:15:02.169730,542.0,259527402.13219115,152616434045.9999
2022-05-11 19:15:15.059184,545.0,259530778.24814165,152618268006.88803
2022-05-11 19:15:27.839954,543.0,259550817.24384007,152629189181.55228
2022-05-11 19:15:41.032862,543.0,259560215.34395057,152634292349.9123
2022-05-11 19:15:52.725162,543.0,259583110.97271147,152646723597.31845
2022-05-11 19:16:05.020168,543.0,259587533.54417205,152649125053.62155
2022-05-11 19:16:17.030606,542.0,259594231.41648543,152652750743.628
2022-05-11 19:16:29.196607,542.0,259602989.29484287,152657497513.69775
2022-05-11 19:16:41.622654,544.0,259619497.69020987,152666453946.9655
2022-05-11 19:16:54.197319,544.0,259634277.39627466,152674494107.06476
2022-05-11 19:17:06.756108,542.0,259640847.47879067,152678055376.00903
2022-05-11 19:17:19.221833,542.0,259640847.47879067,152678055376.00903
2022-05-11 19:17:31.842375,543.0,259640862.2106046,152678063375.384
2022-05-11 19:17:45.403017,543.0,259642860.9236842,152679148676.5862
2022-05-11 19:17:57.138471,543.0,259643533.86411843,152679514083.242
2022-05-11 19:18:10.330738,545.0,259647992.57971475,152681944083.242
2022-05-11 19:18:22.616356,545.0,259647992.57971475,152681944083.242
2022-05-11 19:18:35.288424,545.0,259647992.57971475,152681944083.242
2022-05-11 19:18:48.360469,545.0,259653425.2982179,152684904914.8262
2022-05-11 19:19:00.751931,544.0,259670603.1775662,152694249881.19168
2022-05-11 19:19:13.376767,545.0,259705364.4695979,152713163735.34628
2022-05-11 19:19:24.641644,543.0,259715435.83661735,152718643916.54257
2022-05-11 19:19:39.436554,543.0,259733125.93798542,152728249641.58542
2022-05-11 19:19:51.809090,542.0,259739825.92966777,152731885960.28387
2022-05-11 19:20:04.423998,542.0,259743677.29117146,152733973453.4675
2022-05-11 19:20:16.588788,543.0,259746067.14293072,152735270409.93536
2022-05-11 19:20:29.460651,542.0,259748666.8336185,152736679442.28812
2022-05-11 19:20:41.806528,542.0,259771668.89451092,152749146559.2918
2022-05-11 19:20:53.831326,541.0,259776014.28882152,152751497749.69873
2022-05-11 19:21:05.086491,538.0,259885974.6062123,152810860745.68802
2022-05-11 19:21:17.574202,537.0,259892026.6762331,152814113119.38223
2022-05-11 19:21:29.411979,537.0,259932319.6239226,152835789625.86383
2022-05-11 19:21:41.666081,537.0,259942467.85741946,152841239227.25165
2022-05-11 19:21:53.747405,537.0,259942467.85741946,152841239227.25165
2022-05-11 19:22:06.020354,537.0,259942467.85741946,152841239227.25165
2022-05-11 19:22:17.691078,538.0,259961785.12591365,152851631917.7015
2022-05-11 19:22:30.480425,540.0,259961829.70369142,152851655989.7015
2022-05-11 19:22:42.771834,540.0,259961903.94424698,152851696079.60153
2022-05-11 19:22:55.168741,540.0,259961977.76554328,152851735943.10153
2022-05-11 19:23:08.214618,540.0,259962147.3442581,152851827515.6075
2022-05-11 19:23:21.140845,537.0,260010701.3151493,152877906550.09186
2022-05-11 19:23:34.387313,536.0,260044819.02514276,152896194750.20236
2022-05-11 19:23:46.932172,536.0,260185715.083879,152971718607.59357
2022-05-11 19:23:59.416273,539.0,260230906.9650097,152996031385.62198
2022-05-11 19:24:12.807266,539.0,260231443.01915255,152996320041.46576
2022-05-11 19:24:26.483751,537.0,260272223.3794502,153018247162.35007
2022-05-11 19:24:38.033629,538.0,260289491.09093615,153027528821.40872
2022-05-11 19:24:51.761905,536.0,260332641.31686273,153050703631.7959
2022-05-11 19:25:04.160400,536.0,260338925.17646986,153054073572.61954
2022-05-11 19:25:17.785688,535.0,260379501.1289158,153075810409.20685
2022-05-11 19:25:30.629343,535.0,260386541.903185,153079577223.4409
2022-05-11 19:25:42.871987,534.0,260427314.94437903,153101365721.5174
2022-05-11 19:25:54.949865,533.0,260427664.94437903,153101552271.5174
2022-05-11 19:26:08.331749,534.0,260432746.7298811,153104261272.34897
2022-05-11 19:26:20.752986,534.0,260433523.76358896,153104676208.34897
2022-05-11 19:26:33.896900,534.0,260449669.40155348,153113297266.31656
2022-05-11 19:26:46.925148,534.0,260476989.81816232,153127888050.67862
2022-05-11 19:26:59.734204,534.0,260493746.04580903,153136847487.4943
2022-05-11 19:27:12.066983,534.0,260515603.49930742,153148519367.66245
2022-05-11 19:27:25.053365,534.0,260515781.51363325,153148614427.31244
2022-05-11 19:27:37.323661,534.0,260515845.98961595,153148648857.48718
2022-05-11 19:27:50.825374,533.0,260544548.89325225,153163964602.89612
2022-05-11 19:28:04.101363,534.0,260573473.0449045,153179410099.87842
2022-05-11 19:28:16.574370,534.0,260573473.0449045,153179410099.87842
2022-05-11 19:28:28.996919,534.0,260574410.12505358,153179910500.678
2022-05-11 19:28:42.637355,534.0,260574597.29733822,153180010450.678
2022-05-11 19:28:53.676352,534.0,260636460.37700304,153213043611.13034
2022-05-11 19:29:05.966656,534.0,260636460.37700304,153213043611.13034
2022-05-11 19:29:18.813203,536.0,260636470.63819706,153213049111.13034
2022-05-11 19:29:32.183335,536.0,260638366.42621005,153214064867.23306
2022-05-11 19:29:45.390002,536.0,260644460.72574234,153217331040.03513
2022-05-11 19:29:57.557529,537.0,260646322.92313525,153218331040.03513
2022-05-11 19:30:10.116306,537.0,260647322.92313525,153218867293.76648
2022-05-11 19:30:22.498699,535.0,260648571.43218628,153219535418.52258
2022-05-11 19:30:34.710584,535.0,260649373.61800927,153219964587.93787
2022-05-11 19:30:48.030291,535.0,260651652.66638744,153221183878.8202
2022-05-11 19:31:00.639505,535.0,260651652.66638744,153221183878.8202
2022-05-11 19:31:13.071951,534.0,260660870.31629696,153226106103.8719
2022-05-11 19:31:24.299599,534.0,260660963.90246266,153226156078.88437
2022-05-11 19:31:37.582417,534.0,260668807.43985504,153230344527.8519
2022-05-11 19:31:49.980523,535.0,260679795.8415509,153236213934.35748
2022-05-11 19:32:02.744054,535.0,260692397.26942754,153242955698.27148
2022-05-11 19:32:15.421291,535.0,260692678.16830397,153243105979.17038
2022-05-11 19:32:27.742674,535.0,260693241.16830397,153243407184.17038
2022-05-11 19:32:40.003796,537.0,260693251.16830397,153243412554.17038
2022-05-11 19:32:52.197312,537.0,260693447.2301238,153243517653.3058
2022-05-11 19:33:05.279467,537.0,260693844.28113273,153243730869.6976
2022-05-11 19:33:18.032984,536.0,260697970.5743294,153245942562.851
2022-05-11 19:33:31.267518,536.0,260699254.53605413,153246630766.33548
2022-05-11 19:33:44.210286,536.0,260701213.85798118,153247680761.7991
2022-05-11 19:33:56.821267,535.0,260702930.920367,153248599401.36954
2022-05-11 19:34:09.065028,535.0,260721692.64644578,153258633501.31775
2022-05-11 19:34:23.298641,535.0,260721730.02962336,153258653501.31775
2022-05-11 19:34:36.297762,536.0,260724059.24133953,153259901958.7976
2022-05-11 19:34:48.463377,536.0,260724059.24133953,153259901958.7976
2022-05-11 19:35:00.789825,536.0,260724329.80724904,153260046898.12637
2022-05-11 19:35:13.854601,536.0,260726143.1421672,153261018233.40628
2022-05-11 19:35:26.318083,536.0,260726223.1421672,153261061113.40628
2022-05-11 19:35:40.999462,536.0,260727322.6766821,153261650463.90628
2022-05-11 19:35:53.909121,536.0,260728543.11802524,153262304598.00433
2022-05-11 19:36:06.874723,536.0,260730526.78676704,153263367736.45282
2022-05-11 19:36:20.197568,536.0,260736739.24169347,153266697612.2934
2022-05-11 19:36:33.379306,537.0,260737385.9265661,153267044882.07
2022-05-11 19:36:46.401868,536.0,260749000.03000963,153273271546.09296
2022-05-11 19:36:59.359316,536.0,260752670.73694143,153275236492.9607
2022-05-11 19:37:13.089166,536.0,260752670.73694143,153275236492.9607
2022-05-11 19:37:25.918834,535.0,260753786.23439407,153275833284.09784
2022-05-11 19:37:40.036618,535.0,260761187.55915132,153279792992.843
2022-05-11 19:37:52.634397,535.0,260763035.44345036,153280781610.94296
2022-05-11 19:38:06.780172,535.0,260784123.2904674,153292063609.0971
2022-05-11 19:38:19.831564,535.0,260799755.83935055,153300440075.92493
2022-05-11 19:38:32.314497,534.0,260803718.3878339,153302558378.49728
2022-05-11 19:38:45.725976,536.0,260814267.79258594,153308203254.46127
2022-05-11 19:38:59.662768,536.0,260818382.89789104,153310408950.90482
2022-05-11 19:39:12.538913,536.0,260822776.10688874,153312763710.92758
2022-05-11 19:39:24.589428,536.0,260822776.10688874,153312763710.92758
2022-05-11 19:39:37.691986,537.0,260829272.94631866,153316252170.54733
2022-05-11 19:39:51.759705,537.0,260836986.45570236,153320395738.92465
2022-05-11 19:40:04.106964,537.0,260836986.45570236,153320395738.92465
2022-05-11 19:40:16.336545,537.0,260841232.40201607,153322679618.00824
2022-05-11 19:40:27.892965,536.0,260858917.1170656,153332162850.05942
2022-05-11 19:40:41.852707,536.0,260858917.1170656,153332162850.05942
2022-05-11 19:40:53.599111,535.0,260859199.86319566,153332314344.2925
2022-05-11 19:41:05.459133,535.0,260859199.86319566,153332314344.2925
2022-05-11 19:41:18.199438,534.0,260870579.59360686,153338402363.9071
2022-05-11 19:41:31.653078,536.0,260873414.8457569,153339922059.0595
2022-05-11 19:41:46.629490,536.0,260873414.8457569,153339922059.0595
2022-05-11 19:41:59.289207,535.0,260884213.95271125,153345698965.63657
2022-05-11 19:42:12.603191,534.0,260885383.60805106,153346323561.588
2022-05-11 19:42:24.989531,535.0,260889644.23087382,153348601122.13904
2022-05-11 19:42:37.103941,535.0,260889644.23087382,153348601122.13904
2022-05-11 19:42:49.618123,535.0,260889644.23087382,153348601122.13904
2022-05-11 19:43:01.785892,535.0,260889717.2403759,153348640182.22266
2022-05-11 19:43:14.360272,535.0,260890214.86888182,153348906413.4733
2022-05-11 19:43:26.182968,535.0,260891721.42344174,153349712420.16287
2022-05-11 19:43:38.997871,535.0,260891721.42344174,153349712420.16287
2022-05-11 19:43:52.229269,535.0,260891721.42344174,153349712420.16287
2022-05-11 19:44:05.015839,535.0,260892243.85477072,153349992107.49103
2022-05-11 19:44:17.775370,535.0,260892243.85477072,153349992107.49103
2022-05-11 19:44:30.075265,536.0,260894109.52641252,153350992107.49103
2022-05-11 19:44:42.430449,535.0,261015265.32273474,153415499516.47336
2022-05-11 19:44:54.886286,535.0,261015265.32273474,153415499516.47336
2022-05-11 19:45:07.670256,534.0,261015993.3942221,153415888606.6476
2022-05-11 19:45:20.698576,535.0,261016330.66826278,153416068727.20578
2022-05-11 19:45:33.662933,535.0,261021565.76041952,153418865756.19125
2022-05-11 19:45:47.447918,535.0,261024583.73481202,153420480372.49127
2022-05-11 19:46:01.343818,534.0,261028699.98385304,153422678468.17075
2022-05-11 19:46:14.899884,535.0,261049995.76150656,153434050613.43774
2022-05-11 19:46:28.103361,534.0,261051495.59669363,153434851525.42764
2022-05-11 19:46:42.740455,535.0,261064497.15238702,153441797257.7236
2022-05-11 19:46:56.018468,535.0,261081535.08949286,153450912554.07523
2022-05-11 19:47:11.062458,536.0,261092946.11436614,153457028863.4073
2022-05-11 19:47:23.768829,536.0,261097774.90800846,153459619339.79022
2022-05-11 19:47:37.805012,536.0,261100527.16153938,153461095107.3843
2022-05-11 19:47:49.976986,536.0,261108094.21772492,153465156750.8843
2022-05-11 19:48:03.305546,536.0,261108094.21772492,153465156750.8843
2022-05-11 19:48:16.216346,537.0,261108466.6572035,153465356750.8843
2022-05-11 19:48:30.384003,537.0,261110328.85459644,153466356750.8843
2022-05-11 19:48:44.185701,537.0,261110328.85459644,153466356750.8843
2022-05-11 19:48:56.471094,536.0,261113344.63492432,153467973209.14005
2022-05-11 19:49:09.333087,537.0,261126619.2723684,153475095524.12106
2022-05-11 19:49:22.543590,538.0,261146606.1962733,153485830530.99823
2022-05-11 19:49:35.779906,537.0,261157153.942413,153491504625.2482
2022-05-11 19:49:48.871697,538.0,261157346.38618624,153491608159.9982
2022-05-11 19:50:00.962972,537.0,261157996.26771376,153491957146.37848
2022-05-11 19:50:25.417773,537.0,261173925.4593631,153500511122.2942
2022-05-11 19:50:38.759701,537.0,261176345.29207215,153501810502.47046
2022-05-11 19:50:53.206031,536.0,261179236.22190982,153503362794.37003
2022-05-11 19:51:05.526057,536.0,261188695.6997268,153508430522.99902
2022-05-11 19:51:17.546311,536.0,261190561.3719588,153509430523.31537
2022-05-11 19:51:30.818683,536.0,261191798.4374318,153510093590.4089
2022-05-11 19:51:43.098412,536.0,261203330.8103183,153516274942.27606
2022-05-11 19:51:55.768999,536.0,261203430.8103183,153516328542.27606
2022-05-11 19:52:09.786636,537.0,261208980.93655872,153519308960.06717
2022-05-11 19:52:23.533424,537.0,261209108.48218253,153519377452.06714
2022-05-11 19:52:36.542219,536.0,261225459.09447584,153528141380.25635
2022-05-11 19:52:48.622709,536.0,261225559.09447584,153528194980.25635
2022-05-11 19:53:00.678665,535.0,261235559.09447584,153533544980.25635
2022-05-11 19:53:13.155658,535.0,261235559.09447584,153533544980.25635
2022-05-11 19:53:27.312194,536.0,261238415.081043,153535075789.05637
2022-05-11 19:53:40.357961,535.0,261253499.21575683,153543145801.12827
2022-05-11 19:53:53.162081,535.0,261253632.0430813,153543216863.74686
2022-05-11 19:54:05.079965,535.0,261254949.71409884,153543921817.74124
2022-05-11 19:54:16.885420,535.0,261256760.40431622,153544890537.00754
2022-05-11 19:54:29.165697,535.0,261257247.96541372,153545151382.1947
2022-05-11 19:54:42.467224,536.0,261264046.50096756,153548795397.25156
2022-05-11 19:54:55.510426,537.0,261283571.02003187,153559280063.9891
2022-05-11 19:55:08.022425,538.0,261284281.27109855,153559662179.06296
