,price,volume,value
2022-05-11 19:07:17.310551,1790.0,7637405.80551183,14402335286.512693
2022-05-11 19:07:29.625885,1790.0,7637497.00379769,14402498103.385914
2022-05-11 19:07:42.877143,1790.0,7638463.33833079,14404227842.200163
2022-05-11 19:07:56.201879,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:08:13.864447,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:08:29.275587,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:08:43.507228,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:08:56.012723,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:09:07.586655,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:09:21.251855,1785.0,7646279.85905415,14418180331.69136
2022-05-11 19:09:35.401449,1780.0,7647050.15381422,14419551456.364285
2022-05-11 19:09:46.973699,1780.0,7647050.15381422,14419551456.364285
2022-05-11 19:09:59.317214,1775.0,7647256.85381422,14419918348.864285
2022-05-11 19:10:12.242188,1775.0,7647256.85381422,14419918348.864285
2022-05-11 19:10:23.944591,1775.0,7647256.85381422,14419918348.864285
2022-05-11 19:10:34.937994,1775.0,7647256.85381422,14419918348.864285
2022-05-11 19:10:46.868541,1775.0,7647366.27392772,14420112569.565748
2022-05-11 19:10:59.910015,1785.0,7647369.09082912,14420117597.734747
2022-05-11 19:11:12.077884,1775.0,7647371.90773053,14420122597.734749
2022-05-11 19:11:24.298068,1775.0,7647371.90773053,14420122597.734749
2022-05-11 19:11:37.659891,1775.0,7647371.90773053,14420122597.734749
2022-05-11 19:11:49.965103,1780.0,7647475.24643195,14420306540.623278
2022-05-11 19:12:03.058778,1795.0,7659576.9405452,14441950360.32417
2022-05-11 19:12:17.123183,1795.0,7660359.51026312,14443355072.967834
2022-05-11 19:12:31.714074,1795.0,7660363.49545715,14443362226.391119
2022-05-11 19:12:44.960010,1795.0,7660363.49545715,14443362226.391119
2022-05-11 19:12:57.117434,1795.0,7660363.49545715,14443362226.391119
2022-05-11 19:13:08.861188,1795.0,7660391.35061035,14443412226.391113
2022-05-11 19:13:22.698992,1785.0,7660419.36181483,14443462226.39111
2022-05-11 19:13:34.798680,1790.0,7661924.73773687,14446164349.291561
2022-05-11 19:13:47.275211,1790.0,7661924.73773687,14446164349.291561
2022-05-11 19:13:59.869444,1795.0,7662924.73773687,14447959349.291561
2022-05-11 19:14:12.352282,1795.0,7663584.96045654,14449144449.07337
2022-05-11 19:14:25.477019,1795.0,7664310.58130533,14450446938.496948
2022-05-11 19:14:37.966945,1795.0,7664310.58130533,14450446938.496948
2022-05-11 19:14:51.029971,1795.0,7664310.58130533,14450446938.496948
2022-05-11 19:15:04.180603,1790.0,7664598.58808258,14450962470.628225
2022-05-11 19:15:16.627759,1790.0,7664598.58808258,14450962470.628225
2022-05-11 19:15:29.864093,1790.0,7664630.33552997,14451019572.217594
2022-05-11 19:15:42.965769,1790.0,7664630.33552997,14451019572.217594
2022-05-11 19:15:54.807427,1790.0,7664670.81124182,14451092023.741806
2022-05-11 19:16:06.793649,1790.0,7664670.81124182,14451092023.741806
2022-05-11 19:16:18.797782,1790.0,7665870.81124182,14453240023.741806
2022-05-11 19:16:31.367517,1800.0,7666757.68676095,14454836399.67624
2022-05-11 19:16:43.512908,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:16:56.188156,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:17:08.506975,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:17:20.985597,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:17:34.032959,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:17:47.642645,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:17:59.327783,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:18:12.199984,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:18:24.533023,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:18:37.084400,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:18:50.310555,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:19:02.565055,1800.0,7666885.79946796,14455067002.548859
2022-05-11 19:19:15.265287,1795.0,7666945.05156796,14455173460.068357
2022-05-11 19:19:26.330081,1800.0,7666947.82934573,14455178460.068344
2022-05-11 19:19:41.378643,1800.0,7666947.82934573,14455178460.068344
2022-05-11 19:19:53.558023,1795.0,7666962.25163688,14455204361.972626
2022-05-11 19:20:06.033611,1795.0,7666962.25163688,14455204361.972626
2022-05-11 19:20:18.886806,1795.0,7667703.24882505,14456534451.92539
2022-05-11 19:20:31.150033,1795.0,7667744.8213548,14456609074.616291
2022-05-11 19:20:43.371833,1795.0,7667744.8213548,14456609074.616291
2022-05-11 19:20:55.433256,1795.0,7667744.8213548,14456609074.616291
2022-05-11 19:21:07.209060,1795.0,7667794.8213548,14456698824.616291
2022-05-11 19:21:19.246942,1795.0,7667794.8213548,14456698824.616291
2022-05-11 19:21:31.482091,1795.0,7667794.8213548,14456698824.616291
2022-05-11 19:21:43.555730,1795.0,7668827.17969476,14458551907.83652
2022-05-11 19:21:55.313907,1800.0,7668830.17969476,14458557307.83652
2022-05-11 19:22:07.677740,1800.0,7668830.17969476,14458557307.83652
2022-05-11 19:22:19.546865,1800.0,7668830.17969476,14458557307.83652
2022-05-11 19:22:32.273817,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:22:44.519887,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:22:57.114937,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:23:09.875365,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:23:23.211566,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:23:36.134968,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:23:48.652152,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:24:01.452888,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:24:14.709381,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:24:28.201217,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:24:40.084488,1800.0,7668846.30875031,14458586340.136509
2022-05-11 19:24:53.737505,1790.0,7669028.11471357,14458912340.209398
2022-05-11 19:25:06.140515,1790.0,7669028.11471357,14458912340.209398
2022-05-11 19:25:19.732840,1790.0,7669028.11471357,14458912340.209398
2022-05-11 19:25:32.592637,1790.0,7669028.11471357,14458912340.209398
2022-05-11 19:25:45.154139,1795.0,7669031.00488698,14458917528.07067
2022-05-11 19:25:57.354565,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:26:10.646300,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:26:22.668908,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:26:35.916109,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:26:48.855297,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:27:01.544128,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:27:13.903044,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:27:26.752923,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:27:39.148441,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:27:52.950848,1795.0,7669604.27214207,14459946542.793556
2022-05-11 19:28:06.015265,1800.0,7669659.82769762,14460046542.793547
2022-05-11 19:28:18.292229,1790.0,7669959.82769762,14460584848.801237
2022-05-11 19:28:31.034819,1790.0,7669959.82769762,14460584848.801237
2022-05-11 19:28:44.217531,1790.0,7673466.50440314,14466860502.982428
2022-05-11 19:28:55.771880,1790.0,7673466.50440314,14466860502.982428
2022-05-11 19:29:07.972482,1790.0,7673466.50440314,14466860502.982428
2022-05-11 19:29:20.893015,1790.0,7673536.19693117,14466985252.607601
2022-05-11 19:29:34.417033,1790.0,7673536.19693117,14466985252.607601
2022-05-11 19:29:47.681554,1790.0,7673708.93363375,14467294451.30522
2022-05-11 19:29:59.442840,1790.0,7673708.93363375,14467294451.30522
