,price,volume,value
2022-05-11 19:07:19.884799,2745.0,6060042.96521682,16139977935.426716
2022-05-11 19:07:32.207853,2735.0,6060422.36521682,16141015594.426716
2022-05-11 19:07:45.662801,2725.0,6064063.57328509,16150940052.393362
2022-05-11 19:08:01.535415,2725.0,6064863.94863622,16153120373.015726
2022-05-11 19:08:16.692761,2720.0,6064911.33797584,16153249272.019493
2022-05-11 19:08:32.138332,2725.0,6064950.37810714,16153355656.377285
2022-05-11 19:08:46.164176,2720.0,6068388.24187622,16162690533.995602
2022-05-11 19:08:58.011909,2740.0,6096596.51622904,16239575365.364336
2022-05-11 19:09:10.319119,2735.0,6100518.79023808,16250308893.440184
2022-05-11 19:09:24.863276,2730.0,6101359.48478969,16252608101.060946
2022-05-11 19:09:37.727564,2740.0,6103094.93410232,16257348508.101748
2022-05-11 19:09:49.104851,2745.0,6105514.25210675,16263979039.557747
2022-05-11 19:10:01.810240,2755.0,6108566.8974226,16272359328.377161
2022-05-11 19:10:14.363102,2755.0,6108930.33929513,16273360610.735981
2022-05-11 19:10:37.208754,2760.0,6115916.54502416,16292595584.736286
2022-05-11 19:10:49.420215,2760.0,6117481.36585869,16296914550.747726
2022-05-11 19:11:01.915713,2765.0,6119029.82039207,16301197037.18237
2022-05-11 19:11:14.474329,2770.0,6121224.30608964,16307275762.564638
2022-05-11 19:11:26.556570,2785.0,6123473.04692741,16313522075.235952
2022-05-11 19:11:39.923885,2810.0,6132191.67340826,16337890205.511381
2022-05-11 19:11:52.244112,2835.0,6144657.91577864,16372990862.78022
2022-05-11 19:12:05.519906,2835.0,6147921.94518336,16382247810.117052
2022-05-11 19:12:19.663847,2850.0,6172232.41404551,16451475100.187933
2022-05-11 19:12:34.204140,2850.0,6180230.62788446,16474294515.436234
2022-05-11 19:12:47.166806,2825.0,6193056.88500952,16510719033.412125
2022-05-11 19:12:59.318379,2825.0,6194999.53695783,16516210932.123428
2022-05-11 19:13:11.800054,2865.0,6198758.82162877,16526900423.879324
2022-05-11 19:13:24.933032,2865.0,6212522.23996828,16566388733.093859
2022-05-11 19:13:37.448909,2845.0,6214310.85124092,16571510186.864674
2022-05-11 19:13:49.355144,2845.0,6218908.23762849,16584590617.53117
2022-05-11 19:14:02.195917,2805.0,6224969.4162017,16601595126.838928
