,price,volume,value
2022-05-11 19:07:15.722184,312.0,27964070.06151302,8556401996.30787
2022-05-11 19:07:28.177201,312.0,27964070.06151302,8556401996.30787
2022-05-11 19:07:41.166353,312.0,27964070.06151302,8556401996.30787
2022-05-11 19:07:54.218422,310.0,27973652.68785802,8559372610.47482
2022-05-11 19:08:11.721305,310.0,27974592.16585802,8559663848.65482
2022-05-11 19:08:27.689696,310.0,27974592.16585802,8559663848.65482
2022-05-11 19:08:41.846786,309.0,27974911.77958902,8559762609.297699
2022-05-11 19:08:54.303372,309.0,27974911.77958902,8559762609.297699
2022-05-11 19:09:06.013261,310.0,27984645.10969815,8562779941.63153
2022-05-11 19:09:19.555284,310.0,27984645.10969815,8562779941.63153
2022-05-11 19:09:33.992450,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:09:45.448232,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:09:57.353348,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:10:10.688517,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:10:22.629178,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:10:33.518308,311.0,28002540.10969815,8568345286.63153
2022-05-11 19:10:45.218316,311.0,28004492.91469815,8568952608.986529
2022-05-11 19:10:58.320673,311.0,28007057.73871596,8569750269.256068
2022-05-11 19:11:10.414993,311.0,28007057.73871596,8569750269.256068
2022-05-11 19:11:22.625486,311.0,28009305.97472657,8570449470.655368
2022-05-11 19:11:36.026511,314.0,28014555.25972657,8572088930.697359
2022-05-11 19:11:48.304283,314.0,28014555.25972657,8572088930.697359
2022-05-11 19:12:01.168667,314.0,28014555.25972657,8572088930.697359
2022-05-11 19:12:15.549488,314.0,28020934.01172657,8574091858.825358
2022-05-11 19:12:29.760878,314.0,28020934.01172657,8574091858.825358
2022-05-11 19:12:43.009527,315.0,28024694.07372657,8575275688.355359
2022-05-11 19:12:55.439064,315.0,28032142.31294879,8577621883.710358
2022-05-11 19:13:07.486035,315.0,28036787.57794879,8579085142.185358
2022-05-11 19:13:20.996429,315.0,28036787.57794879,8579085142.185358
2022-05-11 19:13:33.137419,315.0,28036816.35474879,8579094206.8773575
2022-05-11 19:13:45.931579,315.0,28036816.35474879,8579094206.8773575
2022-05-11 19:13:58.009631,314.0,28041816.35474879,8580665578.100558
2022-05-11 19:14:10.603075,314.0,28041816.35474879,8580665578.100558
2022-05-11 19:14:23.767143,315.0,28041848.20188254,8580675609.947689
2022-05-11 19:14:36.334445,315.0,28041848.20188254,8580675609.947689
2022-05-11 19:14:49.415179,315.0,28041848.20188254,8580675609.947689
2022-05-11 19:15:02.396959,315.0,28043122.24315238,8581076932.947689
2022-05-11 19:15:15.270502,315.0,28043122.24315238,8581076932.947689
2022-05-11 19:15:28.156275,315.0,28043922.18715238,8581328915.307689
2022-05-11 19:15:41.260315,315.0,28043922.18715238,8581328915.307689
2022-05-11 19:15:52.979312,315.0,28043922.18715238,8581328915.307689
2022-05-11 19:16:05.246628,314.0,28047502.18615238,8582453034.993689
2022-05-11 19:16:17.210819,314.0,28047502.18615238,8582453034.993689
2022-05-11 19:16:29.378217,314.0,28047608.55335094,8582486434.294037
2022-05-11 19:16:41.909295,314.0,28047624.48010253,8582491435.294036
2022-05-11 19:16:54.378460,314.0,28048120.48010253,8582647179.294036
2022-05-11 19:17:06.950780,314.0,28051432.05710253,8583687014.472035
2022-05-11 19:17:19.506969,313.0,28057986.24610253,8585742069.818036
2022-05-11 19:17:32.114296,314.0,28074425.10179771,8590903870.506323
2022-05-11 19:17:45.600239,314.0,28074425.10179771,8590903870.506323
2022-05-11 19:17:57.500099,314.0,28074425.10179771,8590903870.506323
2022-05-11 19:18:10.526651,314.0,28075303.25279771,8591179609.920322
2022-05-11 19:18:22.872364,314.0,28080303.25279771,8592749609.920322
2022-05-11 19:18:35.561205,314.0,28080303.25279771,8592749609.920322
2022-05-11 19:18:48.600532,314.0,28080303.25279771,8592749609.920322
2022-05-11 19:19:00.949396,314.0,28082457.71579771,8593426111.302322
2022-05-11 19:19:13.617987,314.0,28082457.71579771,8593426111.302322
2022-05-11 19:19:24.821215,314.0,28083571.61379771,8593775875.274323
2022-05-11 19:19:39.663479,314.0,28083571.61379771,8593775875.274323
2022-05-11 19:19:52.048911,314.0,28083571.61379771,8593775875.274323
2022-05-11 19:20:04.635013,313.0,28084190.25779771,8593969510.846323
2022-05-11 19:20:16.878435,312.0,28085125.8647482,8594261420.214876
2022-05-11 19:20:29.716485,312.0,28085125.8647482,8594261420.214876
2022-05-11 19:20:41.987291,312.0,28085125.8647482,8594261420.214876
2022-05-11 19:20:54.041285,312.0,28086611.09021799,8594725960.21645
2022-05-11 19:21:05.371631,312.0,28086611.09021799,8594725960.21645
2022-05-11 19:21:17.770615,312.0,28086611.09021799,8594725960.21645
2022-05-11 19:21:29.610524,312.0,28086611.09021799,8594725960.21645
2022-05-11 19:21:41.952690,312.0,28092043.10906289,8596420750.096058
2022-05-11 19:21:53.928347,312.0,28097023.10906289,8597977610.096058
2022-05-11 19:22:06.200353,312.0,28100548.75008853,8599077610.096058
2022-05-11 19:22:18.007254,312.0,28100548.75008853,8599077610.096058
2022-05-11 19:22:30.678081,312.0,28100548.75008853,8599077610.096058
2022-05-11 19:22:42.966958,312.0,28100548.75008853,8599077610.096058
2022-05-11 19:22:55.426262,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:23:08.411098,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:23:21.414625,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:23:34.597872,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:23:47.144509,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:23:59.611872,312.0,28106830.01543038,8601043565.738716
2022-05-11 19:24:13.021194,313.0,28106853.86884137,8601051031.856356
2022-05-11 19:24:26.680688,313.0,28108575.30259137,8601589840.620106
2022-05-11 19:24:38.289880,314.0,28109128.74459137,8601763621.408106
2022-05-11 19:24:51.972949,314.0,28116664.53859137,8604129860.724106
2022-05-11 19:25:04.433204,313.0,28118242.44859137,8604623746.554106
2022-05-11 19:25:18.058156,313.0,28120949.50159137,8605471054.143105
2022-05-11 19:25:30.839754,313.0,28121304.169323,8605582065.143105
2022-05-11 19:25:43.146178,313.0,28121374.87632937,8605604196.4361
2022-05-11 19:25:55.147641,313.0,28124555.69832937,8606599793.7221
2022-05-11 19:26:08.723600,313.0,28126037.71851467,8607063666.040098
2022-05-11 19:26:21.038057,313.0,28126037.71851467,8607063666.040098
2022-05-11 19:26:34.168911,313.0,28126037.71851467,8607063666.040098
2022-05-11 19:26:47.150940,313.0,28126037.71851467,8607063666.040098
2022-05-11 19:26:59.974579,313.0,28126037.71851467,8607063666.040098
2022-05-11 19:27:12.249310,313.0,28126676.69615045,8607263666.040098
2022-05-11 19:27:25.250019,311.0,28132970.08785432,8609227184.86
2022-05-11 19:27:37.536174,311.0,28138075.68251831,8610815024.8005
2022-05-11 19:27:51.155630,312.0,28139247.10532051,8611179629.48243
2022-05-11 19:28:04.311975,312.0,28139247.10532051,8611179629.48243
2022-05-11 19:28:16.799385,312.0,28139247.10532051,8611179629.48243
2022-05-11 19:28:29.209389,312.0,28139247.10532051,8611179629.48243
2022-05-11 19:28:42.848074,312.0,28139917.33532051,8611388741.24243
2022-05-11 19:28:53.901254,312.0,28139917.33532051,8611388741.24243
2022-05-11 19:29:06.176317,311.0,28140074.1753709,8611437518.4981
2022-05-11 19:29:19.039288,311.0,28140074.1753709,8611437518.4981
2022-05-11 19:29:32.362963,311.0,28140624.1753709,8611608568.4981
2022-05-11 19:29:45.738031,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:29:57.815521,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:30:10.507189,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:30:22.726132,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:30:48.227415,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:31:00.866931,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:31:13.284789,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:31:24.539388,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:31:37.855134,311.0,28140646.39759312,8611615479.609211
2022-05-11 19:31:50.223829,311.0,28140799.54145129,8611663107.349102
2022-05-11 19:32:02.954103,311.0,28140799.54145129,8611663107.349102
2022-05-11 19:32:15.648852,311.0,28140799.54145129,8611663107.349102
2022-05-11 19:32:27.951976,311.0,28140820.11758297,8611669506.526054
2022-05-11 19:32:40.185285,311.0,28140820.11758297,8611669506.526054
2022-05-11 19:32:52.501660,311.0,28140820.11758297,8611669506.526054
2022-05-11 19:33:05.535057,312.0,28141988.66404697,8612034093.022821
2022-05-11 19:33:18.347754,312.0,28142405.69239497,8612164205.8674
2022-05-11 19:33:31.629752,312.0,28142405.69239497,8612164205.8674
2022-05-11 19:33:44.543271,313.0,28142848.00645247,8612302650.167397
2022-05-11 19:33:57.016047,313.0,28142848.00645247,8612302650.167397
2022-05-11 19:34:09.395396,313.0,28142848.00645247,8612302650.167397
2022-05-11 19:34:23.509189,313.0,28142848.00645247,8612302650.167397
2022-05-11 19:34:36.492425,313.0,28142879.95533425,8612312650.167393
2022-05-11 19:34:48.706705,313.0,28142879.95533425,8612312650.167393
2022-05-11 19:35:00.985109,313.0,28142879.95533425,8612312650.167393
2022-05-11 19:35:14.051487,313.0,28142879.95533425,8612312650.167393
2022-05-11 19:35:26.587182,313.0,28142879.95533425,8612312650.167393
