,price,volume,value
2022-05-11 19:07:18.126386,1640.0,8946239.26854092,15346663290.444828
2022-05-11 19:07:30.665005,1630.0,8948112.19490554,15349729808.91086
2022-05-11 19:07:44.072921,1635.0,8948743.31859428,15350761696.141949
2022-05-11 19:07:57.590425,1635.0,8948743.31859428,15350761696.141949
2022-05-11 19:08:14.818933,1635.0,8949028.12980313,15351227362.468418
2022-05-11 19:08:30.425023,1635.0,8949028.12980313,15351227362.468418
2022-05-11 19:08:44.353132,1635.0,8949028.12980313,15351227362.468418
2022-05-11 19:08:56.740846,1635.0,8949651.18276263,15352246054.057201
2022-05-11 19:09:08.342063,1635.0,8949651.18276263,15352246054.057201
2022-05-11 19:09:22.065606,1635.0,8949651.18276263,15352246054.057201
2022-05-11 19:09:36.142196,1635.0,8949680.75377593,15352294402.663946
2022-05-11 19:09:47.621915,1635.0,8949680.75377593,15352294402.663946
2022-05-11 19:10:00.056644,1635.0,8949680.75377593,15352294402.663946
2022-05-11 19:10:12.923605,1635.0,8949680.75377593,15352294402.663946
2022-05-11 19:10:24.682905,1640.0,8951241.48880599,15354854008.113245
2022-05-11 19:10:35.860349,1645.0,8968714.38824837,15383596927.695961
2022-05-11 19:10:47.684291,1645.0,8968714.38824837,15383596927.695961
2022-05-11 19:11:00.574700,1655.0,8968830.38618482,15383788109.175785
2022-05-11 19:11:12.872814,1645.0,8969096.77859013,15384227312.350409
2022-05-11 19:11:25.086432,1645.0,8969360.00449323,15384661641.680038
2022-05-11 19:11:38.446501,1655.0,8974606.14190874,15393357089.946203
2022-05-11 19:11:50.674637,1680.0,8978529.15964818,15399893276.31031
2022-05-11 19:12:03.964943,1670.0,8984805.52114397,15410442015.410738
2022-05-11 19:12:17.953531,1665.0,8995472.05332534,15428249618.89316
2022-05-11 19:12:32.530679,1665.0,8997329.02971673,15431340783.289824
2022-05-11 19:12:45.703585,1660.0,8997607.05777709,15431802982.903053
2022-05-11 19:12:57.842590,1665.0,8997872.58718526,15432244434.762657
2022-05-11 19:13:09.557606,1670.0,9001796.58722054,15438778114.801535
2022-05-11 19:13:23.364958,1675.0,9002095.16438887,15439276557.356945
2022-05-11 19:13:35.965105,1670.0,9002375.38750764,15439745011.575884
2022-05-11 19:13:48.027914,1665.0,9021961.00786216,15472390303.210842
