,price,volume,value
2022-05-11 19:07:12.627968,1070.0,25184357.0840099,27926950449.83222
2022-05-11 19:07:25.245589,1070.0,25184635.8840099,27927248765.83222
2022-05-11 19:07:37.993517,1070.0,25184640.55690709,27927253765.832214
2022-05-11 19:07:50.843034,1065.0,25190885.83885244,27933904991.10401
2022-05-11 19:08:08.624272,1070.0,25201086.27073691,27944794218.367664
2022-05-11 19:08:22.956460,1070.0,25201091.27073691,27944799568.367664
2022-05-11 19:08:38.581591,1070.0,25201091.27073691,27944799568.367664
2022-05-11 19:08:51.622430,1065.0,25201262.27073691,27944981683.367664
2022-05-11 19:09:02.930529,1065.0,25201511.50453585,27945247117.363533
2022-05-11 19:09:16.361312,1065.0,25202394.07772602,27946187057.811066
2022-05-11 19:09:31.285248,1065.0,25202394.07772602,27946187057.811066
2022-05-11 19:09:42.740050,1065.0,25202394.07772602,27946187057.811066
2022-05-11 19:09:54.430471,1065.0,25204041.33224503,27947941383.87381
2022-05-11 19:10:07.800247,1070.0,25205407.23224503,27949402896.87381
2022-05-11 19:10:19.562700,1070.0,25207562.82246436,27951705284.957397
2022-05-11 19:10:30.863621,1070.0,25211302.07201575,27955706281.977386
2022-05-11 19:10:42.590774,1070.0,25213648.66139078,27958215050.661793
2022-05-11 19:10:55.327239,1070.0,25218515.66295234,27963422742.33266
2022-05-11 19:11:07.111039,1070.0,25236316.29395234,27982469417.502663
2022-05-11 19:11:19.786958,1075.0,25245701.96976195,27992514008.630573
2022-05-11 19:11:32.413845,1075.0,25249033.66267636,27996092170.04899
2022-05-11 19:11:45.513094,1080.0,25249819.36267636,27996940726.04899
2022-05-11 19:11:57.923409,1080.0,25250168.56789437,27997317867.68444
2022-05-11 19:12:12.192843,1085.0,25263862.34077885,28012164813.211933
2022-05-11 19:12:25.925931,1085.0,25278098.9272961,28027611509.58315
2022-05-11 19:12:40.064145,1085.0,25288937.77377147,28039371658.008926
2022-05-11 19:12:52.246860,1085.0,25290926.87042498,28041529827.877983
2022-05-11 19:13:04.486661,1090.0,25294409.82203788,28045310719.02798
2022-05-11 19:13:17.989096,1090.0,25294449.26790943,28045353715.02797
2022-05-11 19:13:30.439481,1090.0,25295152.76790943,28046120530.02797
2022-05-11 19:13:42.710663,1090.0,25302047.4495608,28053635733.027966
2022-05-11 19:13:54.974394,1085.0,25315712.3435608,28068462143.017963
2022-05-11 19:14:07.569581,1085.0,25326615.09517221,28080291628.516342
2022-05-11 19:14:20.779266,1085.0,25336222.5496004,28090707875.18568
2022-05-11 19:14:32.921128,1080.0,25339438.32903965,28094180916.98007
2022-05-11 19:14:46.333768,1080.0,25342489.39722146,28097476070.616425
2022-05-11 19:14:59.568092,1080.0,25343696.78565145,28098780050.12081
2022-05-11 19:15:12.389745,1090.0,25344188.88721108,28099314209.67081
2022-05-11 19:15:25.048188,1090.0,25344222.82312502,28099351199.817005
2022-05-11 19:15:37.993774,1090.0,25358559.6922173,28114929744.256783
2022-05-11 19:15:50.419558,1085.0,25369304.52225983,28126579796.858654
2022-05-11 19:16:01.836281,1090.0,25372985.63693872,28130579796.858643
2022-05-11 19:16:14.427390,1080.0,25373590.35499428,28131232892.35865
2022-05-11 19:16:26.612059,1080.0,25373590.35499428,28131232892.35865
2022-05-11 19:16:38.823970,1080.0,25373590.35499428,28131232892.35865
2022-05-11 19:16:51.311253,1080.0,25374522.76099298,28132239890.837246
2022-05-11 19:17:03.921103,1080.0,25374522.76099298,28132239890.837246
2022-05-11 19:17:16.042472,1080.0,25375705.20312576,28133516928.34065
2022-05-11 19:17:28.995384,1080.0,25375705.20312576,28133516928.34065
2022-05-11 19:17:42.239970,1080.0,25375705.20312576,28133516928.34065
2022-05-11 19:17:54.706707,1075.0,25376299.72906096,28134156043.72099
2022-05-11 19:18:07.319795,1075.0,25376994.93803351,28134903393.366478
2022-05-11 19:18:19.919078,1080.0,25377326.81111651,28135261816.29612
2022-05-11 19:18:32.209185,1080.0,25377375.51111651,28135314412.29612
2022-05-11 19:18:45.344691,1080.0,25379787.69248455,28137919568.173603
2022-05-11 19:18:58.084628,1080.0,25380039.79248455,28138191836.173603
2022-05-11 19:19:10.883857,1080.0,25380039.79248455,28138191836.173603
2022-05-11 19:19:22.215196,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:19:36.539110,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:19:48.803454,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:20:01.541789,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:20:13.905535,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:20:26.889590,1075.0,25399766.14589718,28159493297.85924
2022-05-11 19:20:39.048300,1070.0,25400228.48437644,28159988000.03205
2022-05-11 19:20:50.959230,1070.0,25400561.82019356,28160344669.35637
2022-05-11 19:21:02.567259,1070.0,25404608.2826766,28164674384.213223
2022-05-11 19:21:14.823408,1070.0,25404608.2826766,28164674384.213223
