,price,volume,value
2022-05-11 19:07:10.012052,2265.0,36846839.81025681,85852450232.72954
2022-05-11 19:07:22.575067,2265.0,36846848.087078,85852468979.72954
2022-05-11 19:07:34.990118,2265.0,36846859.63582901,85852495137.65057
2022-05-11 19:07:48.200848,2260.0,36846977.69716798,85852761956.27664
2022-05-11 19:08:04.992218,2265.0,36849764.67567542,85859064940.50699
2022-05-11 19:08:19.741638,2260.0,36849982.79128579,85859557881.78642
2022-05-11 19:08:34.831808,2260.0,36851177.46346277,85862257840.9064
2022-05-11 19:08:48.821910,2260.0,36851676.5455678,85863385474.8562
2022-05-11 19:09:00.417631,2260.0,36851676.5455678,85863385474.8562
2022-05-11 19:09:13.294937,2260.0,36852682.92643103,85865659785.28687
2022-05-11 19:09:28.490196,2260.0,36854462.53071641,85869681690.97182
2022-05-11 19:09:40.088411,2260.0,36854462.53071641,85869681690.97182
2022-05-11 19:09:52.042141,2260.0,36857800.92073937,85877226452.4237
2022-05-11 19:10:04.780057,2260.0,36858613.42073937,85879062702.4237
2022-05-11 19:10:17.037780,2260.0,36859664.37091269,85881437849.81541
2022-05-11 19:10:28.381706,2265.0,36859851.69530365,85881862139.56094
2022-05-11 19:10:39.631968,2265.0,36859854.85105985,85881869287.34872
2022-05-11 19:10:52.333197,2265.0,36862161.7355248,85887094380.66185
2022-05-11 19:11:04.320686,2265.0,36862673.22824003,85888252911.66183
2022-05-11 19:11:17.019404,2265.0,36862673.22824003,85888252911.66183
2022-05-11 19:11:29.435132,2275.0,36870989.35513384,85907166488.24738
2022-05-11 19:11:42.776549,2280.0,36871818.04044172,85909053877.31184
2022-05-11 19:11:54.992702,2280.0,36872256.63649435,85910053876.31184
2022-05-11 19:12:08.745982,2280.0,36875060.73310524,85916447435.29364
2022-05-11 19:12:22.696673,2290.0,36877862.27767179,85922852439.91022
2022-05-11 19:12:37.069590,2285.0,36879503.87249783,85926605445.98886
2022-05-11 19:12:49.735115,2280.0,36885542.68048539,85940347191.33131
2022-05-11 19:13:01.890413,2280.0,36886549.1224334,85942641878.97278
2022-05-11 19:13:14.654690,2285.0,36886704.3787221,85942996639.59247
2022-05-11 19:13:27.636170,2285.0,36891243.38686432,85953368273.19743
2022-05-11 19:13:40.165061,2285.0,36893611.42369138,85958779237.34726
2022-05-11 19:13:52.028195,2280.0,36895090.07723453,85962151740.79922
2022-05-11 19:14:05.058690,2285.0,36906083.67924009,85987262774.96593
2022-05-11 19:14:17.786289,2275.0,36907471.45298004,85990426315.882
2022-05-11 19:14:30.038340,2275.0,36908126.78880154,85991917204.87592
2022-05-11 19:14:43.266986,2280.0,36909268.92139052,85994515567.48296
2022-05-11 19:14:56.609728,2280.0,36909428.82015326,85994879978.69237
2022-05-11 19:15:09.099717,2285.0,36916187.83713978,86010324332.50656
2022-05-11 19:15:22.260225,2290.0,36918981.82673319,86016722568.67546
2022-05-11 19:15:35.289722,2290.0,36922703.97859251,86025246296.4333
2022-05-11 19:15:47.894731,2280.0,36930829.95435224,86043814069.59152
2022-05-11 19:15:59.398876,2280.0,36934483.47935529,86052144106.59848
2022-05-11 19:16:11.661315,2280.0,36944582.40038368,86075169646.5432
2022-05-11 19:16:23.698384,2280.0,36944626.2600328,86075269646.5432
2022-05-11 19:16:36.382178,2280.0,36946033.99086113,86078479272.83179
2022-05-11 19:16:48.695005,2275.0,36951445.96915857,86090815079.78337
