,price,volume,value
2022-05-11 19:07:18.005240,5585.0,56115546.16519068,294713412482.62585
2022-05-11 19:07:30.483853,5540.0,56148119.58945714,294894469046.9212
2022-05-11 19:07:43.844362,5560.0,56185466.52638146,295101668901.4785
2022-05-11 19:07:57.470397,5565.0,56199001.03200844,295176969962.40753
2022-05-11 19:08:14.637911,5550.0,56227770.48676391,295336754134.6176
2022-05-11 19:08:30.259455,5515.0,56250567.33865235,295462796564.8512
2022-05-11 19:08:44.247026,5530.0,56280764.70070696,295629553906.36896
2022-05-11 19:08:56.635212,5525.0,56292018.71772605,295691801018.6721
2022-05-11 19:09:08.206281,5510.0,56316538.86803742,295826974498.6372
2022-05-11 19:09:21.853146,5515.0,56346237.14851716,295990405282.1488
2022-05-11 19:09:36.051992,5560.0,56369529.24580234,296119447949.1338
2022-05-11 19:09:47.516354,5570.0,56400538.42143371,296292055721.2443
2022-05-11 19:09:59.936193,5580.0,56434680.22920517,296481996498.4949
2022-05-11 19:10:12.833065,5580.0,56456288.31545933,296602390777.43304
2022-05-11 19:10:24.562053,5575.0,56475521.00579104,296709663120.70416
2022-05-11 19:10:35.768988,5600.0,56500060.92099904,296846893336.40344
2022-05-11 19:10:47.594385,5625.0,56521179.69650373,296965536312.6311
2022-05-11 19:11:00.484279,5625.0,56551958.27011346,297138739936.46826
2022-05-11 19:11:12.707702,5665.0,56591893.61195768,297364192651.189
2022-05-11 19:11:24.980513,5690.0,56624158.59427899,297547522137.309
2022-05-11 19:11:38.340228,5695.0,56668016.32599179,297797414423.816
2022-05-11 19:11:50.569378,5695.0,56710537.08221952,298039236434.247
2022-05-11 19:12:03.842297,5705.0,56738712.50858587,298199702069.56415
2022-05-11 19:12:17.862276,5710.0,56775027.65679797,298407012371.9241
2022-05-11 19:12:32.395430,5685.0,56807040.5560776,298589534792.5384
2022-05-11 19:12:45.612857,5635.0,56851306.24104672,298840103082.5162
2022-05-11 19:12:57.753553,5635.0,56884107.87674625,299024735364.6061
2022-05-11 19:13:09.466903,5680.0,56904740.30353971,299141465848.2788
2022-05-11 19:13:23.258803,5680.0,56922543.25478975,299242531120.6447
2022-05-11 19:13:35.798448,5670.0,56936352.14322096,299320920003.0161
2022-05-11 19:13:47.938182,5660.0,56945280.28460835,299371560114.306
2022-05-11 19:14:00.564504,5605.0,56960582.96116562,299457853028.51013
2022-05-11 19:14:12.940800,5595.0,56980006.45603003,299566734733.69403
2022-05-11 19:14:26.216139,5590.0,56996673.73358859,299660015254.2274
2022-05-11 19:14:38.630831,5575.0,57013260.48850224,299752658558.591
2022-05-11 19:14:51.879198,5585.0,57023177.78155012,299808050432.37335
2022-05-11 19:15:04.888823,5620.0,57069641.69899388,300068332262.51056
2022-05-11 19:15:17.788824,5655.0,57100157.84727868,300240487045.208
2022-05-11 19:15:30.857653,5650.0,57116704.59571424,300334055857.471
2022-05-11 19:15:43.677116,5610.0,57131389.88161363,300416853210.50635
2022-05-11 19:15:55.347978,5585.0,57139126.77584338,300460205329.5109
2022-05-11 19:16:07.458874,5575.0,57162616.86829581,300591224318.4777
2022-05-11 19:16:19.459417,5620.0,57171415.88674694,300640490766.74286
2022-05-11 19:16:32.047041,5645.0,57180288.48480921,300690557014.8005
2022-05-11 19:16:44.086107,5620.0,57189270.8039503,300741121138.2903
2022-05-11 19:16:56.913560,5610.0,57191739.82386984,300754999348.00464
2022-05-11 19:17:09.187927,5605.0,57196428.88678339,300781296013.208
2022-05-11 19:17:21.620276,5610.0,57205442.46663275,300831896979.6612
2022-05-11 19:17:34.776151,5630.0,57218564.82249196,300905798603.18134
2022-05-11 19:17:48.262687,5630.0,57224872.86399942,300941322796.70636
2022-05-11 19:18:00.188781,5640.0,57236146.76686939,301004891438.3229
2022-05-11 19:18:12.744598,5630.0,57240948.63501923,301031951298.2136
2022-05-11 19:18:25.104983,5610.0,57247583.96015211,301069291275.6999
2022-05-11 19:18:37.877746,5605.0,57259657.29462549,301136958674.74976
2022-05-11 19:18:51.034760,5615.0,57261132.99299924,301145262341.01874
2022-05-11 19:19:03.378840,5615.0,57265125.6293661,301167678901.6524
2022-05-11 19:19:15.883383,5615.0,57270856.24478828,301199839420.4777
2022-05-11 19:19:26.996234,5590.0,57281100.37633216,301257211579.56775
2022-05-11 19:19:41.935072,5570.0,57306775.21149867,301400612352.9696
2022-05-11 19:19:54.357678,5570.0,57315975.24047197,301451912878.4068
2022-05-11 19:20:06.636427,5560.0,57346932.87724451,301624237432.01587
2022-05-11 19:20:19.554839,5565.0,57359920.24897191,301696395444.545
2022-05-11 19:20:31.952816,5550.0,57371591.58324597,301761168137.1632
2022-05-11 19:20:44.002678,5565.0,57387990.53325959,301852365105.1393
2022-05-11 19:20:56.127376,5595.0,57395015.37830074,301891599819.6696
2022-05-11 19:21:07.964544,5600.0,57399758.37890401,301918145005.4116
2022-05-11 19:21:19.876737,5600.0,57408758.035559,301968542209.7553
2022-05-11 19:21:32.164602,5585.0,57415936.51058434,302008674392.99774
2022-05-11 19:21:44.144106,5580.0,57421558.27171198,302040096151.9541
2022-05-11 19:21:55.993418,5575.0,57426556.69933027,302067986929.3915
2022-05-11 19:22:08.280858,5580.0,57429526.3476945,302084548079.59296
2022-05-11 19:22:20.149364,5580.0,57438503.09048336,302134657582.78766
2022-05-11 19:22:32.908059,5585.0,57442285.37830787,302155817522.0025
2022-05-11 19:22:45.470362,5570.0,57443128.97632589,302160522817.4249
2022-05-11 19:22:57.896384,5575.0,57449986.20128017,302198756596.73737
2022-05-11 19:23:10.931741,5570.0,57453936.36564045,302220767485.0569
2022-05-11 19:23:24.068741,5545.0,57459079.28645572,302249354881.2596
2022-05-11 19:23:36.797355,5560.0,57471963.5241504,302320756861.82495
2022-05-11 19:23:49.434257,5585.0,57479711.83462164,302363912314.7181
2022-05-11 19:24:02.135162,5610.0,57499093.86965689,302472513474.29944
2022-05-11 19:24:15.660548,5640.0,57536749.76897454,302684623984.7324
2022-05-11 19:24:28.801985,5660.0,57557003.42924753,302799057688.8802
2022-05-11 19:24:40.886415,5650.0,57569655.42048715,302870531766.6834
2022-05-11 19:24:54.327375,5640.0,57575356.38530746,302902704593.99805
2022-05-11 19:25:06.892128,5630.0,57589575.31029697,302982791291.1966
2022-05-11 19:25:20.485250,5605.0,57603661.97395143,303061866032.6115
2022-05-11 19:25:33.364121,5605.0,57607657.10745766,303084293844.0356
2022-05-11 19:25:45.740542,5595.0,57618151.25216902,303142972543.0105
2022-05-11 19:25:58.065120,5585.0,57624548.60456985,303178691132.8487
2022-05-11 19:26:11.522860,5590.0,57636679.41343919,303246529826.6636
2022-05-11 19:26:23.424574,5600.0,57644465.27107189,303290070007.76636
2022-05-11 19:26:36.701678,5605.0,57653052.57029858,303338166453.54987
2022-05-11 19:26:49.520440,5620.0,57668207.83735185,303423319637.3357
2022-05-11 19:27:02.207142,5635.0,57681347.0232319,303497262992.97253
2022-05-11 19:27:14.627188,5610.0,57689175.67321956,303541227241.47736
2022-05-11 19:27:27.384063,5620.0,57692300.94982015,303558758471.8993
2022-05-11 19:27:40.008461,5640.0,57704694.15851448,303628513052.25214
2022-05-11 19:27:53.616728,5635.0,57736938.01162358,303810389510.78094
2022-05-11 19:28:06.666013,5645.0,57747877.40465763,303872059089.47705
2022-05-11 19:28:19.077355,5690.0,57786785.42363004,304092443127.2445
2022-05-11 19:28:31.685547,5680.0,57816816.30475995,304263048796.2185
2022-05-11 19:28:44.760871,5685.0,57827932.48654269,304326203805.23334
2022-05-11 19:28:56.525823,5685.0,57839141.43163565,304389926823.55084
2022-05-11 19:29:08.590899,5680.0,57857526.08756837,304494415847.5146
2022-05-11 19:29:21.646387,5670.0,57866879.07917111,304547519128.6452
2022-05-11 19:29:35.414035,5685.0,57877931.11941631,304610315144.85046
2022-05-11 19:29:48.390059,5685.0,57889350.15405208,304675213464.5681
