,price,volume,value
2022-05-11 19:07:16.734727,346.0,29121150.16261502,10840961352.805422
2022-05-11 19:07:29.140110,346.0,29122798.70769502,10841531749.403103
2022-05-11 19:07:42.468965,347.0,29127958.95265178,10843322354.403097
2022-05-11 19:07:55.505859,348.0,29172799.31651444,10858910285.721497
2022-05-11 19:08:13.156794,349.0,29184559.7486193,10863014676.526093
2022-05-11 19:08:28.852330,349.0,29184559.7486193,10863014676.526093
2022-05-11 19:08:43.023632,348.0,29187185.52833832,10863929564.648031
2022-05-11 19:08:55.573026,348.0,29187185.52833832,10863929564.648031
2022-05-11 19:09:07.147210,348.0,29188586.02523272,10864416937.567282
2022-05-11 19:09:20.798835,347.0,29221121.87518702,10875736968.774118
2022-05-11 19:09:35.023972,347.0,29221136.71198227,10875742117.14207
2022-05-11 19:09:46.490658,347.0,29221136.71198227,10875742117.14207
2022-05-11 19:09:58.606606,349.0,29221473.61185227,10875859695.196701
2022-05-11 19:10:11.758632,349.0,29222668.68858273,10876276776.975632
2022-05-11 19:10:23.566101,349.0,29222668.68858273,10876276776.975632
2022-05-11 19:10:34.498652,348.0,29225659.10396124,10877317441.527353
2022-05-11 19:10:46.397524,348.0,29225659.10396124,10877317441.527353
2022-05-11 19:10:59.502412,348.0,29225835.97722111,10877378993.421787
2022-05-11 19:11:11.668979,348.0,29225835.97722111,10877378993.421787
2022-05-11 19:11:23.831501,347.0,29228502.64388777,10878304437.23818
2022-05-11 19:11:37.236999,347.0,29228502.64388777,10878304437.23818
2022-05-11 19:11:49.528070,349.0,29229707.82318778,10878725466.352583
2022-05-11 19:12:02.545145,349.0,29232435.82318778,10879677538.352583
2022-05-11 19:12:16.637724,349.0,29235280.82318778,10880670443.352583
2022-05-11 19:12:31.274749,352.0,29264287.88244351,10890861490.321407
2022-05-11 19:12:44.294233,352.0,29264287.88244351,10890861490.321407
2022-05-11 19:12:56.710004,352.0,29264287.88244351,10890861490.321407
2022-05-11 19:13:08.422761,352.0,29266860.09349707,10891766908.612259
2022-05-11 19:13:22.290387,352.0,29266860.09349707,10891766908.612259
2022-05-11 19:13:34.314850,352.0,29271412.19043131,10893367801.646408
2022-05-11 19:13:59.400230,353.0,29271944.21553131,10893555606.506706
2022-05-11 19:14:11.914139,353.0,29274905.3187101,10894600875.92882
2022-05-11 19:14:24.930330,353.0,29275662.3187101,10894868096.92882
2022-05-11 19:14:37.546340,353.0,29275662.3187101,10894868096.92882
2022-05-11 19:14:50.621786,353.0,29282174.89010719,10897167034.631992
2022-05-11 19:15:03.652149,354.0,29290190.04467306,10900003831.971283
2022-05-11 19:15:16.250613,353.0,29290859.12806337,10900240018.408062
2022-05-11 19:15:29.363658,353.0,29292969.04194811,10900984818.009375
2022-05-11 19:15:42.453166,353.0,29292969.04194811,10900984818.009375
2022-05-11 19:15:54.266421,352.0,29313503.8285251,10908213062.884476
2022-05-11 19:16:06.401425,351.0,29313803.8285251,10908318362.884476
2022-05-11 19:16:18.328529,351.0,29315224.28307055,10908816942.429928
2022-05-11 19:16:31.005707,351.0,29315224.28307055,10908816942.429928
2022-05-11 19:16:43.029879,345.0,29334319.18510881,10915452661.935976
2022-05-11 19:16:55.709370,348.0,29336859.794542,10916336794.018724
2022-05-11 19:17:08.067440,349.0,29337672.83101501,10916620543.747807
2022-05-11 19:17:20.579382,349.0,29342422.54257899,10918278193.083635
2022-05-11 19:17:33.595435,349.0,29347172.25414297,10919935842.419464
2022-05-11 19:17:46.991626,349.0,29347172.25414297,10919935842.419464
2022-05-11 19:17:58.739632,349.0,29347172.25414297,10919935842.419464
2022-05-11 19:18:11.520288,349.0,29347172.25414297,10919935842.419464
2022-05-11 19:18:24.124394,349.0,29348672.25414297,10920459342.419464
2022-05-11 19:18:36.695701,348.0,29351860.45299897,10921571011.743176
2022-05-11 19:18:49.733728,348.0,29351860.45299897,10921571011.743176
2022-05-11 19:19:02.205615,349.0,29352147.8093208,10921671299.099495
2022-05-11 19:19:14.810165,349.0,29353103.656943,10922004291.944572
2022-05-11 19:19:25.877480,349.0,29353103.656943,10922004291.944572
2022-05-11 19:19:41.001448,349.0,29353103.656943,10922004291.944572
2022-05-11 19:19:53.088612,349.0,29354603.656943,10922527791.944572
2022-05-11 19:20:05.628329,347.0,29363375.58676756,10925571680.329327
2022-05-11 19:20:18.010437,347.0,29363375.58676756,10925571680.329327
2022-05-11 19:20:30.788055,347.0,29363375.58676756,10925571680.329327
2022-05-11 19:20:42.995071,347.0,29363375.58676756,10925571680.329327
2022-05-11 19:20:55.055648,348.0,29370710.66247243,10928124286.674622
2022-05-11 19:21:06.606213,348.0,29380692.99415581,10931598138.100437
2022-05-11 19:21:18.794945,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:21:31.117323,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:21:43.162151,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:22:07.254003,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:22:19.031507,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:22:31.733193,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:22:44.066346,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:22:56.694994,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:23:09.419981,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:23:22.774498,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:23:35.713576,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:23:48.242576,347.0,29380737.50454156,10931613583.204292
2022-05-11 19:24:00.865120,347.0,29381699.12285776,10931947264.760014
