,price,volume,value
2022-05-11 19:07:13.731030,153.0,125899891.68634091,19276540683.936718
2022-05-11 19:07:26.483811,153.0,125901617.68634091,19276804761.936718
2022-05-11 19:07:39.019635,153.0,125902117.68634091,19276881261.936718
2022-05-11 19:07:51.962148,153.0,125903424.87588339,19277081261.936718
2022-05-11 19:08:09.785593,153.0,125929946.18611817,19281113907.092407
2022-05-11 19:08:24.587748,153.0,125929946.18611817,19281113907.092407
2022-05-11 19:08:39.816899,153.0,125929946.18611817,19281113907.092407
2022-05-11 19:08:52.727109,152.0,125931600.41574094,19281365349.995068
2022-05-11 19:09:04.092391,153.0,125931636.41574094,19281370857.995068
2022-05-11 19:09:17.722660,153.0,125935681.41574094,19281989742.995068
2022-05-11 19:09:32.345242,152.0,125970505.72597572,19287292747.150753
2022-05-11 19:09:43.693477,152.0,125970505.72597572,19287292747.150753
2022-05-11 19:09:55.643298,153.0,125975426.44359691,19288044237.63645
2022-05-11 19:10:09.008457,153.0,125975426.44359691,19288044237.63645
2022-05-11 19:10:20.862629,153.0,125975426.44359691,19288044237.63645
2022-05-11 19:10:31.864021,153.0,125982852.99222487,19289180499.576527
2022-05-11 19:10:43.543569,153.0,125982852.99222487,19289180499.576527
2022-05-11 19:10:56.477625,153.0,125982852.99222487,19289180499.576527
2022-05-11 19:11:08.513176,154.0,125983020.99222487,19289206371.576527
2022-05-11 19:11:20.863873,154.0,125983692.99222487,19289309859.576527
2022-05-11 19:11:33.543863,155.0,125996538.99222487,19291300989.576527
2022-05-11 19:11:46.541779,155.0,125996539.91398507,19291301132.44936
2022-05-11 19:11:59.206939,155.0,125996573.76224037,19291306378.928932
2022-05-11 19:12:13.690011,156.0,126004853.6914839,19292598047.890923
2022-05-11 19:12:27.345107,156.0,126034535.27043127,19297257924.20671
2022-05-11 19:12:41.119481,157.0,126297354.06450742,19338511735.264263
2022-05-11 19:12:53.713180,156.0,126335504.72042105,19344463237.586784
2022-05-11 19:13:05.620620,156.0,126335549.31220648,19344470237.586784
2022-05-11 19:13:19.364548,157.0,126335773.31220648,19344505405.586784
2022-05-11 19:13:31.569905,157.0,126348747.18836711,19346542304.144005
2022-05-11 19:13:43.932709,157.0,126348747.18836711,19346542304.144005
2022-05-11 19:13:56.224403,156.0,126411327.71179822,19356304865.79926
2022-05-11 19:14:08.929994,156.0,126411327.71179822,19356304865.79926
2022-05-11 19:14:21.867174,155.0,126411577.138747,19356343526.976322
2022-05-11 19:14:34.049558,155.0,126411577.138747,19356343526.976322
2022-05-11 19:14:47.703657,155.0,126414193.39099643,19356749046.07498
2022-05-11 19:15:00.625582,155.0,126414925.07000229,19356862456.32089
