,price,volume,value
2022-05-11 19:07:16.056462,717.0,42943792.48862559,32435889179.183052
2022-05-11 19:07:28.448420,717.0,42943792.48862559,32435889179.183052
2022-05-11 19:07:41.636544,715.0,42947731.29864246,32438707639.19779
2022-05-11 19:07:54.569637,714.0,42949690.39437276,32440106433.549225
2022-05-11 19:08:12.176044,713.0,42952503.24589959,32442112004.490417
2022-05-11 19:08:28.007206,713.0,42952603.24589959,32442183304.490417
2022-05-11 19:08:42.209022,712.0,42954288.24211233,32443384575.703777
2022-05-11 19:08:54.604474,714.0,42955035.33134361,32443917997.41491
2022-05-11 19:09:06.374396,714.0,42955056.33974697,32443932997.41491
2022-05-11 19:09:19.830742,713.0,42955805.22477149,32444466952.437393
2022-05-11 19:09:34.325465,713.0,42961304.56556392,32448387982.422394
2022-05-11 19:09:45.764375,713.0,42962413.99261757,32449179003.911648
2022-05-11 19:09:57.730516,713.0,42963326.6920835,32449829368.8877
2022-05-11 19:10:11.020342,719.0,42965632.5408823,32451474174.542393
2022-05-11 19:10:22.934365,719.0,42965632.5408823,32451474174.542393
2022-05-11 19:10:33.819789,714.0,42966231.30038622,32451901688.828194
2022-05-11 19:10:45.520404,716.0,42966593.59560173,32452160381.61207
2022-05-11 19:10:58.668324,716.0,42966593.59560173,32452160381.61207
2022-05-11 19:11:10.747325,716.0,42966593.59560173,32452160381.61207
2022-05-11 19:11:23.032053,716.0,42966593.59560173,32452160381.61207
2022-05-11 19:11:36.360615,718.0,42966984.53390173,32452440307.434868
2022-05-11 19:11:48.743465,715.0,42969577.09680618,32454296409.66305
2022-05-11 19:12:01.455889,719.0,42980018.21680398,32461772272.58148
2022-05-11 19:12:15.895665,719.0,42980018.21680398,32461772272.58148
2022-05-11 19:12:30.094124,719.0,42980018.21680398,32461772272.58148
2022-05-11 19:12:43.492494,720.0,42983152.77765238,32464026028.83148
2022-05-11 19:12:55.847685,720.0,42983152.77765238,32464026028.83148
2022-05-11 19:13:07.774622,720.0,42983160.48222935,32464031576.126896
2022-05-11 19:13:21.298102,720.0,42986044.84265596,32466103588.045204
2022-05-11 19:13:33.408219,720.0,42986044.84265596,32466103588.045204
2022-05-11 19:13:46.206570,719.0,42986191.32527069,32466208909.045197
2022-05-11 19:13:58.386383,720.0,42986520.67893495,32466445721.50741
2022-05-11 19:14:11.009541,719.0,42994725.08567838,32472344770.52399
2022-05-11 19:14:24.235737,719.0,43007139.74994761,32481261212.99306
2022-05-11 19:14:36.789168,719.0,43008565.22618377,32482286130.40686
2022-05-11 19:14:49.808274,718.0,43008593.04259545,32482306102.590446
2022-05-11 19:15:02.761430,717.0,43009093.04259545,32482664602.590446
2022-05-11 19:15:15.557860,717.0,43009111.01845619,32482677491.282597
2022-05-11 19:15:28.487700,719.0,43010989.83129931,32484027885.53321
2022-05-11 19:15:41.669212,719.0,43011938.84636062,32484710227.362293
2022-05-11 19:15:53.324367,719.0,43011938.84636062,32484710227.362293
2022-05-11 19:16:05.591477,717.0,43012415.37803048,32485051900.569584
2022-05-11 19:16:17.512400,717.0,43012415.37803048,32485051900.569584
2022-05-11 19:16:30.011047,717.0,43012686.07767624,32485245992.21559
2022-05-11 19:16:42.196127,718.0,43015702.71887624,32487411940.59719
2022-05-11 19:16:54.894819,718.0,43015702.71887624,32487411940.59719
