,price,volume,value
2022-05-11 19:07:11.160489,25.1,1201618882.6274204,31491766332.11336
2022-05-11 19:07:23.739454,25.1,1201618882.6274204,31491766332.11336
2022-05-11 19:07:36.240215,25.1,1201634068.5835958,31492147499.61336
2022-05-11 19:07:49.286519,25.0,1203505064.5188212,31538923668.93149
2022-05-11 19:08:06.776459,25.0,1204471632.724134,31563087874.06431
2022-05-11 19:08:21.192153,25.0,1204590536.9701338,31566060480.214306
2022-05-11 19:08:36.120565,25.0,1204730120.2892277,31569550063.191654
2022-05-11 19:08:49.883033,25.0,1204730120.2892277,31569550063.191654
2022-05-11 19:09:01.447357,25.0,1204812962.9841278,31571621130.564156
2022-05-11 19:09:14.685997,25.0,1204816962.9841278,31571721130.564156
2022-05-11 19:09:29.485857,25.0,1205392932.99854,31586120080.089706
2022-05-11 19:09:41.027096,25.0,1206226143.4473622,31606950341.310265
2022-05-11 19:09:53.037670,25.0,1206829999.267543,31622046736.81479
2022-05-11 19:10:05.730290,25.0,1208061467.8882446,31652833452.33233
2022-05-11 19:10:17.991990,25.0,1210949181.951304,31725026303.90881
2022-05-11 19:10:29.323667,25.0,1211634699.3498268,31742164238.87188
2022-05-11 19:10:40.597074,25.1,1211636602.4972372,31742212007.87188
2022-05-11 19:10:53.303074,25.0,1211774694.6801236,31745658874.15894
2022-05-11 19:11:05.296606,25.1,1211778694.6801236,31745759274.15894
2022-05-11 19:11:18.049125,25.1,1211778694.6801236,31745759274.15894
2022-05-11 19:11:30.626394,25.2,1211926320.4561756,31749471781.13784
2022-05-11 19:11:43.797674,25.2,1211941125.6667664,31749844872.444733
2022-05-11 19:11:55.944279,25.3,1211957840.0490315,31750267248.00334
2022-05-11 19:12:10.199519,25.3,1212155619.9936912,31755271080.60323
2022-05-11 19:12:23.663483,25.4,1213137128.565871,31780107275.22179
2022-05-11 19:12:38.306684,25.3,1213228944.6417434,31782433530.373703
2022-05-11 19:12:50.811064,25.3,1213508719.9457407,31789506845.56484
2022-05-11 19:13:03.099437,25.3,1213670660.9910283,31793603954.010612
2022-05-11 19:13:15.998514,25.4,1213745290.0021763,31795493238.955463
2022-05-11 19:13:28.652041,25.4,1213760209.5833004,31795872196.31601
2022-05-11 19:13:41.183522,25.4,1213762177.1034772,31795922171.328503
2022-05-11 19:13:53.251820,25.4,1213762177.1034772,31795922171.328503
2022-05-11 19:14:05.954523,25.3,1213828858.2957714,31797609596.069725
