,price,volume,value
2022-05-11 19:07:11.568357,499.0,71511371.13298649,37923371918.68723
2022-05-11 19:07:24.174523,499.0,71525510.6148151,37930427520.119705
2022-05-11 19:07:36.741268,498.0,71548438.9746122,37941863680.98503
2022-05-11 19:07:49.724596,497.0,71580580.77760576,37957867090.07652
2022-05-11 19:08:07.413260,496.0,71581829.7188024,37958486564.910065
2022-05-11 19:08:21.749552,495.0,71582214.53661615,37958677049.72787
2022-05-11 19:08:36.905592,495.0,71591299.66324683,37963174187.41005
2022-05-11 19:08:50.350835,495.0,71597997.6176668,37966489674.84794
2022-05-11 19:09:01.931456,495.0,71605035.64633268,37969973499.03755
2022-05-11 19:09:15.139627,496.0,71607394.41695642,37971144769.03755
2022-05-11 19:09:30.001233,495.0,71607465.98322889,37971180194.34242
2022-05-11 19:09:41.558210,496.0,71607526.46709985,37971210194.342415
2022-05-11 19:09:53.446779,496.0,71607526.46709985,37971210194.342415
2022-05-11 19:10:06.184012,496.0,71608840.87061676,37971862138.48681
2022-05-11 19:10:18.431309,496.0,71608840.87061676,37971862138.48681
2022-05-11 19:10:29.774934,496.0,71608840.87061676,37971862138.48681
2022-05-11 19:10:41.168114,498.0,71608899.87061676,37971891520.48681
2022-05-11 19:10:53.817419,498.0,71609042.48351999,37971962541.71261
2022-05-11 19:11:05.775009,498.0,71609042.48351999,37971962541.71261
2022-05-11 19:11:18.501884,498.0,71609042.48351999,37971962541.71261
2022-05-11 19:11:31.038089,499.0,71640542.16354658,37987698091.918846
2022-05-11 19:11:44.231492,502.0,71655508.2432336,37995211063.92174
2022-05-11 19:11:56.563877,502.0,71656942.85494807,37995931239.0024
2022-05-11 19:12:10.685267,505.0,71659310.91618292,37997125221.6195
2022-05-11 19:12:24.219612,506.0,71716869.07365403,38026255760.955605
2022-05-11 19:12:38.805768,504.0,71767697.6640339,38051973570.68783
2022-05-11 19:12:51.175403,503.0,71783722.43869099,38060047920.04343
2022-05-11 19:13:03.475979,504.0,71832135.34944439,38084445723.418686
2022-05-11 19:13:16.495619,505.0,71843172.43459935,38090021822.62194
2022-05-11 19:13:29.364820,505.0,71843192.8427626,38090032128.74439
2022-05-11 19:13:41.698095,505.0,71865751.43796083,38101427650.990105
2022-05-11 19:13:53.734552,505.0,71868152.10685682,38102639988.782585
2022-05-11 19:14:06.365411,506.0,71878049.04952136,38107639988.782585
2022-05-11 19:14:19.298978,503.0,71880972.47438785,38109112066.49242
2022-05-11 19:14:31.517678,501.0,71881576.48961855,38109414701.023895
2022-05-11 19:14:45.034169,501.0,71881576.48961855,38109414701.023895
2022-05-11 19:14:58.464218,503.0,71886333.12253946,38111807151.13355
2022-05-11 19:15:10.971177,504.0,71890699.94668965,38114008030.50525
2022-05-11 19:15:23.705786,506.0,71896931.65884732,38117151227.43271
2022-05-11 19:15:36.782696,504.0,71897389.36260732,38117382341.61043
2022-05-11 19:15:49.398164,503.0,71907328.78475684,38122381870.951645
2022-05-11 19:16:00.721412,503.0,71907328.78475684,38122381870.951645
2022-05-11 19:16:13.349124,502.0,71907348.66547254,38122391851.07092
2022-05-11 19:16:25.407486,501.0,71908002.19968969,38122719271.713715
2022-05-11 19:16:37.722908,501.0,71915043.39495723,38126246910.542755
2022-05-11 19:16:50.130379,501.0,71916241.35763188,38126847089.84275
2022-05-11 19:17:02.700270,499.0,71950475.30286326,38143926041.601715
2022-05-11 19:17:14.759018,500.0,71951500.66740583,38144438723.873
2022-05-11 19:17:27.683685,500.0,71951500.66740583,38144438723.873
2022-05-11 19:17:40.909006,500.0,71951500.66740583,38144438723.873
2022-05-11 19:17:53.438996,501.0,71956250.55208193,38146817021.79288
2022-05-11 19:18:06.110111,501.0,71958645.14190228,38148016711.29288
2022-05-11 19:18:18.728315,501.0,71958670.14190228,38148029236.29288
2022-05-11 19:18:31.093463,500.0,71962452.15088381,38149921535.79262
2022-05-11 19:18:43.998725,501.0,71964881.51376021,38151138646.5937
2022-05-11 19:18:57.061426,501.0,71971404.12557003,38154408252.11042
2022-05-11 19:19:09.701669,501.0,71973309.27898003,38155362733.96883
2022-05-11 19:19:21.101553,501.0,71973309.27898003,38155362733.96883
2022-05-11 19:19:35.312756,500.0,71989370.83112815,38163393510.042885
2022-05-11 19:19:47.668979,500.0,71989370.83112815,38163393510.042885
2022-05-11 19:20:00.240453,498.0,72000651.31768638,38169013492.429886
2022-05-11 19:20:12.831170,498.0,72000651.31768638,38169013492.429886
2022-05-11 19:20:25.724273,498.0,72000703.31768638,38169039388.429886
2022-05-11 19:20:37.629676,498.0,72000703.31768638,38169039388.429886
2022-05-11 19:20:49.933334,497.0,72001716.10273328,38169542742.5982
2022-05-11 19:21:01.601643,497.0,72016083.91551922,38176684879.74134
2022-05-11 19:21:13.434623,497.0,72025285.25827032,38181257947.08864
2022-05-11 19:21:25.632505,497.0,72026825.0161737,38182022656.00871
2022-05-11 19:21:37.875518,498.0,72028392.0161737,38182803022.00871
2022-05-11 19:21:50.016732,497.0,72029808.59018631,38183507059.29298
2022-05-11 19:22:01.872358,498.0,72036285.83115016,38186732725.29298
2022-05-11 19:22:13.859696,498.0,72036285.83115016,38186732725.29298
2022-05-11 19:22:25.893644,498.0,72036992.83115016,38187084811.29298
2022-05-11 19:22:38.975244,498.0,72056992.83115016,38197044811.29298
2022-05-11 19:22:51.143111,497.0,72063534.01790892,38200295781.112076
2022-05-11 19:23:03.672940,497.0,72063534.01790892,38200295781.112076
