,price,volume,value
2022-05-11 19:07:10.935861,76.9,79541074.53511126,6510613400.961333
2022-05-11 19:07:23.528087,76.9,79541074.53511126,6510613400.961333
2022-05-11 19:07:36.014159,76.9,79541074.53511126,6510613400.961333
2022-05-11 19:07:49.045429,76.9,79541074.53511126,6510613400.961333
2022-05-11 19:08:06.322025,76.9,79542807.05694146,6510746631.890076
2022-05-11 19:08:20.934030,76.9,79542807.05694146,6510746631.890076
2022-05-11 19:08:35.879336,76.5,79547874.94996546,6511133843.619599
2022-05-11 19:08:49.685822,76.5,79566390.24806546,6512550263.924249
2022-05-11 19:09:01.206287,76.5,79576390.24806546,6513315263.924249
2022-05-11 19:09:14.414131,76.5,79596390.24806546,6514845263.924249
2022-05-11 19:09:29.230090,76.5,79596390.24806546,6514845263.924249
2022-05-11 19:09:40.815076,76.5,79611807.51124246,6516020098.98618
2022-05-11 19:09:52.841084,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:10:05.548635,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:10:17.781228,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:10:29.142411,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:10:40.338582,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:10:53.060501,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:11:05.102257,76.5,79616854.35034247,6516406182.17733
2022-05-11 19:11:17.851894,76.9,79640239.51040483,6518203783.188103
2022-05-11 19:11:30.416346,76.9,79640324.61447006,6518210327.69072
2022-05-11 19:11:43.603293,76.9,79640324.61447006,6518210327.69072
2022-05-11 19:11:55.688663,76.9,79640324.61447006,6518210327.69072
2022-05-11 19:12:09.898774,77.0,79651763.97379483,6519091158.3587265
2022-05-11 19:12:23.452243,77.0,79651763.97379483,6519091158.3587265
2022-05-11 19:12:38.110225,77.1,79653086.72511758,6519193142.48571
2022-05-11 19:12:50.614195,77.1,79653086.72511758,6519193142.48571
2022-05-11 19:13:02.797511,77.5,79653215.84427455,6519203142.48571
2022-05-11 19:13:15.712063,77.5,79668506.06396662,6520388134.511845
2022-05-11 19:13:28.409946,77.6,79706141.81393655,6523308668.709511
2022-05-11 19:13:40.847826,77.6,79706141.81393655,6523308668.709511
2022-05-11 19:13:53.025739,77.6,79706141.81393655,6523308668.709511
2022-05-11 19:14:05.772351,77.6,79706141.81393655,6523308668.709511
2022-05-11 19:14:18.498137,77.6,79706141.81393655,6523308668.709511
2022-05-11 19:14:30.915038,77.6,79744782.28751418,6526307169.459136
2022-05-11 19:14:44.202596,77.6,79744782.28751418,6526307169.459136
2022-05-11 19:14:57.665666,77.6,79744782.28751418,6526307169.459136
2022-05-11 19:15:09.957122,77.6,79744782.28751418,6526307169.459136
2022-05-11 19:15:22.998471,77.6,79744782.28751418,6526307169.459136
2022-05-11 19:15:36.101321,77.7,79744975.07415284,6526322161.800836
2022-05-11 19:15:48.811987,77.7,79744975.07415284,6526322161.800836
2022-05-11 19:16:00.103497,77.7,79744975.07415284,6526322161.800836
2022-05-11 19:16:12.674212,77.7,79784975.07415284,6529430161.800836
2022-05-11 19:16:24.605338,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:16:37.151567,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:16:49.481556,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:17:01.855061,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:17:14.063393,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:17:26.988359,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:17:40.155109,77.7,79785618.52331628,6529480157.800835
2022-05-11 19:17:52.788410,77.7,79856978.07589325,6535023506.376272
2022-05-11 19:18:05.445173,77.7,79870755.49876328,6536094012.133273
2022-05-11 19:18:18.003783,77.7,79895463.82656224,6538013855.629988
2022-05-11 19:18:30.429852,77.7,79901898.83299725,6538513855.629988
2022-05-11 19:18:43.138629,77.7,79901898.83299725,6538513855.629988
2022-05-11 19:18:56.380492,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:19:08.960525,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:19:20.477999,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:19:34.678098,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:19:47.080388,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:19:59.395449,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:20:11.788905,77.7,79941751.57749113,6541610413.877162
2022-05-11 19:20:25.149795,77.7,80007095.39196111,6546687628.26148
2022-05-11 19:20:36.948982,77.7,80007095.39196111,6546687628.26148
2022-05-11 19:20:49.286605,77.7,80007095.39196111,6546687628.26148
