,price,volume,value
2022-05-11 19:07:12.822966,1420.0,45377636.00060194,69104010398.79762
2022-05-11 19:07:25.470436,1415.0,45377656.32624374,69104039230.0033
2022-05-11 19:07:38.173676,1420.0,45377741.46125598,69104159766.46815
2022-05-11 19:07:51.068709,1415.0,45378742.40583369,69105576173.46815
2022-05-11 19:08:08.835770,1415.0,45384425.44546049,69113617744.9626
2022-05-11 19:08:23.171425,1420.0,45384759.69593327,69114090974.96257
2022-05-11 19:08:38.807534,1415.0,45385192.04864462,69114702754.04913
2022-05-11 19:08:51.862781,1415.0,45389194.27829902,69120365909.01012
2022-05-11 19:09:03.142246,1415.0,45389194.27829902,69120365909.01012
2022-05-11 19:09:16.558138,1415.0,45390305.58161846,69121938403.20712
2022-05-11 19:09:31.527144,1415.0,45392536.35890486,69125094953.06737
2022-05-11 19:09:42.921596,1415.0,45392662.24036858,69125273075.33853
2022-05-11 19:09:54.642511,1415.0,45409574.28474283,69149206854.27315
2022-05-11 19:10:08.073013,1420.0,45409674.28474283,69149348854.27315
2022-05-11 19:10:19.833919,1420.0,45409964.32484283,69149760711.21513
2022-05-11 19:10:31.059156,1420.0,45411988.28474283,69152634734.27315
2022-05-11 19:10:42.773449,1425.0,45413025.60070774,69154107740.94331
2022-05-11 19:10:55.537864,1420.0,45413678.60070774,69155035000.94331
2022-05-11 19:11:07.458193,1420.0,45413690.0489836,69155051257.49504
2022-05-11 19:11:19.998671,1420.0,45414322.98870966,69155952693.0827
2022-05-11 19:11:32.670381,1425.0,45419987.2794263,69164024307.35391
2022-05-11 19:11:45.718391,1430.0,45420276.40570448,69164437757.9317
2022-05-11 19:11:58.195018,1430.0,45420382.02190166,69164588789.09367
2022-05-11 19:12:12.677081,1435.0,45438321.6684359,69190224929.35307
2022-05-11 19:12:26.167550,1435.0,45442268.03998205,69195904207.68005
2022-05-11 19:12:40.244231,1435.0,45447969.63835393,69204094681.89926
2022-05-11 19:12:52.471731,1430.0,45449860.22635393,69206798222.73926
2022-05-11 19:13:04.667942,1435.0,45449863.72635393,69206803245.23926
2022-05-11 19:13:18.247365,1440.0,45450308.95221359,69207444338.79231
2022-05-11 19:13:30.724090,1440.0,45450308.95221359,69207444338.79231
2022-05-11 19:13:42.920601,1440.0,45450308.95221359,69207444338.79231
2022-05-11 19:13:55.320493,1435.0,45450866.44350278,69208244338.79231
2022-05-11 19:14:07.795000,1430.0,45453043.34335292,69211359108.94614
2022-05-11 19:14:20.976629,1430.0,45453191.27342285,69211570648.94614
2022-05-11 19:14:33.116461,1425.0,45453859.42311844,69212523191.87971
2022-05-11 19:14:46.665674,1430.0,45468546.87113657,69233526242.54564
2022-05-11 19:14:59.795223,1435.0,45468550.37113657,69233531265.04564
