,price,volume,value
2022-05-11 19:07:13.852079,39.7,293257060.54709053,12256930185.836882
2022-05-11 19:07:26.605472,39.7,293262228.5057469,12257135353.795538
2022-05-11 19:07:39.140514,39.7,293304903.11400586,12258829535.74342
2022-05-11 19:07:52.083453,39.6,293520944.0778087,12267384757.910011
2022-05-11 19:08:09.876173,39.6,293546196.6030612,12268384757.910011
2022-05-11 19:08:24.845255,39.6,293554177.0572786,12268700783.897017
2022-05-11 19:08:39.923320,39.6,293554177.0572786,12268700783.897017
2022-05-11 19:08:52.833469,39.6,293559543.4158644,12268913291.697018
2022-05-11 19:09:04.258504,39.6,293569543.4158644,12269309291.697018
2022-05-11 19:09:17.919111,39.6,293574372.87040985,12269500538.097017
2022-05-11 19:09:32.435460,39.5,293690497.1618695,12274087700.134928
2022-05-11 19:09:43.784668,39.5,293690497.1618695,12274087700.134928
2022-05-11 19:09:55.734694,39.5,293796119.01874465,12278259763.481493
2022-05-11 19:10:09.100060,39.5,293796119.01874465,12278259763.481493
2022-05-11 19:10:20.968645,39.5,293798650.66431427,12278359763.481493
2022-05-11 19:10:31.955062,39.5,293798650.66431427,12278359763.481493
2022-05-11 19:10:43.633623,39.5,293798650.66431427,12278359763.481493
2022-05-11 19:10:56.583651,39.5,293799410.15798515,12278389763.481493
2022-05-11 19:11:08.679195,39.6,293799610.15798515,12278397683.481493
2022-05-11 19:11:20.999354,39.6,293799610.15798515,12278397683.481493
2022-05-11 19:11:33.649660,39.6,293799810.15798515,12278405603.481493
2022-05-11 19:11:46.631419,39.7,293808318.54156905,12278742643.481493
2022-05-11 19:11:59.389383,39.7,293809506.1745022,12278789693.745644
2022-05-11 19:12:13.796797,39.7,293818826.02854735,12279158949.122955
2022-05-11 19:12:27.602256,39.7,293901407.17644423,12282437420.69446
2022-05-11 19:12:41.209505,39.8,293999694.7487387,12286349266.071781
2022-05-11 19:12:53.804100,39.8,293999694.7487387,12286349266.071781
