,price,volume,value
2022-05-11 19:07:13.957155,709.0,25120794.55654786,19040807018.560135
2022-05-11 19:07:26.696696,709.0,25121236.27667655,19041120340.384895
2022-05-11 19:07:39.245479,709.0,25125101.3975251,19043860711.066517
2022-05-11 19:07:52.174365,708.0,25127953.35416433,19045881711.79035
2022-05-11 19:08:10.087391,708.0,25135319.146816,19051096707.092106
2022-05-11 19:08:24.965476,708.0,25136095.0944927,19051646078.04721
2022-05-11 19:08:40.073603,708.0,25139582.56595388,19054115207.841724
2022-05-11 19:08:52.925347,708.0,25142012.4282151,19055835550.32267
2022-05-11 19:09:04.424949,708.0,25142012.4282151,19055835550.32267
2022-05-11 19:09:18.039769,708.0,25142012.4282151,19055835550.32267
2022-05-11 19:09:32.526187,708.0,25142878.28147951,19056448574.433872
2022-05-11 19:09:55.825503,708.0,25142978.28147951,19056519374.433872
2022-05-11 19:10:09.236800,709.0,25142992.38585186,19056529374.43387
2022-05-11 19:10:21.073887,709.0,25143006.56779825,19056539429.433857
2022-05-11 19:10:32.045100,709.0,25143006.56779825,19056539429.433857
2022-05-11 19:10:43.723773,707.0,25143016.67201939,19056546573.118202
2022-05-11 19:10:56.704740,708.0,25143570.49525083,19056938176.14283
2022-05-11 19:11:08.800318,708.0,25143570.49525083,19056938176.14283
2022-05-11 19:11:21.180360,707.0,25148244.25198948,19060242522.15706
2022-05-11 19:11:33.785717,710.0,25151528.71316918,19062573765.534924
2022-05-11 19:11:46.751060,710.0,25151528.71316918,19062573765.534924
2022-05-11 19:11:59.570516,710.0,25151528.71316918,19062573765.534924
2022-05-11 19:12:13.888028,714.0,25177539.85047786,19081145107.59199
2022-05-11 19:12:27.768524,716.0,25185568.95505617,19086910077.75952
2022-05-11 19:12:41.316588,718.0,25185790.2019776,19087068921.279488
2022-05-11 19:12:53.940126,716.0,25185804.37928256,19087079084.22984
2022-05-11 19:13:05.940396,716.0,25185804.37928256,19087079084.22984
2022-05-11 19:13:19.576356,716.0,25185804.37928256,19087079084.22984
2022-05-11 19:13:31.783563,718.0,25187102.27228915,19088012410.22983
2022-05-11 19:13:44.311789,717.0,25192692.43608878,19092021935.182228
2022-05-11 19:13:56.421079,715.0,25193816.45397181,19092827362.64719
2022-05-11 19:14:09.138986,719.0,25194890.49013887,19093598306.44063
2022-05-11 19:14:22.092584,719.0,25194890.49013887,19093598306.44063
2022-05-11 19:14:34.262118,719.0,25194890.49013887,19093598306.44063
2022-05-11 19:14:47.885455,715.0,25198431.55530753,19096130168.03622
2022-05-11 19:15:00.900403,715.0,25198431.55530753,19096130168.03622
2022-05-11 19:15:13.792441,717.0,25207415.81983057,19102564341.095776
2022-05-11 19:15:26.375438,721.0,25207692.44503519,19102763787.86818
2022-05-11 19:15:39.554631,721.0,25207810.98354864,19102849254.13638
2022-05-11 19:15:51.573161,719.0,25212138.18052652,19105952132.147297
2022-05-11 19:16:03.359488,715.0,25213921.659813,19107227319.837128
2022-05-11 19:16:15.748367,715.0,25214341.24023259,19107527319.837135
2022-05-11 19:16:27.943850,715.0,25214541.24023259,19107670319.837135
2022-05-11 19:16:40.292115,715.0,25214541.24023259,19107670319.837135
2022-05-11 19:16:52.853381,715.0,25214541.24023259,19107670319.837135
2022-05-11 19:17:05.310540,715.0,25215844.29788294,19108602006.057137
2022-05-11 19:17:17.713649,715.0,25215844.29788294,19108602006.057137
2022-05-11 19:17:30.516346,715.0,25215844.29788294,19108602006.057137
2022-05-11 19:17:43.822903,715.0,25216284.62810741,19108916743.057133
2022-05-11 19:17:55.974710,715.0,25222658.96432869,19113478672.142906
2022-05-11 19:18:08.740940,715.0,25222776.86609209,19113562971.903736
2022-05-11 19:18:21.367269,716.0,25222876.86609209,19113634571.903736
2022-05-11 19:18:33.521304,716.0,25225034.22470398,19115179240.66985
2022-05-11 19:18:46.836546,715.0,25225113.29519715,19115235776.072468
2022-05-11 19:18:59.395861,715.0,25225113.29519715,19115235776.072468
2022-05-11 19:19:12.168641,715.0,25225113.29519715,19115235776.072468
2022-05-11 19:19:23.511801,715.0,25225113.29519715,19115235776.072468
2022-05-11 19:19:38.047982,715.0,25225207.04039403,19115302803.888237
2022-05-11 19:19:50.463076,715.0,25225207.04039403,19115302803.888237
2022-05-11 19:20:03.049020,715.0,25225254.59284158,19115336803.888233
2022-05-11 19:20:15.203518,715.0,25225254.59284158,19115336803.888233
2022-05-11 19:20:28.099661,715.0,25225254.59284158,19115336803.888233
2022-05-11 19:20:40.305148,715.0,25225254.59284158,19115336803.888233
2022-05-11 19:20:52.243381,714.0,25226698.59284158,19116368843.72017
2022-05-11 19:21:03.820379,715.0,25234028.10042936,19121609441.64543
2022-05-11 19:21:16.186205,715.0,25234028.10042936,19121609441.64543
2022-05-11 19:21:28.028579,715.0,25234028.10042936,19121609441.64543
2022-05-11 19:21:40.168276,713.0,25234394.73081088,19121870849.107452
2022-05-11 19:21:52.418401,717.0,25234422.62481366,19121890849.10745
2022-05-11 19:22:04.660246,717.0,25234422.62481366,19121890849.10745
2022-05-11 19:22:16.224392,714.0,25234572.62481366,19121997949.10745
2022-05-11 19:22:28.393837,714.0,25234572.62481366,19121997949.10745
2022-05-11 19:22:41.382316,715.0,25239678.8404192,19125648907.2152
2022-05-11 19:22:53.855330,714.0,25239828.07545446,19125755600.890514
2022-05-11 19:23:06.418585,714.0,25242135.6710597,19127406368.42001
2022-05-11 19:23:19.495701,714.0,25244988.86406867,19129443548.228413
2022-05-11 19:23:33.136111,712.0,25246548.2252246,19130555344.677116
2022-05-11 19:23:45.527585,712.0,25247211.91453921,19131027891.46912
2022-05-11 19:23:58.042264,712.0,25247211.91453921,19131027891.46912
2022-05-11 19:24:10.948828,712.0,25247347.50775954,19131124433.841995
2022-05-11 19:24:25.050758,712.0,25247347.50775954,19131124433.841995
2022-05-11 19:24:36.808536,712.0,25247347.50775954,19131124433.841995
2022-05-11 19:24:50.224479,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:25:02.772751,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:25:16.355311,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:25:29.168325,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:25:41.516077,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:25:53.562227,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:26:06.912219,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:26:19.408574,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:26:32.359740,715.0,25248412.03454184,19131885570.49134
2022-05-11 19:26:45.269053,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:26:58.484387,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:27:10.680129,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:27:23.804841,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:27:36.053928,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:27:48.879170,714.0,25248909.23062027,19132240568.491337
2022-05-11 19:28:02.638990,714.0,25248952.29294519,19132271314.991333
2022-05-11 19:28:15.092910,713.0,25249552.29294519,19132699114.991333
2022-05-11 19:28:27.749284,713.0,25251938.31954519,19134400351.95713
2022-05-11 19:28:41.205089,712.0,25254079.7910946,19135925079.70031
2022-05-11 19:28:52.467044,712.0,25254079.7910946,19135925079.70031
2022-05-11 19:29:04.589298,712.0,25256230.3634307,19137455216.64675
2022-05-11 19:29:17.407415,712.0,25257276.69292105,19138200203.24388
2022-05-11 19:29:30.795414,712.0,25257276.69292105,19138200203.24388
2022-05-11 19:29:44.082312,715.0,25262398.59790366,19141854560.198784
2022-05-11 19:29:56.217561,715.0,25262398.59790366,19141854560.198784
2022-05-11 19:30:08.340044,715.0,25262398.59790366,19141854560.198784
2022-05-11 19:30:20.854669,712.0,25263477.634742,19142622834.42768
2022-05-11 19:30:33.545890,712.0,25263504.18432192,19142641737.728584
2022-05-11 19:30:46.583795,700.0,25371316.57802018,19218374615.892826
2022-05-11 19:30:59.001951,699.0,25417232.06093867,19250513138.934036
2022-05-11 19:31:11.866698,700.0,25425146.97785759,19256046346.074646
2022-05-11 19:31:22.909192,700.0,25436019.42737472,19263621262.026962
2022-05-11 19:31:36.284605,699.0,25437377.82471922,19264569537.822636
2022-05-11 19:31:48.624116,700.0,25440058.38498058,19266443928.98104
2022-05-11 19:32:01.359169,700.0,25499459.33150299,19308024591.54673
2022-05-11 19:32:13.986404,700.0,25503573.77604696,19310904702.72751
2022-05-11 19:32:26.567588,700.0,25506828.01803413,19313182672.118526
2022-05-11 19:32:38.481680,700.0,25525841.90526507,19326492393.180183
2022-05-11 19:32:51.007556,699.0,25541965.93607318,19337763590.715054
2022-05-11 19:33:03.742004,699.0,25546153.99370531,19340691042.999912
2022-05-11 19:33:16.862009,699.0,25546153.99370531,19340691042.999912
2022-05-11 19:33:29.656344,699.0,25546153.99370531,19340691042.999912
2022-05-11 19:33:42.704693,700.0,25547582.56513388,19341691042.999912
2022-05-11 19:33:55.455290,700.0,25547818.71727673,19341856349.499905
2022-05-11 19:34:07.726402,700.0,25581564.93416827,19365478701.323986
2022-05-11 19:34:21.927742,699.0,25584400.17474069,19367461144.733677
2022-05-11 19:34:35.051514,700.0,25588770.0459858,19370516541.876865
2022-05-11 19:34:46.836410,700.0,25588770.0459858,19370516541.876865
2022-05-11 19:34:59.403873,700.0,25588805.725289,19370541517.389107
2022-05-11 19:35:12.225369,700.0,25589805.58250324,19371241417.439075
2022-05-11 19:35:25.076604,700.0,25589805.58250324,19371241417.439075
2022-05-11 19:35:39.736971,700.0,25618862.73249967,19391581422.436577
2022-05-11 19:35:52.703239,699.0,25620848.36214252,19392970570.96657
2022-05-11 19:36:05.627626,700.0,25628796.74509389,19398534439.032528
2022-05-11 19:36:18.583314,700.0,25638827.66066531,19405556079.93252
2022-05-11 19:36:31.750514,700.0,25648049.80673512,19412011582.18139
2022-05-11 19:36:44.700375,699.0,25724530.60326531,19465548123.46681
2022-05-11 19:36:57.971590,699.0,25731805.10748277,19470636801.93525
2022-05-11 19:37:11.464918,699.0,25732011.36249811,19470781172.731705
2022-05-11 19:37:24.697623,699.0,25732011.36249811,19470781172.731705
2022-05-11 19:37:38.675586,699.0,25732219.07678382,19470926565.017414
2022-05-11 19:37:50.929497,699.0,25732754.81992665,19471301049.474255
2022-05-11 19:38:04.817409,699.0,25732778.76893543,19471317804.137543
2022-05-11 19:38:18.336964,699.0,25732778.76893543,19471317804.137543
2022-05-11 19:38:31.019531,699.0,25734778.76893543,19472715804.137543
2022-05-11 19:38:44.403098,700.0,25734810.55265295,19472738052.739807
2022-05-11 19:38:57.933670,700.0,25735099.13836707,19472940062.73969
2022-05-11 19:39:11.125605,700.0,25735439.17837405,19473178076.28029
2022-05-11 19:39:23.264853,700.0,25735841.09123101,19473459400.815876
2022-05-11 19:39:36.189640,700.0,25769329.41112494,19496901210.329525
2022-05-11 19:39:50.526124,702.0,25979081.11835169,19643727506.42593
2022-05-11 19:40:02.642580,704.0,25996176.04739603,19655731966.842094
2022-05-11 19:40:14.906913,706.0,26002273.72296557,19660031071.431458
2022-05-11 19:40:26.267973,702.0,26011915.45895645,19666820005.845963
2022-05-11 19:40:38.939382,703.0,26046281.24353695,19690964213.18761
2022-05-11 19:40:52.154683,702.0,26055874.36779656,19697693159.819206
2022-05-11 19:41:04.121572,701.0,26056166.61637892,19697898180.051224
2022-05-11 19:41:16.755223,701.0,26059619.83891537,19700320586.071213
2022-05-11 19:41:29.436232,701.0,26060784.66243595,19701138123.135185
2022-05-11 19:41:44.976424,702.0,26064105.97834086,19703468630.90789
2022-05-11 19:41:58.028227,702.0,26065687.79028923,19704578932.605778
2022-05-11 19:42:11.233652,704.0,26070473.54099751,19707939218.412758
2022-05-11 19:42:23.697181,702.0,26070803.99660759,19708171422.81675
2022-05-11 19:42:35.840324,703.0,26073741.41252823,19710236380.4462
2022-05-11 19:42:48.385346,703.0,26074883.56036059,19711039470.824055
2022-05-11 19:43:00.295187,704.0,26087041.89752421,19719602248.83626
2022-05-11 19:43:12.876263,706.0,26091435.00317916,19722703505.43906
2022-05-11 19:43:24.842171,705.0,26119329.14267159,19742352859.085472
