,price,volume,value
2022-05-11 19:07:12.522354,152.0,58581716.34251781,9492071253.222805
2022-05-11 19:07:25.154623,152.0,58581716.34251781,9492071253.222805
2022-05-11 19:07:37.843892,152.0,58588295.28988624,9493071253.222807
2022-05-11 19:07:50.707336,152.0,58598368.17309674,9494602331.470802
2022-05-11 19:08:08.502533,152.0,58598533.52687854,9494627431.470802
2022-05-11 19:08:22.820328,150.0,58635278.72583075,9500175923.179253
2022-05-11 19:08:38.476021,151.0,58655296.89139366,9503198666.179253
2022-05-11 19:08:51.470740,151.0,58655296.89139366,9503198666.179253
2022-05-11 19:09:02.838933,151.0,58656062.46118628,9503314267.217937
2022-05-11 19:09:16.255684,151.0,58656062.46118628,9503314267.217937
2022-05-11 19:09:31.164022,151.0,58656062.46118628,9503314267.217937
2022-05-11 19:09:42.648986,151.0,58656062.46118628,9503314267.217937
2022-05-11 19:09:54.339507,151.0,58656062.46118628,9503314267.217937
2022-05-11 19:10:07.709145,152.0,58662641.4085547,9504314267.217937
2022-05-11 19:10:19.471802,152.0,58662641.4085547,9504314267.217937
2022-05-11 19:10:30.774021,152.0,58662741.4085547,9504329467.217937
2022-05-11 19:10:42.498389,152.0,58662741.4085547,9504329467.217937
2022-05-11 19:10:55.222555,152.0,58662741.4085547,9504329467.217937
2022-05-11 19:11:07.020182,152.0,58662741.4085547,9504329467.217937
2022-05-11 19:11:19.621177,152.0,58696064.83204031,9509394627.58775
2022-05-11 19:11:32.292948,152.0,58750975.2519134,9517741011.40846
2022-05-11 19:11:45.404441,152.0,58750975.2519134,9517741011.40846
2022-05-11 19:11:57.713008,153.0,58752980.43011842,9518045863.8551
2022-05-11 19:12:12.013583,153.0,58752980.43011842,9518045863.8551
2022-05-11 19:12:25.818789,153.0,58755947.1363078,9518499769.902075
2022-05-11 19:12:39.972785,153.0,58755987.1363078,9518505889.902075
2022-05-11 19:12:52.140949,153.0,58761430.28336662,9519338691.402075
2022-05-11 19:13:04.396830,153.0,58761430.28336662,9519338691.402075
2022-05-11 19:13:17.884290,153.0,58761430.28336662,9519338691.402075
2022-05-11 19:13:30.348675,153.0,58761476.0350006,9519345691.402073
2022-05-11 19:13:42.620747,153.0,58761476.0350006,9519345691.402073
2022-05-11 19:13:54.838732,153.0,58761476.0350006,9519345691.402073
2022-05-11 19:14:07.403693,153.0,58765129.80288789,9519904717.888828
2022-05-11 19:14:20.673657,153.0,58767089.6072994,9520204567.96379
2022-05-11 19:14:32.814891,153.0,58767089.6072994,9520204567.96379
2022-05-11 19:14:46.212255,153.0,58770100.35682659,9520665212.64145
2022-05-11 19:14:59.446828,153.0,58770100.35682659,9520665212.64145
2022-05-11 19:15:12.193780,153.0,58770100.35682659,9520665212.64145
2022-05-11 19:15:24.958516,153.0,58770100.35682659,9520665212.64145
2022-05-11 19:15:37.812816,153.0,58770501.05351613,9520726519.23495
2022-05-11 19:15:50.329862,153.0,58790501.05351613,9523786519.23495
2022-05-11 19:16:01.746455,153.0,58790501.05351613,9523786519.23495
2022-05-11 19:16:14.307790,153.0,58791008.30969196,9523864129.429852
2022-05-11 19:16:26.416107,153.0,58794274.65037782,9524363879.554789
2022-05-11 19:16:38.702032,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:16:51.159603,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:17:03.785634,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:17:15.937480,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:17:28.890083,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:17:42.118220,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:17:54.542222,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:18:07.138800,153.0,58794344.65037782,9524374589.554789
2022-05-11 19:18:19.827473,153.0,58794857.97063925,9524453127.554787
2022-05-11 19:18:32.119371,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:18:45.117514,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:18:57.992699,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:19:10.793401,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:19:22.125575,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:19:36.417577,153.0,58796752.03667812,9524742919.658733
2022-05-11 19:19:48.711559,153.0,58802119.82752779,9525564191.658733
2022-05-11 19:20:01.435502,153.0,58802119.82752779,9525564191.658733
2022-05-11 19:20:13.814458,152.0,58809045.5627259,9526620759.617996
2022-05-11 19:20:26.799082,153.0,58823183.11486486,9528783805.095257
2022-05-11 19:20:38.897858,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:20:50.869081,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:21:02.461986,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:21:14.717238,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:21:26.670346,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:21:38.750894,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:21:50.998555,153.0,58823836.7096361,9528883805.095257
2022-05-11 19:22:03.018895,153.0,58848579.64100864,9532669473.595257
2022-05-11 19:22:14.748145,153.0,58873387.9318583,9536465142.095253
2022-05-11 19:22:26.932755,153.0,58873584.01028967,9536495142.095253
2022-05-11 19:22:39.862263,153.0,58873584.01028967,9536495142.095253
2022-05-11 19:22:52.196784,153.0,58873584.01028967,9536495142.095253
2022-05-11 19:23:04.667644,153.0,58873584.01028967,9536495142.095253
2022-05-11 19:23:17.953655,153.0,58873584.01028967,9536495142.095253
2022-05-11 19:23:31.364202,153.0,58876851.98414587,9536995142.095253
2022-05-11 19:23:43.794692,153.0,58876917.34362299,9537005142.095251
2022-05-11 19:23:56.357294,153.0,58876917.34362299,9537005142.095251
2022-05-11 19:24:09.349438,153.0,58877244.14100861,9537055142.095251
2022-05-11 19:24:22.793209,153.0,58877244.14100861,9537055142.095251
2022-05-11 19:24:35.408273,153.0,58877244.14100861,9537055142.095251
2022-05-11 19:24:48.760890,153.0,58877244.14100861,9537055142.095251
2022-05-11 19:25:01.278196,153.0,58877897.73577985,9537155142.095251
2022-05-11 19:25:14.425719,153.0,58877897.73577985,9537155142.095251
2022-05-11 19:25:27.400862,153.0,58877897.73577985,9537155142.095251
2022-05-11 19:25:39.948952,153.0,58877897.73577985,9537155142.095251
2022-05-11 19:25:52.061964,152.0,58897634.57788512,9540155142.095253
2022-05-11 19:26:05.057874,152.0,58897634.57788512,9540155142.095253
2022-05-11 19:26:17.962033,152.0,58906836.20689399,9541553789.7046
2022-05-11 19:26:30.761203,151.0,58911523.76401101,9542261610.82927
2022-05-11 19:26:43.742006,152.0,58916211.32112803,9542974119.511057
2022-05-11 19:26:56.768906,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:27:09.217860,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:27:22.069331,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:27:34.733163,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:27:47.282157,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:28:00.666029,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:28:13.739398,152.0,58918842.9000754,9543374119.511057
2022-05-11 19:28:26.105413,152.0,58919478.94867829,9543470798.898697
2022-05-11 19:28:39.256423,152.0,58919478.94867829,9543470798.898697
2022-05-11 19:28:51.064141,152.0,58919478.94867829,9543470798.898697
2022-05-11 19:29:03.245695,152.0,58919478.94867829,9543470798.898697
2022-05-11 19:29:15.778696,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:29:28.929670,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:29:42.709786,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:29:54.481250,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:30:06.680233,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:30:19.273897,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:30:32.067924,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:30:44.893754,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:30:57.676269,152.0,58919524.70031227,9543477753.147062
2022-05-11 19:31:10.376671,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:31:21.507256,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:31:34.643741,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:31:47.311046,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:31:59.947623,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:32:12.481823,153.0,58919563.91599854,9543483753.14706
2022-05-11 19:32:25.238443,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:32:36.900463,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:32:49.210873,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:33:02.220686,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:33:15.509021,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:33:28.193221,152.0,58921524.70031227,9543781792.362747
2022-05-11 19:33:41.306340,152.0,58921524.70031227,9543781792.362747
