,price,volume,value
2022-05-11 19:07:07.321619,1710.0,41434061.32610572,82130805955.98299
2022-05-11 19:07:20.186796,1710.0,41434470.31031623,82131505318.98296
2022-05-11 19:07:32.554746,1710.0,41434762.56185128,82132005069.1079
2022-05-11 19:07:45.966074,1705.0,41435942.99561889,82134017708.68167
2022-05-11 19:08:02.020194,1705.0,41444196.42149401,82148071047.03242
2022-05-11 19:08:17.160408,1705.0,41444232.28659664,82148132197.03241
2022-05-11 19:08:32.529229,1700.0,41444262.28659664,82148183197.03241
2022-05-11 19:08:46.557294,1700.0,41446372.00250535,82151769698.07722
2022-05-11 19:08:58.330236,1705.0,41448485.62385056,82155362884.36407
2022-05-11 19:09:10.770509,1700.0,41450229.61418977,82158327667.94073
2022-05-11 19:09:25.346057,1700.0,41450574.63846276,82158914225.33385
2022-05-11 19:09:38.029186,1705.0,41451477.59404142,82160453764.59547
2022-05-11 19:09:49.483763,1705.0,41455709.74733425,82167669585.95975
2022-05-11 19:10:02.459881,1715.0,41460593.33035114,82176020527.91862
2022-05-11 19:10:14.846428,1710.0,41465431.227212,82184293331.55069
2022-05-11 19:10:26.240239,1710.0,41465929.85740765,82185146014.92094
2022-05-11 19:10:37.557465,1710.0,41465929.85740765,82185146014.92094
2022-05-11 19:10:49.842842,1715.0,41466777.52745017,82186599769.04387
2022-05-11 19:11:02.232477,1715.0,41467401.97584667,82187670698.04387
2022-05-11 19:11:14.792689,1710.0,41467407.97584667,82187680973.04387
2022-05-11 19:11:26.857421,1715.0,41470976.05925506,82193800236.08925
2022-05-11 19:11:40.257366,1730.0,41478619.368931,82206970035.5121
2022-05-11 19:11:52.591280,1730.0,41487423.24740311,82222189903.59317
2022-05-11 19:12:05.850483,1730.0,41490776.71960706,82227990885.04396
2022-05-11 19:12:19.978671,1735.0,41508816.65440068,82259271613.64781
2022-05-11 19:12:34.567415,1730.0,41509878.81308934,82261114373.97264
2022-05-11 19:12:47.439037,1740.0,41511126.51992067,82263285325.20813
2022-05-11 19:12:59.605944,1730.0,41515243.04634955,82270406930.82236
2022-05-11 19:13:12.146764,1730.0,41515243.04634955,82270406930.82236
2022-05-11 19:13:25.218483,1730.0,41515646.50456281,82271104913.5313
2022-05-11 19:13:37.749426,1745.0,41517395.38426002,82274144327.48303
2022-05-11 19:13:49.778212,1730.0,41518710.51494723,82276436326.51149
2022-05-11 19:14:02.495188,1730.0,41522206.77452415,82282484855.57956
2022-05-11 19:14:15.030668,1730.0,41529733.93928944,82295518642.66582
2022-05-11 19:14:28.028367,1730.0,41530311.97397152,82296518642.66582
2022-05-11 19:14:40.896413,1730.0,41536358.73449383,82306968446.50049
2022-05-11 19:14:54.010948,1730.0,41545336.99943524,82322489067.79242
2022-05-11 19:15:06.775475,1735.0,41552986.42021698,82335732838.26294
2022-05-11 19:15:20.175909,1735.0,41552986.42021698,82335732838.26294
2022-05-11 19:15:32.847007,1735.0,41554158.88337894,82337767061.84894
2022-05-11 19:15:45.777922,1730.0,41556082.73678833,82341095328.24718
2022-05-11 19:15:57.107166,1725.0,41556932.98718357,82342562010.17897
2022-05-11 19:16:09.409354,1725.0,41556932.98718357,82342562010.17897
2022-05-11 19:16:21.574000,1725.0,41556932.98718357,82342562010.17897
2022-05-11 19:16:34.237991,1730.0,41558779.32594226,82345756176.2315
2022-05-11 19:16:46.034454,1725.0,41558829.08101509,82345842003.73213
2022-05-11 19:16:58.759226,1725.0,41562313.64106136,82351852869.81195
2022-05-11 19:17:10.938204,1720.0,41562329.65296266,82351880410.28218
2022-05-11 19:17:23.566256,1725.0,41563749.06081154,82354326994.63042
2022-05-11 19:17:36.725790,1720.0,41564837.35636394,82356203702.95319
2022-05-11 19:17:49.971249,1720.0,41566212.4968442,82358568944.57922
2022-05-11 19:18:02.390874,1725.0,41566373.54304815,82358846749.28104
2022-05-11 19:18:14.618755,1725.0,41566583.61435249,82359209122.28104
2022-05-11 19:18:27.167718,1725.0,41568225.46737687,82362041318.7481
2022-05-11 19:18:39.911938,1730.0,41568288.94247949,82362150985.74808
2022-05-11 19:18:53.028527,1725.0,41573000.17252626,82370277857.57877
2022-05-11 19:19:05.231893,1725.0,41575430.38469514,82374469973.57008
2022-05-11 19:19:17.551148,1720.0,41575530.38469514,82374641973.57008
2022-05-11 19:19:29.867157,1715.0,41594641.40735098,82407506961.55296
2022-05-11 19:19:43.777697,1715.0,41596091.11629152,82409993212.386
2022-05-11 19:19:56.241430,1715.0,41606044.19111805,82427062735.7135
2022-05-11 19:20:08.751946,1715.0,41609038.20256606,82432197465.34683
2022-05-11 19:20:21.697386,1715.0,41610979.71252687,82435520362.83171
2022-05-11 19:20:33.854077,1715.0,41610979.71252687,82435520362.83171
2022-05-11 19:20:45.996106,1720.0,41621302.65047649,82453275816.10506
