,price,volume,value
2022-05-11 19:07:16.448181,9.4,1800023379.794678,17289732224.88434
2022-05-11 19:07:28.839732,9.4,1800033723.989803,17289829460.318516
2022-05-11 19:07:42.150800,9.4,1800033723.989803,17289829460.318516
2022-05-11 19:07:55.098491,9.4,1800033723.989803,17289829460.318516
2022-05-11 19:08:12.854185,9.38,1800957404.0445843,17298505031.29917
2022-05-11 19:08:28.490072,9.36,1800972503.749203,17298646482.614403
2022-05-11 19:08:42.691040,9.37,1800983211.4820666,17298746814.07134
2022-05-11 19:08:55.164964,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:09:06.812729,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:09:20.420510,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:09:34.689652,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:09:46.201987,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:09:58.259431,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:10:11.472401,9.36,1801014545.2331805,17299040114.970592
2022-05-11 19:10:23.296903,9.38,1801169897.7168407,17300497321.267323
2022-05-11 19:10:34.214089,9.38,1801169897.7168407,17300497321.267323
2022-05-11 19:10:46.063396,9.38,1801169897.7168407,17300497321.267323
2022-05-11 19:10:59.167673,9.37,1801173456.8588407,17300530670.427864
2022-05-11 19:11:11.320449,9.37,1801173456.8588407,17300530670.427864
2022-05-11 19:11:23.515456,9.37,1802204172.8588407,17310188479.347862
2022-05-11 19:11:36.859003,9.38,1802240942.6295524,17310533033.420326
2022-05-11 19:11:49.135808,9.38,1802240942.6295524,17310533033.420326
2022-05-11 19:12:02.061083,9.38,1802388810.5400002,17311920034.420326
2022-05-11 19:12:16.305133,9.38,1802388810.5400002,17311920034.420326
2022-05-11 19:12:30.851767,9.39,1802459431.1723688,17312583162.158268
2022-05-11 19:12:43.886017,9.39,1802459431.1723688,17312583162.158268
2022-05-11 19:12:56.422584,9.39,1802661742.7716725,17314482868.07573
2022-05-11 19:13:08.136859,9.39,1802754081.9156668,17315349932.637836
2022-05-11 19:13:21.823989,9.4,1802980103.6802554,17317474537.22497
2022-05-11 19:13:33.923783,9.41,1803429420.6679404,17321702610.079086
2022-05-11 19:13:46.583293,9.41,1803429420.6679404,17321702610.079086
2022-05-11 19:13:58.974041,9.41,1803429420.6679404,17321702610.079086
2022-05-11 19:14:11.508391,9.41,1803429420.6679404,17321702610.079086
2022-05-11 19:14:24.642545,9.42,1803461392.256824,17322003913.56637
2022-05-11 19:14:37.197565,9.42,1803461392.256824,17322003913.56637
2022-05-11 19:14:50.245844,9.42,1803461392.256824,17322003913.56637
2022-05-11 19:15:03.275058,9.42,1803461392.256824,17322003913.56637
2022-05-11 19:15:15.947952,9.42,1803461392.256824,17322003913.56637
2022-05-11 19:15:28.955294,9.42,1803553731.400818,17322873875.842793
