,price,volume,value
2022-05-11 19:07:19.475657,11770.0,31151831.49333821,415612384860.54755
2022-05-11 19:07:31.708970,11750.0,31153295.59410567,415629600790.40094
2022-05-11 19:07:45.222638,11720.0,31155259.70127695,415652629366.0454
2022-05-11 19:08:00.400236,11740.0,31162780.59549561,415740731255.06055
2022-05-11 19:08:15.907889,11690.0,31163923.99862574,415754112444.86035
2022-05-11 19:08:31.563183,11690.0,31169928.01952069,415824224072.67365
2022-05-11 19:08:45.741976,11670.0,31175733.13340745,415892034803.11487
2022-05-11 19:08:57.632078,11670.0,31177206.76278281,415909231896.43396
2022-05-11 19:09:09.880890,11660.0,31178538.88570128,415924773272.89246
2022-05-11 19:09:24.180453,11680.0,31181322.81323934,415957260200.6374
2022-05-11 19:09:37.168623,11690.0,31190189.12404574,416060808549.97687
2022-05-11 19:09:48.712806,11690.0,31191561.20328344,416076848156.26556
2022-05-11 19:10:01.280213,11690.0,31194940.76448332,416116370827.94543
2022-05-11 19:10:13.848679,11690.0,31196557.59149529,416135250574.9026
2022-05-11 19:10:25.516048,11720.0,31197022.18029841,416140694624.0479
2022-05-11 19:10:36.829844,11720.0,31197969.59395859,416151794103.91986
2022-05-11 19:10:48.919161,11710.0,31213726.95655104,416336456768.25745
2022-05-11 19:11:01.507912,11700.0,31216602.55447772,416370127861.88654
2022-05-11 19:11:14.004323,11690.0,31232023.26400002,416550594247.5295
2022-05-11 19:11:26.146290,11700.0,31249702.68338579,416757441389.4242
2022-05-11 19:11:39.471173,11740.0,31252883.6203561,416794822606.8433
2022-05-11 19:11:51.653666,11800.0,31262314.32960713,416905808487.5657
2022-05-11 19:12:04.975537,11860.0,31275752.30711527,417064823974.73157
2022-05-11 19:12:19.225480,11900.0,31284851.26123519,417172764610.89343
2022-05-11 19:12:33.630314,11880.0,31290126.76256718,417235477376.64355
2022-05-11 19:12:46.638840,11810.0,31295503.70320412,417299134951.34503
2022-05-11 19:12:58.955470,11810.0,31301221.86422622,417366598353.8385
2022-05-11 19:13:10.921045,11860.0,31306335.77933655,417427190402.70074
2022-05-11 19:13:24.420485,11900.0,31313691.9030183,417514707716.1748
2022-05-11 19:13:36.902854,11910.0,31322527.79114597,417619928161.84045
2022-05-11 19:14:01.710994,11870.0,31332556.75334786,417739110470.36975
2022-05-11 19:14:14.241037,11870.0,31335047.30022553,417768667427.2654
2022-05-11 19:14:27.319000,11830.0,31337158.17879663,417793660428.4332
2022-05-11 19:14:39.882223,11900.0,31339798.4790138,417825021758.6112
2022-05-11 19:14:53.224620,12000.0,31364089.15429386,418115736161.9092
2022-05-11 19:15:06.005381,12000.0,31369895.68908899,418185498355.1484
2022-05-11 19:15:19.345596,12030.0,31382914.92873819,418342090072.14374
2022-05-11 19:15:31.867329,11940.0,31395393.77678398,418491826074.0429
2022-05-11 19:15:44.964939,11940.0,31398226.84460331,418525685569.9104
2022-05-11 19:15:56.414759,11910.0,31399844.40719542,418544970967.81415
2022-05-11 19:16:08.619136,11900.0,31402788.5913945,418580006688.42664
2022-05-11 19:16:20.922365,11920.0,31406240.72071197,418621072297.9883
2022-05-11 19:16:33.361451,11960.0,31408521.32377604,418648336025.637
2022-05-11 19:16:45.248486,11900.0,31409441.97948807,418659316656.53284
2022-05-11 19:16:57.985963,11860.0,31409962.27685025,418665494931.5885
