,price,volume,value
2022-05-11 19:07:07.653113,4050.0,6095806.61752279,25623472119.309708
2022-05-11 19:07:20.534519,4050.0,6095806.61752279,25623472119.309708
2022-05-11 19:07:32.901784,4035.0,6096302.21752279,25625471887.809708
2022-05-11 19:07:46.358739,4030.0,6097991.54158633,25632275817.702026
2022-05-11 19:08:02.899160,4030.0,6098325.65071673,25633622397.875275
2022-05-11 19:08:17.556683,4030.0,6098325.65071673,25633622397.875275
2022-05-11 19:08:32.968393,4030.0,6101514.57943066,25646459905.927914
2022-05-11 19:08:46.889302,4025.0,6102263.77909365,25649475434.57145
2022-05-11 19:08:58.634819,4025.0,6102349.03109365,25649818573.87145
2022-05-11 19:09:11.102196,4030.0,6103637.14697454,25655009680.871437
2022-05-11 19:09:25.754063,4035.0,6105102.17342181,25660906484.733418
2022-05-11 19:09:38.317786,4035.0,6105102.17342181,25660906484.733418
2022-05-11 19:09:49.785587,4035.0,6105102.17342181,25660906484.733418
2022-05-11 19:10:02.833938,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:10:15.148494,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:10:26.542343,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:10:37.845292,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:10:50.175796,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:11:02.577940,4040.0,6105152.17342181,25661108484.733418
2022-05-11 19:11:15.078768,4065.0,6105180.64367896,25661224093.83745
2022-05-11 19:11:27.265763,4065.0,6105180.64367896,25661224093.83745
2022-05-11 19:11:40.695214,4065.0,6105180.64367896,25661224093.83745
2022-05-11 19:11:52.906628,4085.0,6105184.61567896,25661240319.457447
2022-05-11 19:12:06.181472,4090.0,6105793.77975644,25663731800.53434
2022-05-11 19:12:20.462343,4125.0,6110505.58393827,25683079007.590843
2022-05-11 19:12:34.882972,4105.0,6110522.23990177,25683147308.938313
2022-05-11 19:12:47.741826,4085.0,6112314.2567925,25690476005.077194
2022-05-11 19:12:59.985126,4090.0,6114624.87257425,25699926362.887383
2022-05-11 19:13:12.435799,4105.0,6116604.87574478,25708034656.035954
2022-05-11 19:13:25.506517,4120.0,6116842.86961613,25709015190.785915
2022-05-11 19:13:38.034464,4120.0,6119073.99400933,25718207423.2859
2022-05-11 19:13:50.110498,4120.0,6119073.99400933,25718207423.2859
2022-05-11 19:14:02.841473,4080.0,6123608.06492923,25736772477.202892
2022-05-11 19:14:15.394154,4080.0,6123608.06492923,25736772477.202892
2022-05-11 19:14:28.315055,4080.0,6125645.82345674,25745083526.49679
2022-05-11 19:14:41.215380,4080.0,6127023.23955233,25750702691.804802
2022-05-11 19:14:54.345081,4085.0,6127031.48195549,25750736362.02171
2022-05-11 19:15:07.094518,4100.0,6127591.52341094,25753032176.769775
2022-05-11 19:15:20.492646,4115.0,6127900.53706308,25754299494.025894
2022-05-11 19:15:33.164123,4120.0,6127914.69364021,25754357819.12367
2022-05-11 19:15:46.051560,4105.0,6132412.31507855,25772820555.128056
2022-05-11 19:15:57.376270,4085.0,6133066.12579718,25775501360.328274
2022-05-11 19:16:09.680531,4075.0,6133398.22579718,25776855458.408623
2022-05-11 19:16:34.749297,4085.0,6135153.1144064,25784022031.284996
2022-05-11 19:16:46.579854,4075.0,6135739.96954041,25786414979.32115
2022-05-11 19:16:59.044594,4060.0,6135879.41422014,25786983565.312458
2022-05-11 19:17:11.270286,4065.0,6136358.63987365,25788929253.493923
2022-05-11 19:17:23.884111,4065.0,6136358.63987365,25788929253.493923
2022-05-11 19:17:37.010653,4065.0,6136358.63987365,25788929253.493923
2022-05-11 19:17:50.288434,4065.0,6136358.63987365,25788929253.493923
2022-05-11 19:18:02.830116,4060.0,6137492.73207592,25793538492.90354
2022-05-11 19:18:14.952985,4060.0,6137492.73207592,25793538492.90354
2022-05-11 19:18:27.515766,4050.0,6137760.11597851,25794622617.81384
2022-05-11 19:18:40.304189,4075.0,6138032.3882138,25795730785.80497
2022-05-11 19:18:53.390142,4075.0,6138268.3705907,25796692413.990837
2022-05-11 19:19:05.747362,4065.0,6138377.43409575,25797135757.138866
2022-05-11 19:19:17.883647,4055.0,6140191.65628441,25804501057.944107
2022-05-11 19:19:30.408843,4040.0,6141736.15628441,25810750130.94403
2022-05-11 19:19:44.079281,4035.0,6148035.73649258,25836197299.051067
2022-05-11 19:19:56.557531,4035.0,6148571.28299258,25838358229.178566
2022-05-11 19:20:09.071641,4030.0,6149692.24728835,25842878709.69152
