,price,volume,value
2022-05-11 19:07:11.825128,602.0,20165478.64229304,13044285456.644981
2022-05-11 19:07:24.386808,602.0,20165478.64229304,13044285456.644981
2022-05-11 19:07:36.954349,602.0,20165478.64229304,13044285456.644981
2022-05-11 19:07:49.966146,603.0,20165486.93582537,13044290457.644976
2022-05-11 19:08:07.610651,602.0,20166471.34381054,13044883071.252048
2022-05-11 19:08:21.974170,602.0,20166865.03868699,13045120075.56767
2022-05-11 19:08:37.147528,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:08:50.592805,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:09:02.129329,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:09:15.352163,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:09:30.182509,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:09:41.786057,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:09:53.674161,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:10:06.623726,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:10:18.612339,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:10:29.971363,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:10:41.469598,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:10:54.014274,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:11:05.954409,600.0,20169375.98042109,13046627028.384335
2022-05-11 19:11:18.714752,600.0,20169597.23623484,13046759781.872583
2022-05-11 19:11:31.341415,599.0,20170589.62975405,13047354225.590591
2022-05-11 19:11:44.441408,607.0,20175620.39591673,13050400187.035091
2022-05-11 19:11:56.805406,607.0,20175620.39591673,13050400187.035091
2022-05-11 19:12:11.001368,603.0,20180170.70967913,13053166421.504148
2022-05-11 19:12:24.580976,603.0,20180170.70967913,13053166421.504148
2022-05-11 19:12:39.005127,603.0,20180170.70967913,13053166421.504148
2022-05-11 19:12:51.446057,609.0,20180252.81148536,13053216421.504143
2022-05-11 19:13:03.655443,609.0,20180252.81148536,13053216421.504143
2022-05-11 19:13:16.765719,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:13:29.651435,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:13:41.880220,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:13:53.928633,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:14:06.560233,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:14:19.480105,604.0,20180666.71877013,13053466421.504143
2022-05-11 19:14:31.805556,604.0,20181288.75481664,13053842131.276236
2022-05-11 19:14:45.487336,604.0,20181288.75481664,13053842131.276236
2022-05-11 19:14:58.661249,604.0,20181288.75481664,13053842131.276236
2022-05-11 19:15:11.287175,604.0,20181288.75481664,13053842131.276236
2022-05-11 19:15:23.931726,604.0,20181288.75481664,13053842131.276236
2022-05-11 19:15:36.995009,608.0,20181373.87401187,13053893883.746935
2022-05-11 19:15:49.655322,608.0,20181595.64963721,13054028723.327143
2022-05-11 19:16:00.901256,608.0,20181595.64963721,13054028723.327143
2022-05-11 19:16:13.573369,605.0,20181607.21988514,13054035723.32714
2022-05-11 19:16:25.678778,604.0,20182021.85817636,13054286164.855038
2022-05-11 19:16:37.903474,607.0,20183746.85982683,13055332326.592321
2022-05-11 19:16:50.311050,607.0,20183746.85982683,13055332326.592321
2022-05-11 19:17:02.985788,607.0,20183746.85982683,13055332326.592321
2022-05-11 19:17:14.955634,607.0,20183746.85982683,13055332326.592321
2022-05-11 19:17:27.941880,607.0,20183746.85982683,13055332326.592321
2022-05-11 19:17:41.165356,604.0,20183898.86201616,13055424135.914677
2022-05-11 19:17:53.634901,604.0,20183898.86201616,13055424135.914677
2022-05-11 19:18:06.398003,603.0,20185559.99158426,13056426320.546604
2022-05-11 19:18:19.028794,603.0,20185559.99158426,13056426320.546604
2022-05-11 19:18:31.304859,603.0,20185559.99158426,13056426320.546604
2022-05-11 19:18:44.179606,603.0,20185559.99158426,13056426320.546604
2022-05-11 19:18:57.303219,603.0,20185559.99158426,13056426320.546604
2022-05-11 19:19:09.898638,603.0,20185559.99158426,13056426320.546604
