,price,volume,value
2022-05-11 19:07:10.315216,479.0,44074379.88973704,22065697618.910587
2022-05-11 19:07:23.060639,479.0,44074379.88973704,22065697618.910587
2022-05-11 19:07:35.547899,477.0,44080401.55174669,22068572924.963753
2022-05-11 19:07:48.531691,477.0,44080401.55174669,22068572924.963753
2022-05-11 19:08:05.413616,477.0,44080401.55174669,22068572924.963753
2022-05-11 19:08:20.180186,477.0,44080401.55174669,22068572924.963753
2022-05-11 19:08:35.197474,477.0,44080401.55174669,22068572924.963753
2022-05-11 19:08:49.110261,477.0,44087955.32567046,22072176075.12539
2022-05-11 19:09:00.749809,477.0,44087955.32567046,22072176075.12539
2022-05-11 19:09:13.747755,477.0,44087955.32567046,22072176075.12539
2022-05-11 19:09:28.777454,478.0,44097096.47323066,22076537448.53671
2022-05-11 19:09:40.421767,479.0,44097108.47323066,22076543196.53671
2022-05-11 19:09:52.312930,479.0,44097108.47323066,22076543196.53671
2022-05-11 19:10:05.081714,479.0,44098820.6333258,22077363321.222282
2022-05-11 19:10:17.384945,479.0,44101391.51833066,22078594775.13961
2022-05-11 19:10:28.654822,480.0,44101423.75709478,22078610249.746387
2022-05-11 19:10:39.902340,480.0,44101667.80772571,22078727394.049232
2022-05-11 19:10:52.667762,480.0,44101667.80772571,22078727394.049232
2022-05-11 19:11:04.622737,480.0,44101667.80772571,22078727394.049232
2022-05-11 19:11:17.354026,480.0,44101667.80772571,22078727394.049232
2022-05-11 19:11:29.918316,480.0,44104046.63592558,22079869326.04367
2022-05-11 19:11:43.199644,483.0,44104610.03100716,22080141445.868076
2022-05-11 19:11:55.296086,484.0,44118686.1210613,22086954273.454277
2022-05-11 19:12:09.354101,485.0,44121159.27846369,22088153754.794437
2022-05-11 19:12:22.997306,486.0,44122142.17533453,22088631457.047382
2022-05-11 19:12:37.475781,485.0,44127122.39904056,22091051168.883617
2022-05-11 19:12:50.039288,485.0,44127143.01759726,22091061168.883617
2022-05-11 19:13:02.271387,485.0,44128462.60522612,22091701168.883614
2022-05-11 19:13:15.091971,487.0,44138732.82476462,22096701168.88361
2022-05-11 19:13:27.985149,487.0,44140176.75624355,22097404363.513847
2022-05-11 19:13:40.436987,487.0,44148128.85775428,22101277036.949574
2022-05-11 19:13:52.390618,483.0,44159291.7805782,22106672503.929848
2022-05-11 19:14:05.346999,483.0,44159291.7805782,22106672503.929848
2022-05-11 19:14:18.101700,483.0,44159291.7805782,22106672503.929848
2022-05-11 19:14:30.460663,483.0,44159291.7805782,22106672503.929848
2022-05-11 19:14:43.644637,483.0,44159291.7805782,22106672503.929848
2022-05-11 19:14:57.120760,484.0,44159524.47490345,22106784923.54009
2022-05-11 19:15:09.385363,485.0,44160667.69664294,22107337410.80236
2022-05-11 19:15:22.575792,485.0,44160667.69664294,22107337410.80236
2022-05-11 19:15:35.559642,486.0,44161196.56458559,22107593993.14229
2022-05-11 19:15:48.166246,485.0,44162810.94005357,22108376965.24426
2022-05-11 19:15:59.727725,483.0,44162934.110691,22108436456.662136
2022-05-11 19:16:12.174613,483.0,44163234.110691,22108581356.662136
2022-05-11 19:16:23.971263,483.0,44163234.110691,22108581356.662136
2022-05-11 19:16:36.668823,483.0,44164234.110691,22109064356.662136
2022-05-11 19:16:49.011533,483.0,44164896.63657091,22109384356.662132
2022-05-11 19:17:01.419963,483.0,44164896.63657091,22109384356.662132
2022-05-11 19:17:13.655812,481.0,44166042.05064429,22109935541.542217
2022-05-11 19:17:26.504836,481.0,44170960.60965582,22112301368.42676
2022-05-11 19:17:39.715916,481.0,44176203.20712285,22114823057.808403
2022-05-11 19:17:52.381442,483.0,44176213.55908972,22114828057.808403
2022-05-11 19:18:05.048108,482.0,44176336.20491738,22114887173.097336
2022-05-11 19:18:17.519690,482.0,44176336.20491738,22114887173.097336
2022-05-11 19:18:29.869877,482.0,44178017.97420359,22115697785.893288
2022-05-11 19:18:42.654646,482.0,44178017.97420359,22115697785.893288
2022-05-11 19:18:55.943914,482.0,44178017.97420359,22115697785.893288
2022-05-11 19:19:08.538039,482.0,44178498.61818699,22115929456.293285
2022-05-11 19:19:20.117208,482.0,44182853.66145699,22118028587.149426
2022-05-11 19:19:34.025608,482.0,44189924.37587456,22121436403.41034
2022-05-11 19:19:46.536715,482.0,44189924.37587456,22121436403.41034
2022-05-11 19:19:58.989016,480.0,44190357.53637176,22121644320.448994
2022-05-11 19:20:11.425046,480.0,44190357.53637176,22121644320.448994
2022-05-11 19:20:24.698862,480.0,44190767.86970509,22121841280.448994
2022-05-11 19:20:36.436229,480.0,44190767.86970509,22121841280.448994
2022-05-11 19:20:48.803371,480.0,44190767.86970509,22121841280.448994
2022-05-11 19:21:00.484760,479.0,44301508.81535909,22174886193.41726
2022-05-11 19:21:12.225833,479.0,44301508.81535909,22174886193.41726
2022-05-11 19:21:24.503667,479.0,44305675.48205909,22176882026.76656
2022-05-11 19:21:36.741812,480.0,44308119.48205909,22178055146.76656
2022-05-11 19:21:48.912482,480.0,44308131.48205909,22178060906.76656
2022-05-11 19:22:00.697650,480.0,44308432.48205909,22178205386.76656
2022-05-11 19:22:12.882029,480.0,44310010.48205909,22178962826.76656
2022-05-11 19:22:24.668333,480.0,44320700.92015909,22184094237.054558
2022-05-11 19:22:37.765502,480.0,44321894.29515909,22184667057.054558
2022-05-11 19:22:50.041308,480.0,44321894.29515909,22184667057.054558
2022-05-11 19:23:02.600646,480.0,44321894.29515909,22184667057.054558
2022-05-11 19:23:15.806328,479.0,44321998.6792927,22184717057.054558
2022-05-11 19:23:29.013611,478.0,44328035.76535218,22187602784.19099
2022-05-11 19:23:41.700966,478.0,44329464.62236327,22188285807.79208
2022-05-11 19:23:53.976666,478.0,44329795.69367325,22188444059.87825
2022-05-11 19:24:07.038648,478.0,44329795.69367325,22188444059.87825
2022-05-11 19:24:20.561253,480.0,44333303.80878411,22190127955.131466
2022-05-11 19:24:33.415875,480.0,44353113.80878411,22199636755.131466
2022-05-11 19:24:46.449040,477.0,44391074.33863531,22217771651.259045
2022-05-11 19:24:58.930585,478.0,44424881.64678877,22233876891.138264
2022-05-11 19:25:12.085201,478.0,44430544.48029882,22236583725.55607
2022-05-11 19:25:24.654393,477.0,44431772.0720448,22237169272.445187
2022-05-11 19:25:37.929632,477.0,44436272.2563618,22239315860.376434
2022-05-11 19:25:49.920420,476.0,44437360.66403814,22239833942.430374
2022-05-11 19:26:02.492149,476.0,44437360.66403814,22239833942.430374
2022-05-11 19:26:16.072387,477.0,44463753.2830338,22252383781.78411
2022-05-11 19:26:28.171797,478.0,44466079.12336993,22253491261.51241
2022-05-11 19:26:41.611966,478.0,44466079.12336993,22253491261.51241
2022-05-11 19:26:54.569196,478.0,44466100.04387202,22253501261.51241
2022-05-11 19:27:19.667274,477.0,44467924.25949496,22254371412.36455
2022-05-11 19:27:32.355548,478.0,44468024.54999082,22254419351.221573
2022-05-11 19:27:44.719283,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:27:58.572955,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:28:11.386490,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:28:23.783553,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:28:36.600361,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:28:49.119838,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:29:00.957909,478.0,44484202.71626207,22262148296.288013
2022-05-11 19:29:13.637729,478.0,44485069.56947166,22262561993.94289
2022-05-11 19:29:26.652417,478.0,44489198.00757166,22264535387.35469
2022-05-11 19:29:40.389262,478.0,44489198.00757166,22264535387.35469
2022-05-11 19:29:52.466874,477.0,44491457.05857166,22265612954.68169
2022-05-11 19:30:04.601465,477.0,44491457.05914386,22265612954.95463
2022-05-11 19:30:17.210897,477.0,44491457.05914386,22265612954.95463
2022-05-11 19:30:29.931751,477.0,44491457.05914386,22265612954.95463
2022-05-11 19:30:42.211031,479.0,44491812.48084386,22265783024.81393
2022-05-11 19:30:55.175362,479.0,44491929.82220447,22265839197.617264
2022-05-11 19:31:08.085082,477.0,44496118.21013983,22267837058.66243
2022-05-11 19:31:19.271998,477.0,44496118.21013983,22267837058.66243
2022-05-11 19:31:32.401331,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:31:44.735816,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:31:57.613399,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:32:10.341084,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:32:22.857655,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:32:34.365606,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:32:47.041429,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:32:59.190442,478.0,44498313.33571998,22268886360.18144
2022-05-11 19:33:13.172648,477.0,44498349.29721998,22268903513.816936
2022-05-11 19:33:25.811196,478.0,44502658.16933739,22270954698.465725
