,price,volume,value
2022-05-11 19:07:14.228171,68.8,173382174.09905496,12712675359.34407
2022-05-11 19:07:26.907423,68.8,173382174.09905496,12712675359.34407
2022-05-11 19:07:39.443759,68.8,173382174.09905496,12712675359.34407
2022-05-11 19:07:52.387153,68.8,173382174.09905496,12712675359.34407
2022-05-11 19:08:10.316256,68.8,173382174.09905496,12712675359.34407
2022-05-11 19:08:25.163541,68.8,173387717.2807475,12713056194.647278
2022-05-11 19:08:40.287315,68.7,173398945.56908524,12713828078.056082
2022-05-11 19:08:53.123305,68.7,173398945.56908524,12713828078.056082
2022-05-11 19:09:04.623030,68.7,173401390.88189527,12713996071.04613
2022-05-11 19:09:18.267609,69.1,173456410.6023858,12717771970.18668
2022-05-11 19:09:32.751043,69.1,173456410.6023858,12717771970.18668
2022-05-11 19:09:44.144501,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:09:56.021495,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:10:09.418162,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:10:21.270926,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:10:32.257820,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:10:43.903942,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:10:56.961430,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:11:09.043452,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:11:21.377707,69.0,173461410.6023858,12718116970.18668
2022-05-11 19:11:34.193989,69.1,173470882.00869966,12718770988.806108
2022-05-11 19:11:46.946154,69.1,173470882.00869966,12718770988.806108
2022-05-11 19:11:59.781238,69.2,173773312.95411193,12739685126.96704
2022-05-11 19:12:14.097160,69.2,173782643.78214663,12740330820.267038
2022-05-11 19:12:28.252578,69.2,173866574.60018593,12746138832.875359
2022-05-11 19:12:41.633327,69.2,173961044.35952592,12752676140.221685
2022-05-11 19:12:54.182000,69.2,173984595.0900143,12754305850.771484
2022-05-11 19:13:06.212018,69.2,173984595.0900143,12754305850.771484
2022-05-11 19:13:19.771750,69.2,173984595.0900143,12754305850.771484
2022-05-11 19:13:31.964406,69.6,174020595.19455975,12756809930.01145
2022-05-11 19:13:44.613046,69.6,174020595.19455975,12756809930.01145
2022-05-11 19:13:56.647673,69.6,174038970.66199842,12758088862.545183
2022-05-11 19:14:09.334038,69.6,174038970.66199842,12758088862.545183
2022-05-11 19:14:22.317951,69.5,174039425.1685581,12758120450.75108
2022-05-11 19:14:34.534670,69.3,174042425.1685581,12758328350.75108
2022-05-11 19:14:48.098292,69.3,174042425.1685581,12758328350.75108
2022-05-11 19:15:01.111447,69.3,174042425.1685581,12758328350.75108
2022-05-11 19:15:14.017974,69.3,174042425.1685581,12758328350.75108
2022-05-11 19:15:26.600993,69.3,174042425.1685581,12758328350.75108
2022-05-11 19:15:39.750171,69.5,174042915.5279992,12758362430.947779
2022-05-11 19:15:51.782497,69.5,174042915.5279992,12758362430.947779
2022-05-11 19:16:03.842566,69.5,174042915.5279992,12758362430.947779
2022-05-11 19:16:15.959431,69.6,174043479.47555667,12758401681.697779
2022-05-11 19:16:28.125002,69.6,174045806.83343074,12758563665.805815
2022-05-11 19:16:40.489152,69.6,174115282.654427,12763399182.947153
2022-05-11 19:16:53.080251,69.6,174115282.654427,12763399182.947153
2022-05-11 19:17:05.504319,69.6,174115282.654427,12763399182.947153
2022-05-11 19:17:18.015695,69.6,174115282.654427,12763399182.947153
2022-05-11 19:17:30.743494,69.6,174115282.654427,12763399182.947153
2022-05-11 19:17:44.033930,69.6,174115282.654427,12763399182.947153
2022-05-11 19:17:56.171376,69.7,174119889.47293487,12763720278.197153
2022-05-11 19:18:08.997638,69.5,174129103.10995066,12764361086.6516
2022-05-11 19:18:21.606374,69.4,174133740.51747167,12764682922.733559
2022-05-11 19:18:33.731717,69.4,174133740.51747167,12764682922.733559
2022-05-11 19:18:47.019691,69.4,174133740.51747167,12764682922.733559
2022-05-11 19:18:59.607102,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:19:12.380852,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:19:23.692281,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:19:38.333828,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:19:50.646926,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:20:03.412477,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:20:15.458614,68.9,174182307.85271525,12768042859.827293
2022-05-11 19:20:28.417097,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:20:40.592925,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:20:52.440227,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:21:04.106222,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:21:16.443843,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:21:28.208316,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:21:40.426420,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:21:52.646300,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:22:04.978789,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:22:16.406256,69.7,174221032.15677038,12770741510.827293
2022-05-11 19:22:28.665961,69.6,174222466.15999833,12770841317.451958
2022-05-11 19:22:41.624340,69.6,174222609.63202128,12770851303.104755
2022-05-11 19:22:54.067517,69.6,174222609.63202128,12770851303.104755
2022-05-11 19:23:06.826664,69.6,174222609.63202128,12770851303.104755
2022-05-11 19:23:19.842726,69.6,174222609.63202128,12770851303.104755
2022-05-11 19:23:33.330947,69.6,174222609.63202128,12770851303.104755
2022-05-11 19:23:45.784597,69.6,174224046.41363046,12770951303.104755
2022-05-11 19:23:58.267472,69.3,174508260.51806217,12790793037.352507
2022-05-11 19:24:11.222721,69.3,174508260.51806217,12790793037.352507
2022-05-11 19:24:25.294441,69.3,174508260.51806217,12790793037.352507
2022-05-11 19:24:37.006744,69.6,174508482.91272074,12790808619.676506
2022-05-11 19:24:50.405233,69.6,174550160.5957075,12793720972.193277
2022-05-11 19:25:02.982759,70.2,174682550.57363227,12803001019.795347
2022-05-11 19:25:16.685729,70.3,174809780.1633038,12811949483.689236
2022-05-11 19:25:29.469098,70.5,174849485.79195395,12814751084.39037
2022-05-11 19:25:41.726449,70.8,175031582.90679443,12827648358.337059
2022-05-11 19:25:53.817955,70.7,175288981.77209058,12845911817.396338
2022-05-11 19:26:07.106444,71.6,175433363.3757504,12856185942.248674
2022-05-11 19:26:19.591549,71.4,175540449.87247744,12863805449.405495
2022-05-11 19:26:32.600301,71.2,175816289.98666528,12883470932.062494
2022-05-11 19:26:45.509070,71.4,175872119.20281723,12887463401.198965
2022-05-11 19:26:58.697522,70.9,176338432.09853706,12920588984.3739
2022-05-11 19:27:10.980642,70.9,176375630.95261735,12923223146.867586
2022-05-11 19:27:24.059378,71.0,176454541.2123347,12928822135.46828
2022-05-11 19:27:36.308583,71.2,176480097.75585717,12930641108.785004
2022-05-11 19:27:49.344633,70.8,176590119.38754812,12938431194.91304
2022-05-11 19:28:02.833655,70.8,176590119.38754812,12938431194.91304
2022-05-11 19:28:15.425913,70.8,176590119.38754812,12938431194.91304
2022-05-11 19:28:27.958656,70.8,176683233.56694052,12945023678.814024
2022-05-11 19:28:41.492839,70.7,176684566.09394053,12945117888.472923
2022-05-11 19:28:52.648466,70.7,176684566.09394053,12945117888.472923
2022-05-11 19:29:04.787827,70.7,176684566.09394053,12945117888.472923
2022-05-11 19:29:17.590301,70.2,176711593.37998116,12947017029.293055
2022-05-11 19:29:31.127433,70.2,176766796.14693946,12950892263.533525
2022-05-11 19:29:44.322158,70.2,176766796.14693946,12950892263.533525
2022-05-11 19:29:56.396993,70.4,176823081.18882474,12954835665.724535
2022-05-11 19:30:08.549903,70.4,176823081.18882474,12954835665.724535
2022-05-11 19:30:21.051230,70.4,176823081.18882474,12954835665.724535
2022-05-11 19:30:33.790008,70.0,176846453.81026292,12956476474.686089
2022-05-11 19:30:46.824976,70.4,176900154.8754148,12960259934.751732
2022-05-11 19:30:59.438228,71.1,176924432.89691818,12961972917.424784
2022-05-11 19:31:12.064269,71.0,176925841.3476224,12962072917.424782
2022-05-11 19:31:23.091113,71.0,176926545.5729745,12962122917.424782
2022-05-11 19:31:36.512140,70.3,176930020.7562868,12962367431.399656
2022-05-11 19:31:48.833415,70.3,176930020.7562868,12962367431.399656
2022-05-11 19:32:01.659751,70.3,176930020.7562868,12962367431.399656
2022-05-11 19:32:14.166373,70.3,176951266.25086725,12963860989.668661
2022-05-11 19:32:26.764888,70.3,176951266.25086725,12963860989.668661
2022-05-11 19:32:38.798513,70.4,176954177.25371775,12964065647.373596
2022-05-11 19:32:51.217765,70.4,176954177.25371775,12964065647.373596
2022-05-11 19:33:04.042115,70.3,176955810.49959478,12964180464.558754
2022-05-11 19:33:17.042123,70.3,176955810.49959478,12964180464.558754
2022-05-11 19:33:29.973996,70.3,176955810.49959478,12964180464.558754
2022-05-11 19:33:42.931968,70.0,176991347.71625394,12966667522.76136
2022-05-11 19:33:55.664590,69.9,176991490.77777085,12966677522.761393
2022-05-11 19:34:08.028355,70.0,177035380.78322998,12969724555.186216
2022-05-11 19:34:22.137826,70.0,177035796.08272308,12969753626.150734
2022-05-11 19:34:35.230712,69.5,177038771.7190867,12969960432.878006
2022-05-11 19:34:47.062491,69.5,177106191.40574598,12974646101.100824
2022-05-11 19:34:59.583325,69.4,177149981.6857472,12977685146.532911
2022-05-11 19:35:12.419580,69.4,177149981.6857472,12977685146.532911
2022-05-11 19:35:25.256006,69.4,177178184.0211992,12979642403.588526
2022-05-11 19:35:39.918660,69.4,177178184.0211992,12979642403.588526
2022-05-11 19:35:52.900818,69.4,177178184.0211992,12979642403.588526
2022-05-11 19:36:05.823836,69.4,177178184.0211992,12979642403.588526
2022-05-11 19:36:18.869730,69.4,177178184.0211992,12979642403.588526
2022-05-11 19:36:31.989710,69.9,177257238.91335186,12985138507.916382
2022-05-11 19:36:44.911528,69.9,177257238.91335186,12985138507.916382
2022-05-11 19:36:58.195804,69.9,177257238.91335186,12985138507.916382
2022-05-11 19:37:11.766968,69.9,177257238.91335186,12985138507.916382
2022-05-11 19:37:24.877313,69.9,177257238.91335186,12985138507.916382
2022-05-11 19:37:38.888248,70.2,177258669.52851638,12985238937.100931
2022-05-11 19:37:51.184109,70.2,177258669.52851638,12985238937.100931
2022-05-11 19:38:05.043628,70.3,177272902.79630312,12986238937.100931
2022-05-11 19:38:18.548872,70.3,177285828.95058018,12987147645.746607
2022-05-11 19:38:31.259613,70.3,177285828.95058018,12987147645.746607
2022-05-11 19:38:44.613746,69.9,177301551.41123825,12988247645.746607
2022-05-11 19:38:58.143291,69.9,177301551.41123825,12988247645.746607
2022-05-11 19:39:11.349994,69.9,177301551.41123825,12988247645.746607
2022-05-11 19:39:23.459202,69.9,177354596.27650234,12991955481.828566
2022-05-11 19:39:36.399305,70.0,177359531.7516219,12992300965.086937
2022-05-11 19:39:50.736720,69.5,177488943.23844066,13001295063.42084
2022-05-11 19:40:02.946425,69.5,177488943.23844066,13001295063.42084
2022-05-11 19:40:15.117078,69.5,177488943.23844066,13001295063.42084
2022-05-11 19:40:26.585381,69.5,177493878.71356025,13001638078.94165
2022-05-11 19:40:39.391747,69.5,177493878.71356025,13001638078.94165
2022-05-11 19:40:52.409549,69.5,177493878.71356025,13001638078.94165
2022-05-11 19:41:04.330672,69.5,177493878.71356025,13001638078.94165
2022-05-11 19:41:16.980489,69.9,177501299.54726025,13002156795.217281
2022-05-11 19:41:29.664006,69.9,177501299.54726025,13002156795.217281
2022-05-11 19:41:45.185778,69.9,177501299.54726025,13002156795.217281
2022-05-11 19:41:58.221578,69.9,177501299.54726025,13002156795.217281
2022-05-11 19:42:11.458584,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:42:23.894287,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:42:36.050436,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:42:48.595271,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:43:00.474588,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:43:13.056097,69.5,177505026.59993416,13002415825.378119
2022-05-11 19:43:25.097986,69.9,177505987.33254388,13002482980.587538
2022-05-11 19:43:37.671916,69.9,177505987.33254388,13002482980.587538
2022-05-11 19:43:50.738977,69.9,177505987.33254388,13002482980.587538
2022-05-11 19:44:03.967224,69.9,177505987.33254388,13002482980.587538
2022-05-11 19:44:16.781901,70.1,177523458.9163829,13003708614.587536
2022-05-11 19:44:28.873031,70.1,177523458.9163829,13003708614.587536
2022-05-11 19:44:41.437703,70.1,177523458.9163829,13003708614.587536
2022-05-11 19:44:53.758893,70.1,177523458.9163829,13003708614.587536
2022-05-11 19:45:06.494878,70.1,177523458.9163829,13003708614.587536
2022-05-11 19:45:19.570588,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:45:32.458353,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:45:46.114235,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:46:00.005916,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:46:13.754182,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:46:26.889001,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:46:41.458487,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:46:54.835530,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:47:09.769867,70.0,177524605.9857054,13003788909.440111
2022-05-11 19:47:22.628125,70.0,177526034.55713397,13003888909.440111
2022-05-11 19:47:36.825670,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:47:48.924411,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:48:02.192053,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:48:15.060898,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:48:29.091550,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:48:42.996891,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:48:55.355486,69.6,177535394.13941157,13004540336.366632
2022-05-11 19:49:07.841338,69.7,177596720.25747892,13008815052.918959
2022-05-11 19:49:21.178374,69.7,177596720.25747892,13008815052.918959
2022-05-11 19:49:34.277246,69.7,177600455.61991203,13009075407.680546
2022-05-11 19:49:47.607151,69.7,177600455.61991203,13009075407.680546
2022-05-11 19:49:59.970253,69.7,177600455.61991203,13009075407.680546
2022-05-11 19:50:11.927779,69.7,177600455.61991203,13009075407.680546
2022-05-11 19:50:24.143112,69.7,177600455.61991203,13009075407.680546
2022-05-11 19:50:37.330150,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:50:52.212536,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:51:04.518415,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:51:16.422806,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:51:29.539933,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:51:41.759100,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:51:54.475274,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:52:08.342791,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:52:22.377613,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:52:35.595756,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:52:47.395690,69.7,177621264.51076862,13010525977.488794
2022-05-11 19:52:59.624098,69.7,177632703.7124839,13011323289.84835
2022-05-11 19:53:11.996912,69.7,177632703.7124839,13011323289.84835
2022-05-11 19:53:26.184674,69.7,177632703.7124839,13011323289.84835
2022-05-11 19:53:39.410864,69.7,177647273.10404712,13012338776.440306
2022-05-11 19:53:51.733011,69.7,177647273.10404712,13012338776.440306
2022-05-11 19:54:04.090196,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:54:15.699629,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:54:28.099675,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:54:41.262869,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:54:54.067762,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:55:06.986425,70.0,177679042.6135522,13014556597.771202
2022-05-11 19:55:19.231671,69.7,177693389.81584778,13015556597.771202
2022-05-11 19:55:32.854324,69.7,177693389.81584778,13015556597.771202
2022-05-11 19:55:45.843546,69.7,177693389.81584778,13015556597.771202
2022-05-11 19:55:57.644517,69.7,177693389.81584778,13015556597.771202
2022-05-11 19:56:09.758448,69.7,177693389.81584778,13015556597.771202
2022-05-11 19:56:21.434350,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:56:33.978006,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:56:46.082088,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:56:58.714366,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:57:24.654712,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:57:37.946554,69.7,177722136.14493042,13017560216.908262
2022-05-11 19:57:51.259053,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:58:03.954370,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:58:17.520649,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:58:30.697854,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:58:44.290478,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:58:56.548277,69.7,177751065.56907588,13019576597.771202
2022-05-11 19:59:07.973584,69.6,177763991.72335294,13020475656.705435
2022-05-11 19:59:19.498294,69.6,177763991.72335294,13020475656.705435
2022-05-11 19:59:31.870692,69.6,177763991.72335294,13020475656.705435
2022-05-11 19:59:43.627495,69.5,177781648.23943263,13021702784.572973
2022-05-11 19:59:55.532367,69.5,177781648.23943263,13021702784.572973
2022-05-11 20:00:07.482027,69.5,177798349.40042025,13022863515.261614
2022-05-11 20:00:20.469228,69.5,177879097.05242416,13028464797.254005
2022-05-11 20:00:33.068176,69.5,177882085.3358774,13028672277.84536
2022-05-11 20:00:45.897277,69.5,177892874.9042227,13029422152.84536
2022-05-11 20:01:00.181547,69.2,177892982.4593327,13029429595.658972
2022-05-11 20:01:13.630797,69.2,177893049.51935628,13029434236.212603
2022-05-11 20:01:26.463717,69.2,177901825.98322913,13030041567.512604
2022-05-11 20:01:40.131843,69.1,177912609.4226456,13030786703.176281
2022-05-11 20:01:53.752793,69.0,177931939.61967418,13032119449.010115
2022-05-11 20:02:07.824539,69.0,177955609.80774996,13033752277.384869
2022-05-11 20:02:21.632105,69.0,177955609.80774996,13033752277.384869
2022-05-11 20:02:35.801402,69.0,177956209.85299078,13033793680.506487
2022-05-11 20:02:49.560037,69.0,177989267.64549077,13036074668.188986
2022-05-11 20:03:02.504366,69.0,177995879.2039908,13036530865.725487
2022-05-11 20:03:15.382833,69.0,178010371.95761397,13037530865.725485
