,price,volume,value
2022-05-11 19:07:12.430617,17.5,611797910.6001878,11082048614.213135
2022-05-11 19:07:25.049841,17.5,611797910.6001878,11082048614.213135
2022-05-11 19:07:37.648121,17.5,611803624.885902,11082148614.213135
2022-05-11 19:07:50.587007,17.5,611803910.6001878,11082153614.213135
2022-05-11 19:08:08.351894,17.5,611803910.6001878,11082153614.213135
2022-05-11 19:08:22.683903,17.5,611803910.6001878,11082153614.213135
2022-05-11 19:08:38.323856,17.4,611849605.1403958,11082948699.212753
2022-05-11 19:08:51.334525,17.4,611849605.1403958,11082948699.212753
2022-05-11 19:09:02.733838,17.4,611849605.1403958,11082948699.212753
2022-05-11 19:09:16.104926,17.4,611849605.1403958,11082948699.212753
2022-05-11 19:09:31.058909,17.4,611849605.1403958,11082948699.212753
2022-05-11 19:09:42.542054,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:09:54.248587,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:10:07.574068,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:10:19.382508,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:10:30.531195,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:10:42.406444,17.4,611855352.2668326,11083048699.212753
2022-05-11 19:10:55.042669,17.3,611882984.0413101,11083526728.911213
2022-05-11 19:11:06.809972,17.3,611882984.0413101,11083526728.911213
2022-05-11 19:11:19.515459,17.4,611883297.8831179,11083532189.75867
2022-05-11 19:11:32.188155,17.5,612104572.9163462,11087382406.197954
2022-05-11 19:11:45.231045,17.5,612104572.9163462,11087382406.197954
2022-05-11 19:11:57.545471,17.5,612105580.9163462,11087400046.197954
2022-05-11 19:12:11.788296,17.5,612105580.9163462,11087400046.197954
2022-05-11 19:12:25.636975,17.5,612105580.9163462,11087400046.197954
2022-05-11 19:12:39.851291,17.5,612134152.3449175,11087900046.197954
2022-05-11 19:12:52.049897,17.5,612134152.3449175,11087900046.197954
2022-05-11 19:13:04.290976,17.5,612134152.3449175,11087900046.197954
2022-05-11 19:13:17.732793,17.5,612134152.3449175,11087900046.197954
2022-05-11 19:13:30.225624,17.5,612137009.4306319,11087950045.197954
2022-05-11 19:13:42.530298,17.5,612137580.8592033,11087960045.197954
2022-05-11 19:13:54.733112,17.5,612137580.8592033,11087960045.197954
2022-05-11 19:14:07.267187,17.5,612137580.8592033,11087960045.197954
2022-05-11 19:14:20.536792,17.4,612498118.5481567,11094233400.985744
2022-05-11 19:14:32.724288,17.5,612498430.6268084,11094238862.362148
2022-05-11 19:14:46.060966,17.5,612498430.6268084,11094238862.362148
2022-05-11 19:14:59.340661,17.5,612498430.6268084,11094238862.362148
2022-05-11 19:15:11.998259,17.5,612498430.6268084,11094238862.362148
2022-05-11 19:15:24.867419,17.5,612508430.6268084,11094413862.362148
2022-05-11 19:15:37.706126,17.5,612513637.3926198,11094504980.763847
2022-05-11 19:15:50.240161,17.5,612749910.6631274,11098639762.99773
2022-05-11 19:16:01.640945,17.5,612749910.6631274,11098639762.99773
2022-05-11 19:16:14.203140,17.4,612863879.7060033,11100622824.343771
2022-05-11 19:16:26.326407,17.5,612864191.784655,11100628285.720175
2022-05-11 19:16:38.595787,17.5,613064191.784655,11104128285.720175
2022-05-11 19:16:51.023075,17.5,613065445.3887304,11104150223.791494
2022-05-11 19:17:03.573707,17.5,613180570.492536,11106164913.108093
2022-05-11 19:17:15.771245,17.5,613220318.6949344,11106860506.650064
2022-05-11 19:17:28.769272,17.5,613223175.8377916,11106910506.650064
2022-05-11 19:17:41.921960,17.5,613223175.8377916,11106910506.650064
2022-05-11 19:17:54.436159,17.4,613230086.3069756,11107030748.813866
2022-05-11 19:18:07.002127,17.5,613230398.3856273,11107036210.190271
2022-05-11 19:18:19.736278,17.4,613234484.4863272,11107107308.342451
2022-05-11 19:18:32.014524,17.5,613235082.2792646,11107117769.718855
2022-05-11 19:18:44.981127,17.5,613235082.2792646,11107117769.718855
2022-05-11 19:18:57.903093,17.5,613400294.2691131,11110008979.541204
2022-05-11 19:19:10.656181,17.5,613416661.8644863,11110295412.460234
2022-05-11 19:19:22.035847,17.6,613487257.9711103,11111530903.93682
2022-05-11 19:19:36.311745,17.6,613487257.9711103,11111530903.93682
2022-05-11 19:19:48.606572,17.6,613487257.9711103,11111530903.93682
2022-05-11 19:20:01.298977,17.5,613487568.3063059,11111536334.80274
2022-05-11 19:20:13.723824,17.5,613487568.3063059,11111536334.80274
2022-05-11 19:20:26.707839,17.5,613487568.3063059,11111536334.80274
2022-05-11 19:20:38.655580,17.5,613489282.5920202,11111566334.80274
2022-05-11 19:20:50.779373,17.4,613490008.5383372,11111578966.268656
2022-05-11 19:21:02.372290,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:21:14.611741,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:21:26.563453,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:21:38.660512,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:21:50.907410,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:22:02.838106,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:22:14.642093,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:22:26.781095,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:22:39.771916,17.5,613490320.6169889,11111584427.645061
2022-05-11 19:22:52.090934,17.5,613490820.6169889,11111593177.645061
2022-05-11 19:23:04.563076,17.5,613490820.6169889,11111593177.645061
2022-05-11 19:23:17.832468,17.5,613490820.6169889,11111593177.645061
2022-05-11 19:23:31.244072,17.5,613490820.6169889,11111593177.645061
2022-05-11 19:23:43.642541,17.5,613505930.228284,11111856116.089462
2022-05-11 19:23:56.221283,17.5,613505930.228284,11111856116.089462
2022-05-11 19:24:09.258252,17.5,613505930.228284,11111856116.089462
2022-05-11 19:24:22.568135,17.5,613677358.7997127,11114856116.089462
2022-05-11 19:24:35.317359,17.5,613677358.7997127,11114856116.089462
2022-05-11 19:24:48.671426,17.5,613677647.3711412,11114861166.089462
2022-05-11 19:25:01.187412,17.5,613677647.3711412,11114861166.089462
2022-05-11 19:25:14.214567,17.5,613722094.0425698,11115638982.839462
2022-05-11 19:25:27.189298,17.5,613774973.9349623,11116564380.95633
