,price,volume,value
2022-05-11 19:07:08.226735,6565.0,6329538.90548391,40418003851.44014
2022-05-11 19:07:21.017448,6560.0,6333320.97826578,40442790296.68803
2022-05-11 19:07:33.416628,6530.0,6351381.49946391,40560695547.79176
2022-05-11 19:07:46.751592,6535.0,6353119.75873727,40572047433.072495
2022-05-11 19:08:03.336709,6515.0,6358407.97066619,40606548810.72681
2022-05-11 19:08:18.024051,6520.0,6359132.49213704,40611269297.81843
2022-05-11 19:08:33.422631,6515.0,6359710.78519536,40615038216.73794
2022-05-11 19:08:47.388491,6525.0,6361382.52296537,40625931567.553604
2022-05-11 19:08:59.012211,6520.0,6361703.30752274,40628022628.29351
2022-05-11 19:09:11.631846,6510.0,6362364.74415205,40632330946.67382
2022-05-11 19:09:26.522056,6505.0,6363396.72163182,40639039811.280914
2022-05-11 19:09:38.773372,6520.0,6364251.29411351,40644601265.77295
2022-05-11 19:09:50.224689,6515.0,6364819.93968275,40648307225.73367
2022-05-11 19:10:03.346824,6520.0,6365453.44454596,40652437032.24818
2022-05-11 19:10:15.527399,6520.0,6365960.65603673,40655742482.1827
2022-05-11 19:10:26.978911,6525.0,6367978.0178151,40668903910.69686
2022-05-11 19:10:38.285260,6525.0,6368329.48870542,40671197258.256195
2022-05-11 19:10:50.600439,6595.0,6378396.63722418,40737165518.50246
2022-05-11 19:11:02.972213,6535.0,6378399.04093158,40737181234.63534
2022-05-11 19:11:15.580370,6550.0,6378634.11296422,40738720010.945595
2022-05-11 19:11:28.048679,6545.0,6380224.18561492,40749141976.042496
2022-05-11 19:11:41.133430,6545.0,6381258.7644169,40755909450.62901
2022-05-11 19:11:53.526918,6570.0,6381703.66034596,40758830770.26223
2022-05-11 19:12:06.574270,6590.0,6383944.32136858,40773596078.84884
2022-05-11 19:12:20.944842,6620.0,6389323.55530721,40809201505.093925
2022-05-11 19:12:35.333883,6605.0,6390142.07980067,40814606740.281555
2022-05-11 19:12:48.148716,6590.0,6393275.35196509,40835274292.81499
2022-05-11 19:13:00.515251,6590.0,6393884.10203183,40839289388.574135
