,price,volume,value
2022-05-11 19:07:07.788236,52.0,251393208.63931212,13819787483.764639
2022-05-11 19:07:20.670827,52.0,251855681.29292566,13843767744.487974
2022-05-11 19:07:33.097968,51.6,252006376.01242393,13851550500.615524
2022-05-11 19:07:46.464435,51.6,252006376.01242393,13851550500.615524
2022-05-11 19:08:02.990292,51.8,252011562.37972394,13851819154.441666
2022-05-11 19:08:17.660689,51.8,252011562.37972394,13851819154.441666
2022-05-11 19:08:33.090426,51.8,252011562.37972394,13851819154.441666
2022-05-11 19:08:47.040780,51.8,252012701.61461776,13851878166.809166
2022-05-11 19:08:58.740189,51.8,252012701.61461776,13851878166.809166
2022-05-11 19:09:11.208008,51.8,252012701.61461776,13851878166.809166
2022-05-11 19:09:25.904142,51.8,252047066.96038625,13853658291.719973
2022-05-11 19:09:38.440132,51.7,252049110.54986957,13853763945.29626
2022-05-11 19:09:49.952971,51.7,252062516.43753558,13854457029.688593
2022-05-11 19:10:02.939261,51.6,252079387.13679352,13855327766.770304
2022-05-11 19:10:15.239455,51.6,252079387.13679352,13855327766.770304
2022-05-11 19:10:26.678217,51.7,252196091.28101695,13861361273.560766
2022-05-11 19:10:37.935364,51.7,252196091.28101695,13861361273.560766
2022-05-11 19:10:50.327058,51.7,252196091.28101695,13861361273.560766
2022-05-11 19:11:02.668898,51.7,252196091.28101695,13861361273.560766
2022-05-11 19:11:15.214451,51.7,252203677.42580512,13861753447.660517
2022-05-11 19:11:27.370373,51.7,252348942.81905544,13869263668.491558
2022-05-11 19:11:40.831243,51.7,252348942.81905544,13869263668.491558
2022-05-11 19:11:53.042437,51.8,252361451.80802485,13869911634.120173
2022-05-11 19:12:06.272612,51.8,252361451.80802485,13869911634.120173
2022-05-11 19:12:20.627308,52.0,252363722.46300632,13870029708.179209
2022-05-11 19:12:34.988207,52.1,252366080.41271555,13870152557.35906
2022-05-11 19:12:47.832950,52.2,252393695.53602102,13871594066.795607
2022-05-11 19:13:00.151428,52.1,252462412.67561722,13875165298.35103
2022-05-11 19:13:12.526621,52.1,252462412.67561722,13875165298.35103
2022-05-11 19:13:25.626181,52.2,252465213.1527733,13875311483.258577
2022-05-11 19:13:38.139529,52.2,252465213.1527733,13875311483.258577
2022-05-11 19:13:50.201457,52.3,252465404.35736218,13875321483.258577
2022-05-11 19:14:03.127694,52.3,252465404.35736218,13875321483.258577
2022-05-11 19:14:15.500260,52.3,252465404.35736218,13875321483.258577
2022-05-11 19:14:28.404754,52.1,252467494.35736218,13875430372.258577
2022-05-11 19:14:41.304969,52.1,252467494.35736218,13875430372.258577
2022-05-11 19:14:54.449621,52.1,252619737.60784203,13883362245.608576
2022-05-11 19:15:07.200058,52.1,252619737.60784203,13883362245.608576
2022-05-11 19:15:20.583002,52.1,252675128.0642509,13886248088.387478
2022-05-11 19:15:33.284242,52.1,252675128.0642509,13886248088.387478
2022-05-11 19:15:46.158468,52.2,252678236.32301188,13886410349.720678
2022-05-11 19:15:57.465969,52.2,252680326.32301188,13886519447.720678
2022-05-11 19:16:09.846534,52.1,252683157.34408468,13886667018.020678
2022-05-11 19:16:21.992755,52.1,252688353.62438467,13886937744.224308
2022-05-11 19:16:34.842167,52.1,252688353.62438467,13886937744.224308
2022-05-11 19:16:46.671798,52.1,252688353.62438467,13886937744.224308
2022-05-11 19:16:59.135660,52.1,252688353.62438467,13886937744.224308
2022-05-11 19:17:11.390686,52.2,252726870.14147925,13888944646.335815
2022-05-11 19:17:23.988761,52.1,252727066.97817266,13888954911.106087
2022-05-11 19:17:37.162096,52.1,252727066.97817266,13888954911.106087
2022-05-11 19:17:50.408736,52.1,252727066.97817266,13888954911.106087
2022-05-11 19:18:02.935774,52.2,252728008.7502033,13889004071.606087
2022-05-11 19:18:15.042642,52.2,252728008.7502033,13889004071.606087
2022-05-11 19:18:27.621611,52.1,252728221.80202675,13889015171.606087
2022-05-11 19:18:40.409612,52.1,252728221.80202675,13889015171.606087
2022-05-11 19:18:53.511176,52.1,252804602.23305893,13892994592.062864
2022-05-11 19:19:05.928698,52.1,252814778.8503418,13893524793.823301
2022-05-11 19:19:17.972856,52.1,252830620.7790537,13894349666.819756
2022-05-11 19:19:30.546161,52.1,252830620.7790537,13894349666.819756
2022-05-11 19:19:44.171726,52.1,252830620.7790537,13894349666.819756
2022-05-11 19:19:56.677916,52.1,252830620.7790537,13894349666.819756
2022-05-11 19:20:09.207327,52.1,252883654.62623048,13897112730.257666
2022-05-11 19:20:22.260135,52.0,252935712.72649294,13899819751.47137
2022-05-11 19:20:34.274128,52.0,252935712.72649294,13899819751.47137
2022-05-11 19:20:46.449626,52.0,252935712.72649294,13899819751.47137
2022-05-11 19:20:58.614865,52.0,252935905.03418523,13899829751.47137
2022-05-11 19:21:10.214616,52.1,252936097.34187755,13899839770.70214
2022-05-11 19:21:22.218786,52.0,252936843.41190273,13899878566.34345
2022-05-11 19:21:34.391391,52.0,252936843.41190273,13899878566.34345
2022-05-11 19:21:46.695728,52.0,252936843.41190273,13899878566.34345
2022-05-11 19:21:57.939150,52.0,252947891.86656958,13900453085.986126
2022-05-11 19:22:10.721859,52.0,252949813.98243472,13900553036.011114
2022-05-11 19:22:22.706076,52.0,252949813.98243472,13900553036.011114
2022-05-11 19:22:35.186896,52.0,252965612.87246633,13901374578.292757
2022-05-11 19:22:47.734379,52.0,252965612.87246633,13901374578.292757
2022-05-11 19:23:00.398325,52.0,252966341.59267354,13901412471.743532
2022-05-11 19:23:13.450561,52.1,252967144.04501483,13901454279.510513
2022-05-11 19:23:26.859989,52.0,253016655.23771414,13904028861.530876
2022-05-11 19:23:39.271093,52.0,253016655.23771414,13904028861.530876
2022-05-11 19:23:51.727173,52.0,253016655.23771414,13904028861.530876
2022-05-11 19:24:04.972807,51.9,253067457.69955805,13906665509.300575
2022-05-11 19:24:18.328553,52.0,253071009.35555804,13906850195.412577
2022-05-11 19:24:31.108036,52.0,253075930.87555805,13907106114.452576
2022-05-11 19:24:43.613177,52.0,253075930.87555805,13907106114.452576
2022-05-11 19:24:56.817962,52.0,253075930.87555805,13907106114.452576
2022-05-11 19:25:09.621941,52.0,253075930.87555805,13907106114.452576
2022-05-11 19:25:22.716353,51.9,253206134.81781027,13913863795.209312
2022-05-11 19:25:35.952439,51.7,253206756.6311521,13913895942.959084
2022-05-11 19:25:47.929039,51.9,253206856.6311521,13913901132.959084
2022-05-11 19:26:00.131531,51.7,253207823.74914047,13913951132.959085
2022-05-11 19:26:13.837851,51.7,253207823.74914047,13913951132.959085
2022-05-11 19:26:26.170194,51.7,253207823.74914047,13913951132.959085
2022-05-11 19:26:39.189914,51.7,253207823.74914047,13913951132.959085
2022-05-11 19:26:52.341057,51.7,253207823.74914047,13913951132.959085
2022-05-11 19:27:04.983691,51.9,253220204.74914047,13914593706.859085
2022-05-11 19:27:16.994954,51.9,253220304.74914047,13914598896.859085
2022-05-11 19:27:30.020924,51.9,253220304.74914047,13914598896.859085
2022-05-11 19:27:42.502883,51.9,253220304.74914047,13914598896.859085
2022-05-11 19:27:56.192588,51.9,253220304.74914047,13914598896.859085
2022-05-11 19:28:09.187878,51.9,253223509.62069315,13914765229.692667
2022-05-11 19:28:21.458636,51.9,253223509.62069315,13914765229.692667
2022-05-11 19:28:34.457300,51.9,253243226.78862134,13915788550.708141
2022-05-11 19:28:46.960280,51.9,253265930.03689918,13916966849.29376
2022-05-11 19:28:59.016878,51.9,253265930.03689918,13916966849.29376
2022-05-11 19:29:11.108398,51.9,253265930.03689918,13916966849.29376
2022-05-11 19:29:24.191690,51.9,253271104.27439916,13917235392.22001
2022-05-11 19:29:38.174991,51.7,253278834.40294513,13917634705.244278
2022-05-11 19:29:50.543270,51.7,253278834.40294513,13917634705.244278
2022-05-11 19:30:02.580781,51.7,253278834.40294513,13917634705.244278
2022-05-11 19:30:15.131374,51.8,253291079.40294513,13918268996.244278
2022-05-11 19:30:27.717172,51.8,253291079.40294513,13918268996.244278
2022-05-11 19:30:40.041908,51.8,253291079.40294513,13918268996.244278
2022-05-11 19:30:53.141891,51.8,253296254.93216813,13918537088.65803
2022-05-11 19:31:06.078053,51.8,253296254.93216813,13918537088.65803
2022-05-11 19:31:17.448636,51.8,253324178.65287003,13919981583.3069
2022-05-11 19:31:29.991238,51.7,253387094.82212135,13923234349.257193
2022-05-11 19:31:42.278324,51.8,253389054.37722835,13923335854.211735
2022-05-11 19:31:55.186144,51.8,253407796.34972334,13924306688.386976
2022-05-11 19:32:07.856647,51.8,253407796.34972334,13924306688.386976
2022-05-11 19:32:20.149843,51.8,253407796.34972334,13924306688.386976
2022-05-11 19:32:32.348994,51.8,253427101.36902836,13925306688.386976
2022-05-11 19:32:44.874224,51.8,253457552.55992535,13926884060.075441
2022-05-11 19:32:56.881636,51.8,253460253.37694263,13927023962.396936
2022-05-11 19:33:10.562694,51.8,253460253.37694263,13927023962.396936
2022-05-11 19:33:23.533863,51.8,253480459.78713807,13928070654.445059
2022-05-11 19:33:36.898275,51.4,253961142.20637238,13952803372.628809
2022-05-11 19:33:49.227978,51.4,253961142.20637238,13952803372.628809
2022-05-11 19:34:01.628511,51.5,253963232.20637238,13952911007.628809
2022-05-11 19:34:14.742121,51.6,253965322.20637238,13953018851.628809
2022-05-11 19:34:28.814502,51.6,253967412.20637238,13953126695.628809
2022-05-11 19:34:40.901095,51.6,253969502.20637238,13953234539.628809
2022-05-11 19:34:53.600446,51.6,253969502.20637238,13953234539.628809
2022-05-11 19:35:06.025183,51.6,253969502.20637238,13953234539.628809
2022-05-11 19:35:18.643333,51.6,253969502.20637238,13953234539.628809
2022-05-11 19:35:31.830582,51.6,253969502.20637238,13953234539.628809
2022-05-11 19:35:46.588598,51.6,253994988.49610952,13954549632.179245
2022-05-11 19:35:59.357334,51.6,253994988.49610952,13954549632.179245
2022-05-11 19:36:12.269203,51.6,253994988.49610952,13954549632.179245
2022-05-11 19:36:25.472078,51.6,253994988.49610952,13954549632.179245
2022-05-11 19:36:38.693402,51.6,254014988.49610952,13955581632.179245
2022-05-11 19:36:51.555730,51.8,254016988.49610952,13955685232.179245
2022-05-11 19:37:04.868048,51.8,254016988.49610952,13955685232.179245
2022-05-11 19:37:18.453095,51.8,254016988.49610952,13955685232.179245
2022-05-11 19:37:31.909735,51.8,254016988.49610952,13955685232.179245
2022-05-11 19:37:45.130584,51.8,254021358.59871265,13955911603.494087
2022-05-11 19:37:58.096728,51.8,254021358.59871265,13955911603.494087
2022-05-11 19:38:12.369279,51.7,254021551.6489057,13955921584.189068
2022-05-11 19:38:24.766467,51.8,254023483.2627084,13956021584.189068
2022-05-11 19:38:38.336862,51.7,254023676.6863061,13956031584.189066
2022-05-11 19:38:51.207321,51.7,254023676.6863061,13956031584.189066
2022-05-11 19:39:04.754098,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:39:17.218111,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:39:29.344750,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:39:43.458971,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:39:56.409397,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:40:09.280090,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:40:20.767000,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:40:32.738124,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:40:46.921814,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:40:58.231927,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:41:10.530788,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:41:23.337687,51.8,254023773.23070762,13956036585.189066
2022-05-11 19:41:38.984974,51.5,254031520.23412243,13956437131.283134
2022-05-11 19:41:51.797494,51.5,254031520.23412243,13956437131.283134
2022-05-11 19:42:04.612202,51.5,254031520.23412243,13956437131.283134
2022-05-11 19:42:17.988003,51.5,254031520.23412243,13956437131.283134
2022-05-11 19:42:29.983967,51.5,254031520.23412243,13956437131.283134
2022-05-11 19:42:42.039263,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:42:54.757969,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:43:07.760973,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:43:19.406727,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:43:31.598006,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:43:43.901941,51.5,254038115.9983885,13956776813.142838
2022-05-11 19:43:57.365185,51.5,254281540.07926536,13969313153.307997
2022-05-11 19:44:11.025569,51.5,254281540.07926536,13969313153.307997
2022-05-11 19:44:22.970882,51.5,254281540.07977492,13969313153.334238
2022-05-11 19:44:35.365938,51.5,254281840.07926536,13969328603.307997
2022-05-11 19:44:47.906429,51.5,254282540.07977492,13969364653.334238
2022-05-11 19:44:59.953893,51.5,254282540.07977492,13969364653.334238
2022-05-11 19:45:12.860800,51.5,254286464.81595147,13969566777.24733
2022-05-11 19:45:26.084447,51.5,254286746.61601552,13969581289.950628
2022-05-11 19:45:39.209505,51.5,254295601.34189272,13970037308.333303
2022-05-11 19:45:52.941207,51.4,254323299.27245966,13971461791.607302
2022-05-11 19:46:07.289764,51.4,254323299.27245966,13971461791.607302
2022-05-11 19:46:20.036489,51.4,254400547.70311558,13975432360.943014
2022-05-11 19:46:33.853635,51.4,254609594.96221754,13986177390.060856
2022-05-11 19:46:48.518066,51.3,254610695.55506355,13986233850.473856
2022-05-11 19:47:02.324635,51.3,254725142.62014994,13992111041.725044
2022-05-11 19:47:15.791032,51.2,254787871.44552234,13995325901.46665
2022-05-11 19:47:28.777893,51.2,254811571.44552234,13996539341.46665
2022-05-11 19:47:42.765650,51.2,254811571.44552234,13996539341.46665
2022-05-11 19:47:55.768885,51.2,254811571.44552234,13996539341.46665
2022-05-11 19:48:08.372841,51.2,254811571.44552234,13996539341.46665
2022-05-11 19:48:22.014847,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:48:36.310079,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:48:49.019940,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:49:01.294481,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:49:14.576771,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:49:28.064967,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:49:41.125838,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:49:53.697051,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:50:06.189750,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:50:17.756814,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:50:30.635990,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:50:45.117257,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:50:58.319718,51.3,254869778.89493757,13999525383.62165
2022-05-11 19:51:10.351252,51.3,254891072.1655716,14000617728.405176
2022-05-11 19:51:23.385308,51.3,254891072.1655716,14000617728.405176
2022-05-11 19:51:35.491996,51.4,254893017.69086343,14000717728.405176
2022-05-11 19:51:48.358303,51.4,255087264.57520336,14010702018.260248
2022-05-11 19:52:01.909329,51.4,255087264.57520336,14010702018.260248
2022-05-11 19:52:14.956629,51.4,255087264.57520336,14010702018.260248
2022-05-11 19:52:28.847663,51.6,255087864.57520336,14010732878.260248
2022-05-11 19:52:41.901737,51.6,255087864.57520336,14010732878.260248
2022-05-11 19:52:53.570810,51.5,255092479.47345918,14010970545.520424
2022-05-11 19:53:05.412098,51.5,255092479.47345918,14010970545.520424
2022-05-11 19:53:18.824804,51.5,255092479.47345918,14010970545.520424
2022-05-11 19:53:32.931970,51.5,255102479.47345918,14011485545.520424
2022-05-11 19:53:45.397558,51.5,255102479.47345918,14011485545.520424
2022-05-11 19:53:58.010281,51.5,255102479.47345918,14011485545.520424
2022-05-11 19:54:09.785725,51.5,255102579.47345918,14011490695.520424
2022-05-11 19:54:22.063669,51.4,255154957.74075198,14014182938.459274
2022-05-11 19:54:34.727789,51.4,255176722.73463488,14015301458.59868
2022-05-11 19:54:48.378522,51.4,255178812.73463488,14015408884.59868
2022-05-11 19:55:00.555731,51.4,255212741.10314864,14017152802.740288
2022-05-11 19:55:12.716501,51.4,255214831.10314864,14017260228.740288
2022-05-11 19:55:26.401343,51.4,255216636.01871097,14017353001.400192
2022-05-11 19:55:38.778106,51.5,255222609.5138566,14017660427.400192
2022-05-11 19:55:51.716898,51.3,255284394.92591247,14020833472.643816
2022-05-11 19:56:03.662126,51.3,255286484.92591247,14020940689.643816
2022-05-11 19:56:15.419677,51.3,255286484.92591247,14020940689.643816
2022-05-11 19:56:27.826049,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:56:39.757038,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:56:52.553744,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:57:04.641556,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:57:17.263316,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:57:31.364753,51.4,255288434.24365127,14021040884.57559
2022-05-11 19:57:44.571645,51.3,255567678.61922306,14035366682.877651
2022-05-11 19:57:58.110416,51.3,255567877.03192148,14035376861.44908
2022-05-11 19:58:10.895481,51.3,255573976.2164375,14035689759.61475
2022-05-11 19:58:23.580266,51.3,255573976.2164375,14035689759.61475
2022-05-11 19:58:36.912942,51.3,255583591.11469328,14036183003.895273
2022-05-11 19:58:50.893232,51.3,255583732.60690153,14036190262.445555
2022-05-11 19:59:02.561072,51.3,255583732.60690153,14036190262.445555
2022-05-11 19:59:13.856496,51.3,255583732.60690153,14036190262.445555
2022-05-11 19:59:26.154215,51.3,255583732.60690153,14036190262.445555
2022-05-11 19:59:37.557357,51.3,255583732.60690153,14036190262.445555
2022-05-11 19:59:49.278009,51.3,255588081.94990152,14036413383.741455
2022-05-11 20:00:01.601228,51.3,255588081.94990152,14036413383.741455
2022-05-11 20:00:13.709351,51.3,255588081.95035902,14036413383.764925
2022-05-11 20:00:26.726194,51.3,255590081.95035902,14036515983.764925
2022-05-11 20:00:39.747215,51.3,255590081.95035902,14036515983.764925
2022-05-11 20:00:54.466145,51.2,255662217.3942573,14040209318.492517
2022-05-11 20:01:06.623672,51.3,255662411.9467865,14040219299.037264
2022-05-11 20:01:20.042061,51.3,255662411.9467865,14040219299.037264
2022-05-11 20:01:33.250771,51.3,255703135.95256037,14042304387.626064
2022-05-11 20:01:46.647715,51.2,255718037.68623522,14043067375.883394
2022-05-11 20:02:00.392524,51.2,255894951.24503157,14052125369.586945
2022-05-11 20:02:14.553165,51.2,255894951.24503157,14052125369.586945
2022-05-11 20:02:28.067665,51.3,255902472.21969044,14052509795.586945
2022-05-11 20:02:42.434778,51.1,255902953.61744186,14052534395.012043
2022-05-11 20:02:55.982172,51.1,255904128.07318544,14052594409.700539
2022-05-11 20:03:08.975928,51.1,255904128.07318544,14052594409.700539
2022-05-11 20:03:22.376513,51.1,255904128.07318544,14052594409.700539
2022-05-11 20:03:36.521556,51.1,255904128.07318544,14052594409.700539
2022-05-11 20:03:48.823010,51.0,255949291.08636907,14054897723.372906
2022-05-11 20:04:00.797742,50.9,256002630.02228433,14057612754.097374
2022-05-11 20:04:13.340143,50.9,256039596.2106553,14059494191.956425
2022-05-11 20:04:26.413179,50.8,256043683.5793993,14059701830.28862
2022-05-11 20:04:39.458915,50.9,256047742.0833363,14059908211.28862
2022-05-11 20:04:54.217848,50.9,256047742.0833363,14059908211.28862
2022-05-11 20:05:07.346681,50.8,256049832.0833363,14060014383.28862
2022-05-11 20:05:19.265090,50.8,256058879.5341237,14060473993.78862
2022-05-11 20:05:31.429951,50.7,256060969.5341237,14060579956.78862
2022-05-11 20:05:43.890199,50.7,256073307.4560624,14061205489.430912
2022-05-11 20:05:56.910745,50.6,256081475.77763283,14061618806.502375
2022-05-11 20:06:10.833114,50.6,256189606.1873819,14067080608.189762
2022-05-11 20:06:24.160521,50.5,256267047.34625,14070990189.78446
2022-05-11 20:06:36.911527,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:06:48.246241,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:07:00.394719,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:07:12.565588,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:07:25.644908,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:07:38.136800,50.5,256310517.78320333,14073185200.945576
2022-05-11 20:07:50.813959,50.5,256350935.01150236,14075226270.974678
2022-05-11 20:08:02.465124,50.5,256350935.01150236,14075226270.974678
2022-05-11 20:08:14.634826,50.6,256351946.20739692,14075277539.297966
2022-05-11 20:08:28.468070,50.6,256357719.2975023,14075569657.657299
2022-05-11 20:08:41.272288,50.6,256488883.3987074,14082206561.178276
2022-05-11 20:08:53.242955,50.6,256498759.88338995,14082706311.303213
2022-05-11 20:09:05.615715,50.6,256912076.4307903,14103620128.601671
2022-05-11 20:09:18.237470,50.6,256912076.4307903,14103620128.601671
2022-05-11 20:09:31.086974,50.6,256912076.4307903,14103620128.601671
2022-05-11 20:09:43.633819,50.9,256953523.0428966,14105722845.485172
2022-05-11 20:09:56.031417,50.7,256988960.62882707,14107524873.031116
2022-05-11 20:10:08.076462,50.7,256993026.29240978,14107731002.174759
2022-05-11 20:10:20.231590,50.7,257009330.2666578,14108557814.869133
2022-05-11 20:10:32.899733,50.7,257042801.3983082,14110254801.243809
2022-05-11 20:10:48.055154,50.7,257054400.23316145,14110842862.170868
2022-05-11 20:11:00.871042,50.7,257054767.64736262,14110861490.07087
2022-05-11 20:11:13.483521,50.7,257077233.14085272,14112000490.590816
2022-05-11 20:11:26.110934,50.8,257084975.74953613,14112393815.111933
2022-05-11 20:11:37.742945,50.7,257103426.87799448,14113330668.029728
2022-05-11 20:11:49.943780,50.7,257103426.87799448,14113330668.029728
2022-05-11 20:12:01.021951,50.7,257103426.87799448,14113330668.029728
2022-05-11 20:12:12.780035,50.8,257108602.64159447,14113593596.820606
