,price,volume,value
2022-05-11 19:07:18.746235,87280.0,3614528.30214047,328481785434.3295
2022-05-11 19:07:31.180740,87190.0,3614749.85661054,328501111401.40875
2022-05-11 19:07:44.752654,87150.0,3615191.07996223,328539568364.79785
2022-05-11 19:07:58.464615,87130.0,3615498.14310714,328566326000.0401
2022-05-11 19:08:15.288460,87000.0,3615850.42919845,328596996783.8367
2022-05-11 19:08:31.030135,86910.0,3616109.23559522,328619483147.8593
2022-05-11 19:08:45.077726,86910.0,3617079.02193787,328703704608.4709
2022-05-11 19:08:57.119739,86820.0,3617254.81578592,328718968707.3604
2022-05-11 19:09:09.095866,86810.0,3617930.37366433,328777623266.1406
2022-05-11 19:09:23.334929,86720.0,3618017.50655608,328785181750.1964
2022-05-11 19:09:36.639437,86950.0,3618381.31782061,328816745647.5515
2022-05-11 19:09:48.105728,86950.0,3618582.38723085,328834228671.11456
2022-05-11 19:10:00.525130,86950.0,3619110.66528033,328880161076.09625
2022-05-11 19:10:13.361292,86960.0,3619241.7159431,328891559720.19165
2022-05-11 19:10:25.048040,87070.0,3619453.7294759,328910013802.16626
2022-05-11 19:10:36.268751,87270.0,3619644.51073773,328926647472.34125
2022-05-11 19:10:48.134725,87260.0,3619771.89952852,328937762693.7027
2022-05-11 19:11:01.011275,87200.0,3620121.61533267,328968277833.5678
2022-05-11 19:11:13.385789,87300.0,3620164.60614646,328972030319.4728
2022-05-11 19:11:25.600975,87470.0,3620352.29564494,328988439432.5081
2022-05-11 19:11:38.987910,87750.0,3620886.54442443,329035232224.7335
2022-05-11 19:11:51.096269,88040.0,3621087.06382072,329052835959.7548
2022-05-11 19:12:04.478004,88150.0,3621376.63840888,329078359623.48846
2022-05-11 19:12:18.482969,88550.0,3621879.44077878,329122794827.6226
2022-05-11 19:12:32.967359,88440.0,3624443.16311875,329349884759.295
2022-05-11 19:12:46.079665,88450.0,3625466.51368815,329440535335.5704
2022-05-11 19:12:58.354484,88480.0,3625714.13799803,329462452194.22284
2022-05-11 19:13:10.180560,88640.0,3626479.95913913,329530269044.84595
2022-05-11 19:13:23.909236,88780.0,3628570.20523997,329715589143.6572
2022-05-11 19:13:36.434797,88710.0,3630049.0284885,329846906669.2503
2022-05-11 19:13:48.435297,88380.0,3630985.14518777,329929748750.88745
2022-05-11 19:14:01.199463,88650.0,3631179.84952606,329946948106.1603
2022-05-11 19:14:13.575889,88300.0,3631453.20045247,329971089608.1562
2022-05-11 19:14:26.726512,88150.0,3632553.00028641,330068149202.27203
2022-05-11 19:14:39.369424,88160.0,3633622.56211081,330162434000.6407
2022-05-11 19:14:52.603094,88300.0,3633966.90818884,330192837131.2362
2022-05-11 19:15:05.401924,88540.0,3634117.76240003,330206183331.07007
2022-05-11 19:15:18.454568,88850.0,3636031.34982119,330376004026.65814
2022-05-11 19:15:31.339562,88630.0,3636920.48741239,330454958106.7638
2022-05-11 19:15:44.268028,88350.0,3637155.36995615,330475746844.4136
2022-05-11 19:15:55.814722,88280.0,3637387.34632918,330496229197.42114
2022-05-11 19:16:07.941903,88180.0,3637729.59467956,330526431168.5495
2022-05-11 19:16:20.215361,88150.0,3638173.37347532,330565554369.58203
2022-05-11 19:16:32.622827,88370.0,3638438.38581665,330588928806.4575
2022-05-11 19:16:44.706469,88300.0,3638455.35564062,330590427632.5171
2022-05-11 19:16:57.487560,88280.0,3638794.79283108,330620402860.44476
2022-05-11 19:17:09.654982,88190.0,3639057.82866982,330643618493.2013
2022-05-11 19:17:22.192767,88220.0,3639280.59022482,330663268468.9764
2022-05-11 19:17:35.412144,88280.0,3639598.23959487,330691299176.5951
2022-05-11 19:17:48.765239,88280.0,3639638.87242545,330694885884.3389
2022-05-11 19:18:00.672231,88370.0,3639684.46713779,330698911763.8135
2022-05-11 19:18:13.379352,88370.0,3639827.19096355,330711515534.316
2022-05-11 19:18:25.647885,88220.0,3640069.23578,330732882871.1025
2022-05-11 19:18:38.508451,88240.0,3640187.98576705,330743359975.76843
2022-05-11 19:18:51.651815,88240.0,3640244.14372326,330748315305.56415
2022-05-11 19:19:03.844597,88200.0,3640483.75898265,330769455648.4479
2022-05-11 19:19:16.426051,88150.0,3640702.63305507,330788755498.1552
2022-05-11 19:19:27.601747,87930.0,3641609.75707605,330868614260.9906
2022-05-11 19:19:42.480903,87840.0,3641696.52848955,330876237748.9174
2022-05-11 19:19:54.930143,87830.0,3642019.29284902,330904583789.6516
2022-05-11 19:20:07.134368,87830.0,3642072.23349487,330909234320.16876
2022-05-11 19:20:20.037977,87830.0,3642309.2615826,330930052354.1625
2022-05-11 19:20:32.573613,87880.0,3642360.30098753,330934536881.8529
2022-05-11 19:20:44.699265,87980.0,3642550.66387165,330951268660.602
2022-05-11 19:20:56.610565,88190.0,3642656.37995085,330960582360.3898
2022-05-11 19:21:08.496917,87980.0,3642732.72968662,330967303269.75946
2022-05-11 19:21:20.535547,87850.0,3642906.40563815,330982565692.91003
2022-05-11 19:21:32.754370,88010.0,3643157.16106534,331004586845.5218
2022-05-11 19:21:44.733316,87850.0,3643659.30215386,331048701412.5463
2022-05-11 19:21:56.476702,87870.0,3643803.30213884,331061354159.31085
2022-05-11 19:22:08.779100,87910.0,3643907.31205663,331070496398.7983
2022-05-11 19:22:20.706565,87920.0,3644038.66160961,331082043491.91284
2022-05-11 19:22:33.406040,87890.0,3644162.09978137,331092893608.9413
2022-05-11 19:22:45.999901,87810.0,3644413.30916694,331114958432.05005
2022-05-11 19:22:58.771051,87820.0,3644507.40976398,331123221549.46674
2022-05-11 19:23:11.579776,87740.0,3644742.07774555,331143826618.3369
2022-05-11 19:23:24.810424,87510.0,3644985.18370794,331165119630.58484
2022-05-11 19:23:37.352862,87570.0,3645252.59059771,331188521320.56964
2022-05-11 19:23:49.931883,87940.0,3645437.96638973,331204804731.3391
2022-05-11 19:24:02.694119,87910.0,3645543.94388379,331214114688.2999
2022-05-11 19:24:16.263999,87950.0,3645601.55883919,331219184039.02026
2022-05-11 19:24:29.358928,87950.0,3645648.37526746,331223299114.7875
2022-05-11 19:24:41.655424,87920.0,3646815.197044,331325998730.12225
2022-05-11 19:24:54.946106,87850.0,3647010.34522938,331343157224.9974
2022-05-11 19:25:07.570633,87830.0,3647391.62809082,331376650557.6763
2022-05-11 19:25:21.042762,87530.0,3647708.2251074,331404399918.27
2022-05-11 19:25:33.859201,87790.0,3648234.67903722,331450446208.2916
2022-05-11 19:25:46.301120,87390.0,3648296.14888816,331455823921.54297
2022-05-11 19:25:58.561672,87350.0,3648338.00372928,331459480991.6852
2022-05-11 19:26:12.025379,87550.0,3648528.9431891,331476176643.6206
2022-05-11 19:26:24.041617,87590.0,3648675.21301373,331488979462.1265
2022-05-11 19:26:37.183958,87600.0,3649211.79907647,331535973739.4785
2022-05-11 19:26:50.078492,87600.0,3649245.82500485,331538954402.14874
2022-05-11 19:27:02.930959,87550.0,3649410.25690931,331553355405.04846
2022-05-11 19:27:15.200408,87470.0,3649508.96490576,331561991948.99585
2022-05-11 19:27:28.075484,87400.0,3649980.14960002,331603181629.1619
2022-05-11 19:27:40.510527,87600.0,3650353.59703413,331635832401.9935
2022-05-11 19:27:54.218318,87540.0,3650405.10685924,331640341147.0968
2022-05-11 19:28:07.224212,87550.0,3650940.63889318,331687222003.58405
2022-05-11 19:28:19.754810,87430.0,3650985.32025874,331691130496.6828
2022-05-11 19:28:32.197336,87470.0,3651047.44466367,331696563286.8548
2022-05-11 19:28:45.239753,87610.0,3651054.21571967,331697155847.2572
2022-05-11 19:28:57.157828,87600.0,3651182.27196174,331708368500.92346
2022-05-11 19:29:09.102184,87430.0,3651933.23260081,331774091215.54565
2022-05-11 19:29:22.354374,87410.0,3652251.65947648,331801926479.7312
2022-05-11 19:29:36.352331,87500.0,3652900.54789055,331858650555.9527
2022-05-11 19:29:48.890035,87400.0,3652954.79116818,331863392197.06696
2022-05-11 19:30:00.651024,87480.0,3653116.13970961,331877498557.59125
2022-05-11 19:30:13.261288,87500.0,3653153.16582257,331880737785.64197
2022-05-11 19:30:25.694675,87500.0,3653205.80432797,331885343340.07104
2022-05-11 19:30:37.847733,87600.0,3653254.60958804,331889617372.91315
2022-05-11 19:30:51.032873,87520.0,3653273.35997338,331891258169.7328
2022-05-11 19:31:03.943834,87520.0,3653387.48605038,331901245355.1086
2022-05-11 19:31:15.869022,87640.0,3653418.4820346,331903960875.06165
2022-05-11 19:31:28.107197,87660.0,3653442.62871996,331906077026.7684
2022-05-11 19:31:40.323820,87950.0,3654107.26908994,331964383853.4397
2022-05-11 19:31:53.374335,87940.0,3654406.4232927,331990684156.82477
2022-05-11 19:32:05.651183,87810.0,3654836.09663875,332028427397.04517
2022-05-11 19:32:18.617942,87840.0,3654924.46021344,332036187448.11993
2022-05-11 19:32:30.766725,87820.0,3654996.69306674,332042531407.6404
2022-05-11 19:32:43.125401,87820.0,3655036.78294644,332046052242.71136
2022-05-11 19:32:55.135816,87820.0,3655103.07265991,332051874821.0866
