,price,volume,value
2022-05-11 19:07:16.358166,1825.0,19637550.25988006,38740503420.65146
2022-05-11 19:07:28.749863,1825.0,19637550.25988006,38740503420.65146
2022-05-11 19:07:42.030634,1820.0,19638769.07454216,38742721663.33648
2022-05-11 19:07:54.962245,1820.0,19639132.30795212,38743382748.14261
2022-05-11 19:08:12.628336,1815.0,19641244.36784396,38747216136.8463
2022-05-11 19:08:28.399608,1815.0,19641244.36784396,38747216136.8463
2022-05-11 19:08:42.556326,1815.0,19641244.36784396,38747216136.8463
2022-05-11 19:08:54.983634,1820.0,19642633.41837364,38749744208.81032
2022-05-11 19:09:06.676744,1820.0,19642633.41837364,38749744208.81032
2022-05-11 19:09:20.299180,1815.0,19643021.82907292,38750449174.22951
2022-05-11 19:09:34.597896,1820.0,19643569.14589903,38751445290.85303
2022-05-11 19:09:46.111076,1815.0,19647280.09556638,38758198930.29592
2022-05-11 19:09:58.168663,1815.0,19647280.09556638,38758198930.29592
2022-05-11 19:10:11.336838,1820.0,19652774.60106089,38768198930.29593
2022-05-11 19:10:23.206371,1830.0,19652899.07350097,38768426132.49907
2022-05-11 19:10:34.108383,1830.0,19652919.07350097,38768462732.49907
2022-05-11 19:10:45.971732,1830.0,19652929.07350097,38768481032.49907
2022-05-11 19:10:59.016073,1830.0,19652983.71830971,38768581032.49907
2022-05-11 19:11:11.169299,1830.0,19655983.71830971,38774071032.49907
2022-05-11 19:11:23.380206,1830.0,19680204.89417825,38818395784.33849
2022-05-11 19:11:36.706964,1835.0,19680232.7110742,38818446828.34256
2022-05-11 19:11:49.046031,1835.0,19680232.7110742,38818446828.34256
2022-05-11 19:12:01.863502,1850.0,19700548.30357082,38855918331.617935
2022-05-11 19:12:16.214343,1850.0,19726930.33373812,38904602301.5481
2022-05-11 19:12:30.716151,1850.0,19727817.2483106,38906243093.50719
2022-05-11 19:12:43.794727,1845.0,19731661.15681025,38913337082.703995
2022-05-11 19:12:56.285080,1845.0,19737788.35341454,38924641760.43891
2022-05-11 19:13:08.047233,1850.0,19740256.55702317,38929208776.84263
2022-05-11 19:13:21.733898,1860.0,19740984.10385186,38930558359.92366
2022-05-11 19:13:33.756531,1850.0,19740987.32965831,38930564327.665596
2022-05-11 19:13:46.492151,1850.0,19743110.1768698,38934491595.00685
2022-05-11 19:13:58.793096,1845.0,19747486.57774444,38942577151.79504
2022-05-11 19:14:11.312406,1845.0,19755141.83929718,38956701609.35984
2022-05-11 19:14:24.537919,1835.0,19762695.34446387,38970635381.27418
2022-05-11 19:14:37.105371,1835.0,19762795.34446387,38970818881.27418
2022-05-11 19:14:50.156154,1840.0,19764891.62363592,38974676034.950745
2022-05-11 19:15:03.108068,1840.0,19764891.62363592,38974676034.950745
2022-05-11 19:15:15.857425,1850.0,19769094.80955099,38982448209.88165
2022-05-11 19:15:28.805541,1850.0,19779243.62104779,39001261319.44335
2022-05-11 19:15:41.984893,1845.0,19809437.95085808,39056969857.94334
2022-05-11 19:15:53.653472,1845.0,19809440.95085808,39056975392.94334
2022-05-11 19:16:05.905410,1840.0,19810256.83099931,39058476612.4032
2022-05-11 19:16:17.874364,1840.0,19816899.4342449,39070699002.375084
2022-05-11 19:16:30.585830,1840.0,19820883.65013583,39078029959.614395
2022-05-11 19:16:42.482573,1840.0,19823053.75013583,39082022943.614395
2022-05-11 19:16:55.180624,1845.0,19827044.29464582,39089372860.35942
2022-05-11 19:17:07.568645,1835.0,19861355.35420493,39152504409.94818
2022-05-11 19:17:20.157948,1835.0,19871014.79423471,39170324943.65865
2022-05-11 19:17:33.035757,1835.0,19871014.79423471,39170324943.65865
2022-05-11 19:17:46.536989,1835.0,19871014.79423471,39170324943.65865
2022-05-11 19:17:58.242157,1840.0,19871245.06523932,39170748642.30714
2022-05-11 19:18:11.146781,1840.0,19871267.37584172,39170789693.81555
2022-05-11 19:18:23.548942,1840.0,19880162.47122215,39187156669.315544
2022-05-11 19:18:36.290634,1840.0,19881015.18942825,39188725670.814766
2022-05-11 19:18:49.266435,1835.0,19881469.95632819,39189560168.07616
2022-05-11 19:19:01.659433,1835.0,19881649.22419061,39189889124.6037
2022-05-11 19:19:14.296149,1835.0,19881654.77974616,39189899319.04813
2022-05-11 19:19:25.502581,1835.0,19890589.36135317,39206294276.29699
2022-05-11 19:19:40.370918,1835.0,19895122.80570969,39214613174.394745
2022-05-11 19:19:52.636787,1830.0,19896152.44072329,39216498804.6447
2022-05-11 19:20:05.235185,1830.0,19896152.44072329,39216498804.6447
2022-05-11 19:20:17.452376,1835.0,19896168.78949713,39216528804.6447
2022-05-11 19:20:30.380924,1835.0,19898782.42327969,39221324822.6357
2022-05-11 19:20:42.542126,1830.0,19898792.42327969,39221343122.6357
2022-05-11 19:20:54.617257,1835.0,19901661.57483326,39226608015.736496
2022-05-11 19:21:06.107695,1835.0,19901661.57483326,39226608015.736496
2022-05-11 19:21:18.385921,1835.0,19901661.57483326,39226608015.736496
2022-05-11 19:21:30.394063,1835.0,19901676.42881931,39226635272.800896
2022-05-11 19:21:42.710479,1835.0,19901676.42881931,39226635272.800896
2022-05-11 19:21:54.530498,1835.0,19901900.91076334,39227047177.75602
2022-05-11 19:22:06.847732,1840.0,19912292.95221044,39246119697.67014
2022-05-11 19:22:18.594299,1835.0,19928731.00342346,39276283521.646034
2022-05-11 19:22:31.281718,1835.0,19928731.00342346,39276283521.646034
2022-05-11 19:22:43.599392,1835.0,19928731.00342346,39276283521.646034
2022-05-11 19:22:56.271141,1835.0,19928731.00342346,39276283521.646034
2022-05-11 19:23:09.012378,1840.0,19931731.00342346,39281803521.646034
2022-05-11 19:23:22.243016,1830.0,19937658.52903062,39292652475.55537
2022-05-11 19:23:35.216437,1830.0,19937668.52903062,39292670775.55537
2022-05-11 19:23:47.791587,1830.0,19937668.52903062,39292670775.55537
2022-05-11 19:24:00.264075,1830.0,19937668.52903062,39292670775.55537
2022-05-11 19:24:13.881615,1830.0,19937668.52903062,39292670775.55537
2022-05-11 19:24:27.403360,1830.0,19937668.52903062,39292670775.55537
2022-05-11 19:24:39.089544,1840.0,19937679.39859583,39292690775.55536
2022-05-11 19:24:52.848542,1840.0,19937679.39859583,39292690775.55536
2022-05-11 19:25:05.205501,1840.0,19937679.39859583,39292690775.55536
2022-05-11 19:25:18.676425,1830.0,19938054.26198379,39293376775.55532
2022-05-11 19:25:31.671707,1825.0,19938604.48365613,39294380930.107346
2022-05-11 19:25:43.793889,1825.0,19938604.48365613,39294380930.107346
2022-05-11 19:25:56.238002,1825.0,19938604.48365613,39294380930.107346
2022-05-11 19:26:09.737135,1825.0,19938604.48365613,39294380930.107346
2022-05-11 19:26:21.612315,1825.0,19938632.48365613,39294432030.107346
2022-05-11 19:26:34.968887,1825.0,19960975.13207076,39335207363.46404
2022-05-11 19:26:47.876789,1825.0,19963294.5386407,39339440280.454185
2022-05-11 19:27:00.652625,1825.0,19965613.94521065,39343675929.68478
2022-05-11 19:27:12.821761,1825.0,19965613.94521065,39343675929.68478
2022-05-11 19:27:25.896243,1825.0,19965613.94521065,39343675929.68478
2022-05-11 19:27:38.242538,1825.0,19965613.94521065,39343675929.68478
2022-05-11 19:27:52.058495,1830.0,19965634.84817097,39343714182.102165
2022-05-11 19:28:05.017411,1830.0,19965634.84817097,39343714182.102165
2022-05-11 19:28:17.494879,1830.0,19966106.56155329,39344577417.59181
2022-05-11 19:28:30.115225,1830.0,19969037.93350782,39349941828.2686
2022-05-11 19:28:43.466420,1830.0,19969087.93350782,39350033328.2686
2022-05-11 19:28:54.641531,1830.0,19969087.93350782,39350033328.2686
2022-05-11 19:29:06.916969,1830.0,19969102.93350782,39350060778.2686
2022-05-11 19:29:20.017555,1825.0,19969515.5586843,39350815732.34156
2022-05-11 19:29:33.195277,1825.0,19969515.5586843,39350815732.34156
2022-05-11 19:29:46.625200,1830.0,19971504.74802856,39354455948.84155
2022-05-11 19:29:58.434817,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:30:11.198750,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:30:23.403893,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:30:35.765132,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:30:48.830389,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:31:01.544645,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:31:13.884750,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:31:25.262884,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:31:38.441918,1830.0,19972870.34201738,39356954985.841095
2022-05-11 19:31:51.006214,1835.0,19972936.34201738,39357076095.841095
2022-05-11 19:32:03.526580,1830.0,19972941.34451863,39357085250.41838
2022-05-11 19:32:16.282456,1830.0,19972958.34451863,39357116360.41838
2022-05-11 19:32:28.677995,1830.0,19972958.34451863,39357116360.41838
2022-05-11 19:32:40.802791,1835.0,19973339.81590827,39357816360.41837
2022-05-11 19:32:53.162449,1835.0,19973394.31182107,39357916360.41836
2022-05-11 19:33:06.312324,1830.0,19975098.54716587,39361035111.09934
2022-05-11 19:33:19.054746,1830.0,19975327.73309029,39361454521.341034
2022-05-11 19:33:32.383001,1835.0,19975914.89221835,39362531853.683586
2022-05-11 19:33:45.223146,1830.0,19976287.28614513,39363213334.56959
2022-05-11 19:33:57.606847,1835.0,19976616.11867918,39363816742.26957
2022-05-11 19:34:10.194404,1830.0,19981083.14493302,39371991400.3141
2022-05-11 19:34:24.261238,1830.0,19981083.14493302,39371991400.3141
2022-05-11 19:34:37.229358,1830.0,19981083.14493302,39371991400.3141
2022-05-11 19:34:49.502051,1830.0,19981083.14493302,39371991400.3141
2022-05-11 19:35:01.690132,1830.0,19981134.05172006,39372084559.73438
2022-05-11 19:35:14.758708,1830.0,19981297.98614629,39372384559.73438
2022-05-11 19:35:27.499353,1830.0,19981297.98614629,39372384559.73438
2022-05-11 19:35:41.797538,1830.0,19982852.01621747,39375228434.76464
2022-05-11 19:35:54.918228,1830.0,19982852.01621747,39375228434.76464
2022-05-11 19:36:08.241510,1830.0,19983351.07442467,39376141711.28382
2022-05-11 19:36:21.101456,1830.0,19983404.54494687,39376239562.33945
2022-05-11 19:36:34.253482,1830.0,19983404.54494687,39376239562.33945
2022-05-11 19:36:47.439271,1830.0,19984517.60977475,39378276470.974464
2022-05-11 19:37:00.458846,1830.0,19984542.57352432,39378322154.63618
2022-05-11 19:37:14.081470,1830.0,19984542.57352432,39378322154.63618
2022-05-11 19:37:26.748387,1830.0,19984595.86995466,39378419687.1037
2022-05-11 19:37:40.989444,1825.0,19986153.9982487,39381266630.61952
2022-05-11 19:37:53.552289,1825.0,19987945.44201561,39384536015.49413
2022-05-11 19:38:08.258084,1825.0,19987945.44201561,39384536015.49413
2022-05-11 19:38:20.552986,1825.0,19987960.44201561,39384563390.49413
2022-05-11 19:38:33.275431,1820.0,19989753.19523028,39387826201.34483
2022-05-11 19:38:46.731334,1820.0,19995019.07004545,39397410093.508446
2022-05-11 19:39:00.551947,1825.0,19995914.92329966,39399045025.69738
2022-05-11 19:39:13.516864,1830.0,19997771.43208749,39402441346.86085
2022-05-11 19:39:25.401563,1830.0,19997771.43208749,39402441346.86085
2022-05-11 19:39:39.000550,1825.0,19997946.77400529,39402761345.86083
2022-05-11 19:39:52.600751,1825.0,20044766.14703483,39488239759.13975
2022-05-11 19:40:05.277914,1825.0,20054795.7443433,39506543774.2277
2022-05-11 19:40:17.132284,1820.0,20054850.79102863,39506643984.195
2022-05-11 19:40:28.675568,1825.0,20055083.69102863,39507069026.695
2022-05-11 19:40:43.058760,1820.0,20056614.95658733,39509856868.84105
2022-05-11 19:40:54.409801,1820.0,20063103.74743983,39521666468.192604
2022-05-11 19:41:06.510919,1820.0,20063103.74743983,39521666468.192604
2022-05-11 19:41:19.289515,1820.0,20063103.74743983,39521666468.192604
2022-05-11 19:41:33.084382,1815.0,20076976.70090141,39546845878.72537
2022-05-11 19:41:47.591110,1820.0,20105922.95659298,39599383505.94496
2022-05-11 19:42:00.265682,1825.0,20106667.95659298,39600739427.97037
2022-05-11 19:42:13.822290,1825.0,20106722.60140172,39600839154.74632
2022-05-11 19:42:26.028840,1825.0,20106722.60140172,39600839154.74632
2022-05-11 19:42:38.036109,1825.0,20106722.60140172,39600839154.74632
2022-05-11 19:42:50.443722,1830.0,20108115.89512874,39603389154.74633
2022-05-11 19:43:03.047760,1830.0,20109208.79130361,39605389154.746346
2022-05-11 19:43:15.415158,1835.0,20109233.09454844,39605433751.20061
2022-05-11 19:43:27.099074,1835.0,20109273.09454844,39605507151.20061
2022-05-11 19:43:39.978774,1830.0,20109778.11189447,39606431332.94384
2022-05-11 19:43:53.043631,1825.0,20112675.1390349,39611728328.42221
2022-05-11 19:44:06.876328,1820.0,20112787.96143927,39611934092.698166
2022-05-11 19:44:18.815021,1825.0,20115120.10758418,39616190259.41262
2022-05-11 19:44:31.022990,1825.0,20115120.10758418,39616190259.41262
2022-05-11 19:44:43.226579,1825.0,20115564.55202862,39617001370.52373
2022-05-11 19:44:55.909195,1825.0,20115568.38764506,39617008370.52373
2022-05-11 19:45:08.949684,1825.0,20115568.38764506,39617008370.52373
2022-05-11 19:45:21.859267,1825.0,20115568.38764506,39617008370.52373
2022-05-11 19:45:34.563844,1830.0,20116212.55164506,39618187190.64373
2022-05-11 19:45:48.518626,1830.0,20116212.55164506,39618187190.64373
2022-05-11 19:46:02.516378,1820.0,20120606.30992272,39626196928.878044
2022-05-11 19:46:15.787096,1820.0,20120785.86780511,39626523724.22399
