,price,volume,value
2022-05-11 19:07:16.839904,40.7,252690484.77164492,10963710559.868309
2022-05-11 19:07:29.230838,40.6,252740827.97135675,10965756476.83035
2022-05-11 19:07:42.575579,40.6,252740827.97135675,10965756476.83035
2022-05-11 19:07:55.611389,40.6,252740827.97135675,10965756476.83035
2022-05-11 19:08:13.277236,40.6,252740827.97135675,10965756476.83035
2022-05-11 19:08:28.942705,40.6,252740827.97135675,10965756476.83035
2022-05-11 19:08:43.145255,40.6,252766534.9122308,10966800178.629837
2022-05-11 19:08:55.664624,40.6,252766534.9122308,10966800178.629837
2022-05-11 19:09:07.267200,40.6,252767892.16762704,10966855283.198925
2022-05-11 19:09:20.890582,40.6,252767892.16762704,10966855283.198925
2022-05-11 19:09:35.114412,40.6,252778376.44361708,10967280944.80412
2022-05-11 19:09:46.580059,40.7,252798376.44361708,10968094944.80412
2022-05-11 19:09:58.772142,40.7,252798376.44361708,10968094944.80412
2022-05-11 19:10:11.940334,40.7,252798376.44361708,10968094944.80412
2022-05-11 19:10:23.672293,40.7,252798516.44361708,10968100642.80412
2022-05-11 19:10:34.588827,40.7,252826685.9801253,10969247142.940004
2022-05-11 19:10:46.489152,40.7,252826685.9801253,10969247142.940004
2022-05-11 19:10:59.608816,40.7,252826685.9801253,10969247142.940004
2022-05-11 19:11:11.775904,40.7,252828247.9801253,10969310716.340006
2022-05-11 19:11:23.936143,40.8,252833959.59777236,10969543750.340004
2022-05-11 19:11:37.343491,40.8,252888841.47478843,10971782685.222015
2022-05-11 19:11:49.649203,40.8,252891410.8488694,10971887515.684519
2022-05-11 19:12:02.652040,40.9,252909570.6551648,10972630251.762001
2022-05-11 19:12:16.820260,40.9,252909570.6551648,10972630251.762001
2022-05-11 19:12:31.380559,41.0,252954300.5097497,10974464175.799982
2022-05-11 19:12:44.476586,41.0,253053668.2897772,10978538254.781109
2022-05-11 19:12:56.831007,41.0,253104854.61477718,10980636894.106108
2022-05-11 19:13:08.512943,41.0,253130844.6437772,10981702485.295109
2022-05-11 19:13:22.394936,41.0,253168431.86293286,10983243561.28049
2022-05-11 19:13:34.466275,41.0,253168431.86293286,10983243561.28049
2022-05-11 19:13:46.974730,40.9,253183066.0092743,10983842585.670734
2022-05-11 19:13:59.492283,40.9,253189257.94765946,10984095835.950687
2022-05-11 19:14:12.019721,41.0,253195376.08069968,10984346679.405336
2022-05-11 19:14:25.096821,41.0,253218809.98424482,10985307469.450687
2022-05-11 19:14:37.650877,41.0,253218809.98424482,10985307469.450687
2022-05-11 19:14:50.727500,40.9,253250998.52321005,10986623980.694365
2022-05-11 19:15:03.848338,40.9,253251128.52321005,10986629297.694365
2022-05-11 19:15:16.341026,40.9,253328816.74979073,10989806746.161514
2022-05-11 19:15:29.573978,40.9,253345931.66421616,10990506746.161514
2022-05-11 19:15:42.558956,41.0,253347990.37806252,10990591107.669214
2022-05-11 19:15:54.356117,40.9,253355208.6190625,10990886333.726114
2022-05-11 19:16:06.491282,40.9,253357352.75002313,10990974028.682404
2022-05-11 19:16:18.449956,40.9,253357352.75002313,10990974028.682404
2022-05-11 19:16:31.095725,40.9,253357352.75002313,10990974028.682404
2022-05-11 19:16:43.165685,40.9,253357737.24880064,10990989754.682404
2022-05-11 19:16:55.799475,40.9,253357937.24880064,10990997934.682404
2022-05-11 19:17:08.188393,40.9,253365272.2121258,10991297934.682404
2022-05-11 19:17:20.685179,40.9,253372609.62043875,10991597934.682404
2022-05-11 19:17:33.715706,40.9,253372609.62043875,10991597934.682404
2022-05-11 19:17:47.172837,40.9,253373098.37361717,10991617924.6874
2022-05-11 19:17:58.875399,40.9,253373098.37361717,10991617924.6874
2022-05-11 19:18:11.641081,40.9,253373098.37361717,10991617924.6874
2022-05-11 19:18:24.245771,40.9,253375543.36139223,10991717924.6874
2022-05-11 19:18:36.785400,40.9,253375543.36139223,10991717924.6874
2022-05-11 19:18:49.839225,40.9,253375543.36139223,10991717924.6874
2022-05-11 19:19:02.295726,40.9,253375543.36139223,10991717924.6874
2022-05-11 19:19:14.975892,40.9,253377988.3491673,10991817924.6874
2022-05-11 19:19:26.026982,40.9,253384988.9075678,10992104247.525982
2022-05-11 19:19:41.091369,40.9,253384988.9075678,10992104247.525982
2022-05-11 19:19:53.224801,40.9,253384988.9075678,10992104247.525982
2022-05-11 19:20:05.733686,40.9,253384988.9075678,10992104247.525982
2022-05-11 19:20:18.432904,40.9,253384988.9075678,10992104247.525982
2022-05-11 19:20:30.878391,40.8,253451407.26172405,10994816116.375557
2022-05-11 19:20:43.085455,40.8,253453852.2494991,10994915871.87678
2022-05-11 19:20:55.146075,40.8,253453852.2494991,10994915871.87678
2022-05-11 19:21:06.757569,40.7,253496307.79003963,10996643812.376778
2022-05-11 19:21:18.886317,40.7,253496307.79003963,10996643812.376778
2022-05-11 19:21:31.209891,40.6,253496552.35766464,10996653741.822353
2022-05-11 19:21:43.283139,40.6,253513441.22093642,10997339429.671186
2022-05-11 19:21:55.012619,40.6,253513441.22093642,10997339429.671186
2022-05-11 19:22:07.344675,40.7,253569085.1104364,10999599438.276337
2022-05-11 19:22:19.136845,40.7,253632360.33015147,11002174739.71874
2022-05-11 19:22:31.868956,40.6,253661948.95998725,11003376038.090073
2022-05-11 19:22:44.171555,40.6,253661948.95998725,11003376038.090073
2022-05-11 19:22:56.830404,40.6,253677659.14101347,11004013871.439737
2022-05-11 19:23:09.511153,40.6,253677659.14101347,11004013871.439737
2022-05-11 19:23:22.880555,40.6,253677659.14101347,11004013871.439737
2022-05-11 19:23:35.848977,40.6,253709705.36229187,11005314948.02364
2022-05-11 19:23:48.332318,40.6,253709705.36229187,11005314948.02364
2022-05-11 19:24:01.031038,40.6,253719452.80149743,11005710694.055386
2022-05-11 19:24:14.392725,40.6,253719452.80149743,11005710694.055386
2022-05-11 19:24:27.915340,40.6,253719452.80149743,11005710694.055386
2022-05-11 19:24:39.629711,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:24:53.421577,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:25:05.852677,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:25:19.220949,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:25:32.186036,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:25:44.669171,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:25:56.930020,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:26:10.345162,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:26:22.080692,40.8,253798925.6015937,11008947010.770592
2022-05-11 19:26:35.557110,40.8,253811567.62655896,11009463783.384285
2022-05-11 19:26:48.419670,40.8,253811567.62655896,11009463783.384285
2022-05-11 19:27:01.166237,40.8,253863354.73096368,11011576697.243998
2022-05-11 19:27:13.393067,40.7,253992223.61992404,11016827675.45052
2022-05-11 19:27:26.378454,40.7,253992373.61992404,11016833780.45052
2022-05-11 19:27:38.847136,40.7,253992373.61992404,11016833780.45052
2022-05-11 19:27:52.604095,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:28:05.700370,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:28:17.990391,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:28:30.672319,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:28:43.946999,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:28:55.378582,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:29:07.672751,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:29:20.561352,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:29:33.889442,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:29:47.273066,40.7,253994873.61992404,11016935530.45052
2022-05-11 19:29:59.159059,40.8,253995610.72066113,11016965604.160593
2022-05-11 19:30:11.711290,40.8,254006820.24271995,11017422952.660593
2022-05-11 19:30:23.991950,40.8,254006820.24271995,11017422952.660593
2022-05-11 19:30:36.356114,40.8,254006820.24271995,11017422952.660593
2022-05-11 19:30:49.432085,40.8,254006820.24271995,11017422952.660593
2022-05-11 19:31:02.177199,40.8,254006820.24271995,11017422952.660593
2022-05-11 19:31:14.335941,40.8,254007474.8663885,11017449661.306269
2022-05-11 19:31:26.059541,40.8,254007474.8663885,11017449661.306269
2022-05-11 19:31:38.953855,40.8,254007474.8663885,11017449661.306269
2022-05-11 19:31:51.533707,40.8,254007474.8663885,11017449661.306269
2022-05-11 19:32:03.993768,40.8,254007474.8663885,11017449661.306269
2022-05-11 19:32:16.762195,40.8,254019729.7683493,11017949661.306269
2022-05-11 19:32:29.294567,40.8,254019729.7683493,11017949661.306269
2022-05-11 19:32:41.285896,40.8,254019729.7683493,11017949661.306269
2022-05-11 19:32:53.676586,40.7,254081171.2409976,11020450329.243055
2022-05-11 19:33:06.955968,40.7,254081171.2409976,11020450329.243055
2022-05-11 19:33:19.853536,40.7,254081171.2409976,11020450329.243055
