,price,volume,value
2022-05-11 19:07:09.150436,842.0,30759798.2531512,27645510752.731064
2022-05-11 19:07:21.805421,841.0,30771063.08089734,27654988082.866062
2022-05-11 19:07:34.084006,841.0,30771063.08089734,27654988082.866062
2022-05-11 19:07:47.505088,842.0,30771073.08089734,27654996502.866062
2022-05-11 19:08:04.119488,840.0,30771760.08841105,27655574858.528915
2022-05-11 19:08:18.822869,840.0,30771940.08841105,27655726058.528915
2022-05-11 19:08:34.073397,840.0,30772184.18364914,27655931098.52891
2022-05-11 19:08:48.039526,840.0,30772196.18364914,27655941178.52891
2022-05-11 19:08:59.647309,842.0,30774829.87861105,27658152988.296917
2022-05-11 19:09:12.311892,840.0,30774841.75509561,27658162964.543945
2022-05-11 19:09:27.354800,840.0,30774841.75509561,27658162964.543945
2022-05-11 19:09:39.317448,840.0,30774841.75509561,27658162964.543945
2022-05-11 19:09:50.874104,840.0,30774841.75509561,27658162964.543945
2022-05-11 19:10:03.952804,840.0,30774841.75509561,27658162964.543945
2022-05-11 19:10:16.266905,842.0,30774849.75509561,27658169700.543945
2022-05-11 19:10:27.612086,842.0,30774968.51994122,27658269700.54395
2022-05-11 19:10:38.904878,842.0,30775005.4461818,27658300792.43852
2022-05-11 19:10:51.186700,843.0,30775011.4461818,27658305850.43852
2022-05-11 19:11:03.653560,843.0,30775011.4461818,27658305850.43852
2022-05-11 19:11:16.186445,843.0,30775011.4461818,27658305850.43852
2022-05-11 19:11:28.650819,845.0,30781827.3461191,27664060749.952248
2022-05-11 19:11:41.993318,848.0,30786196.4184191,27667769365.697266
2022-05-11 19:11:54.176607,849.0,30786693.27411914,27668191194.1866
2022-05-11 19:12:07.597508,856.0,30792025.95585009,27672753004.17319
2022-05-11 19:12:21.730307,861.0,30801009.09995335,27680475591.194454
2022-05-11 19:12:36.120522,858.0,30801218.76454421,27680655529.79392
2022-05-11 19:12:48.907427,857.0,30801767.76031974,27681126019.173546
2022-05-11 19:13:01.105026,859.0,30805945.09025588,27684713170.658157
2022-05-11 19:13:13.556796,861.0,30806176.24544588,27684912195.276745
2022-05-11 19:13:26.835607,863.0,30806182.24544588,27684917371.276745
2022-05-11 19:13:39.319114,863.0,30806586.03718682,27685265823.78447
2022-05-11 19:13:51.302976,860.0,30807981.38602402,27686465823.784462
2022-05-11 19:14:04.289803,859.0,30812904.07648516,27690693644.12678
2022-05-11 19:14:16.940497,857.0,30815743.19881286,27693126771.96162
2022-05-11 19:14:29.370875,854.0,30818291.04156763,27695305126.617455
2022-05-11 19:14:42.331383,854.0,30818397.25416763,27695395832.177856
2022-05-11 19:14:55.795866,856.0,30822186.09231066,27698631813.62829
2022-05-11 19:15:08.375007,859.0,30830653.4876353,27705898178.079346
2022-05-11 19:15:21.490758,861.0,30831001.4876353,27706197806.079346
2022-05-11 19:15:34.536227,861.0,30831001.4876353,27706197806.079346
2022-05-11 19:15:47.095306,861.0,30831001.4876353,27706197806.079346
2022-05-11 19:15:58.379913,861.0,30831001.4876353,27706197806.079346
2022-05-11 19:16:10.874689,858.0,30831118.03775185,27706297806.079346
2022-05-11 19:16:22.897951,858.0,30831118.03775185,27706297806.079346
2022-05-11 19:16:35.716967,857.0,30831775.90578752,27706861598.985916
2022-05-11 19:16:47.622324,857.0,30831775.90578752,27706861598.985916
2022-05-11 19:17:00.266152,852.0,30840346.85910827,27714205105.808846
2022-05-11 19:17:12.403886,852.0,30840694.76510827,27714501521.720844
2022-05-11 19:17:25.161102,854.0,30840789.63240827,27714582289.793144
2022-05-11 19:17:38.490239,854.0,30840805.4872092,27714595829.79314
2022-05-11 19:17:51.344047,854.0,30840809.4872092,27714599245.79314
2022-05-11 19:18:03.993416,857.0,30841127.53840827,27714870867.517147
2022-05-11 19:18:16.205340,857.0,30841127.53840827,27714870867.517147
2022-05-11 19:18:28.647737,857.0,30841127.53840827,27714870867.517147
2022-05-11 19:18:41.465338,858.0,30841506.67283741,27715193902.050774
2022-05-11 19:18:54.525607,858.0,30841506.67283741,27715193902.050774
2022-05-11 19:19:07.435833,851.0,30845238.77453601,27718369916.245464
2022-05-11 19:19:18.985180,852.0,30845364.97510601,27718477443.131104
2022-05-11 19:19:32.036715,847.0,30845795.96333441,27718843048.0369
2022-05-11 19:19:45.150169,847.0,30845825.96333441,27718868494.0369
2022-05-11 19:19:57.765155,847.0,30848557.56790574,27721179797.695507
2022-05-11 19:20:10.171606,847.0,30848565.56790574,27721186569.695507
2022-05-11 19:20:23.259190,847.0,30848567.56790574,27721188263.695507
2022-05-11 19:20:35.317379,848.0,30848575.56790574,27721195041.695507
2022-05-11 19:20:47.655650,849.0,30848577.56790574,27721196739.695507
2022-05-11 19:20:59.473694,850.0,30848579.56790574,27721198439.695507
2022-05-11 19:21:11.213282,847.0,30848614.98703205,27721228439.69549
2022-05-11 19:21:23.328664,846.0,30850976.26213206,27723226078.4301
2022-05-11 19:21:35.669078,846.0,30851633.26213206,27723781900.4301
2022-05-11 19:21:47.990486,848.0,30851643.26213206,27723790378.694027
2022-05-11 19:21:59.463750,848.0,30851645.26213206,27723792074.694027
2022-05-11 19:22:11.794495,849.0,30851647.26213206,27723793772.694027
2022-05-11 19:22:23.657652,849.0,30851647.26213206,27723793772.694027
2022-05-11 19:22:36.541214,849.0,30852000.61902251,27724093772.69402
2022-05-11 19:22:48.910369,847.0,30854363.89412251,27726093105.42862
2022-05-11 19:23:01.393606,848.0,30854365.89412251,27726094801.42862
2022-05-11 19:23:14.660292,845.0,30854746.12202698,27726416102.007896
2022-05-11 19:23:27.972132,843.0,30862006.13647613,27732545542.041275
2022-05-11 19:23:40.632290,843.0,30862006.13647613,27732545542.041275
2022-05-11 19:23:52.857820,847.0,30870708.78718864,27739882417.747284
2022-05-11 19:24:05.982357,848.0,30870710.78718864,27739884113.747284
2022-05-11 19:24:19.308628,848.0,30870710.78718864,27739884113.747284
2022-05-11 19:24:32.208972,848.0,30870722.57964147,27739894113.747284
2022-05-11 19:24:45.300427,848.0,30870722.57964147,27739894113.747284
2022-05-11 19:24:57.890373,845.0,30870886.676094,27740032451.056767
2022-05-11 19:25:10.633114,842.0,30877155.53457428,27745310831.897163
2022-05-11 19:25:23.603055,839.0,30877231.0154382,27745374213.04112
2022-05-11 19:25:36.888857,839.0,30877237.0154382,27745379247.04112
2022-05-11 19:25:48.834754,839.0,30877237.0154382,27745379247.04112
2022-05-11 19:26:00.990317,838.0,30877616.65550414,27745697385.416378
2022-05-11 19:26:15.073310,839.0,30882023.69993498,27749393149.47732
2022-05-11 19:26:27.133781,840.0,30883582.69993498,27750702709.47732
2022-05-11 19:26:40.301880,840.0,30884756.18854041,27751688439.90588
2022-05-11 19:26:53.514251,840.0,30884756.18854041,27751688439.90588
2022-05-11 19:27:05.932620,840.0,30884756.18854041,27751688439.90588
2022-05-11 19:27:18.279788,839.0,30891212.226687,27757108797.81563
2022-05-11 19:27:31.181359,842.0,30891585.88900605,27757423421.488274
2022-05-11 19:27:43.435854,840.0,30892129.88900605,27757880381.488274
2022-05-11 19:27:57.400198,840.0,30892129.88900605,27757880381.488274
2022-05-11 19:28:10.136504,842.0,30895356.88900605,27760597515.488274
2022-05-11 19:28:22.574270,842.0,30895356.88900605,27760597515.488274
2022-05-11 19:28:35.499630,842.0,30895356.88900605,27760597515.488274
2022-05-11 19:28:48.003322,842.0,30895356.88900605,27760597515.488274
2022-05-11 19:28:59.921935,842.0,30895356.88900605,27760597515.488274
2022-05-11 19:29:12.208684,841.0,30895735.14791341,27760915702.48827
2022-05-11 19:29:25.265093,841.0,30902968.63631458,27766998729.039654
2022-05-11 19:29:39.397462,841.0,30903707.63631458,27767620228.039654
2022-05-11 19:29:51.432380,841.0,30903933.83031458,27767810457.193653
2022-05-11 19:30:03.483747,841.0,30907271.02431458,27770613922.448853
2022-05-11 19:30:16.233643,840.0,30907628.79879515,27770914453.01253
2022-05-11 19:30:28.746250,840.0,30907628.79879515,27770914453.01253
2022-05-11 19:30:41.263451,840.0,30908586.47060467,27771718897.33253
2022-05-11 19:30:54.162482,840.0,30908586.47060467,27771718897.33253
2022-05-11 19:31:07.016655,840.0,30908586.47060467,27771718897.33253
2022-05-11 19:31:18.339770,838.0,30917186.47060467,27778925697.33253
2022-05-11 19:31:30.880352,838.0,30917186.47060467,27778925697.33253
2022-05-11 19:31:43.556892,839.0,30917225.34908811,27778958316.380135
2022-05-11 19:31:56.510558,841.0,30919769.18502569,27781092989.737206
2022-05-11 19:32:09.062975,840.0,30919914.15364526,27781214763.377647
2022-05-11 19:32:21.200607,839.0,30920111.65636628,27781380468.16058
2022-05-11 19:32:33.342054,839.0,30920111.65636628,27781380468.16058
2022-05-11 19:32:46.063673,839.0,30920118.88260628,27781386530.97594
2022-05-11 19:32:58.147164,839.0,30920118.88260628,27781386530.97594
2022-05-11 19:33:11.800782,838.0,30920860.30278225,27782007841.083405
2022-05-11 19:33:24.514275,838.0,30924901.8042019,27785395619.27307
2022-05-11 19:33:37.953795,839.0,30928455.8042019,27788377425.27307
2022-05-11 19:33:50.476771,839.0,30928455.8042019,27788377425.27307
2022-05-11 19:34:02.669177,839.0,30928455.8042019,27788377425.27307
2022-05-11 19:34:15.733952,838.0,30944847.2090264,27802127618.08687
2022-05-11 19:34:30.186048,835.0,30945053.44670334,27802299968.88564
2022-05-11 19:34:42.224643,837.0,30945101.23642854,27802339968.88563
2022-05-11 19:34:54.533536,837.0,30945101.23642854,27802339968.88563
2022-05-11 19:35:07.289089,837.0,30945101.23642854,27802339968.88563
2022-05-11 19:35:19.848033,837.0,30945101.23642854,27802339968.88563
2022-05-11 19:35:32.761925,837.0,30946551.23642854,27803553618.88563
2022-05-11 19:35:47.841619,838.0,30950473.23642854,27806840254.88563
2022-05-11 19:36:00.600756,838.0,30950473.31389779,27806840319.804863
2022-05-11 19:36:13.261597,838.0,30950473.31389779,27806840319.804863
2022-05-11 19:36:26.420697,838.0,30950473.31389779,27806840319.804863
2022-05-11 19:36:39.689788,838.0,30950473.31389779,27806840319.804863
2022-05-11 19:36:52.776053,836.0,30961216.75544298,27815838766.634087
2022-05-11 19:37:05.875712,836.0,30961216.75544298,27815838766.634087
2022-05-11 19:37:19.701469,836.0,30961216.75544298,27815838766.634087
2022-05-11 19:37:33.012740,835.0,30965591.15484298,27819491390.133083
2022-05-11 19:37:46.440850,832.0,30972148.94660836,27824966837.23799
2022-05-11 19:37:59.195501,832.0,30972148.94660836,27824966837.23799
2022-05-11 19:38:13.467107,832.0,30972160.85137026,27824976741.999893
2022-05-11 19:38:25.670827,836.0,30973844.46448072,27826384242.560238
2022-05-11 19:38:39.390097,835.0,30973862.48371148,27826399288.617924
2022-05-11 19:38:52.369872,837.0,30973866.48371148,27826402636.617924
2022-05-11 19:39:05.718369,837.0,30975240.48371148,27827552674.617924
2022-05-11 19:39:18.377083,837.0,30975264.37857408,27827572674.61792
2022-05-11 19:39:31.048512,837.0,30975264.37857408,27827572674.61792
2022-05-11 19:39:44.650586,840.0,30977451.82821148,27829407160.964424
2022-05-11 19:39:57.467665,839.0,30978033.85542148,27829895952.899433
2022-05-11 19:40:10.303490,838.0,30978069.34899752,27829925696.516155
2022-05-11 19:40:21.696340,837.0,30978107.57002499,27829957687.516148
2022-05-11 19:40:33.974525,834.0,30978418.55072499,27830217045.419945
2022-05-11 19:40:47.809975,834.0,30978418.55072499,27830217045.419945
2022-05-11 19:40:59.135662,834.0,30979122.76422602,27830805024.693306
2022-05-11 19:41:11.583086,832.0,30979168.54622563,27830843115.316982
2022-05-11 19:41:24.377061,832.0,30979236.76422602,27830899872.693306
2022-05-11 19:41:39.858906,832.0,30979236.76422602,27830899872.693306
2022-05-11 19:41:52.912389,833.0,30979336.76422602,27830983172.693306
2022-05-11 19:42:05.903937,837.0,30980222.97772705,27831724933.39367
2022-05-11 19:42:19.144010,837.0,30980222.97772705,27831724933.39367
2022-05-11 19:42:31.024153,837.0,30980222.97772705,27831724933.39367
2022-05-11 19:42:43.213368,837.0,30990683.2395219,27840480172.515957
2022-05-11 19:42:55.691410,841.0,30991584.6159423,27841235992.899567
2022-05-11 19:43:08.664375,841.0,30997625.07973951,27846313720.489223
2022-05-11 19:43:20.261628,841.0,30997625.07973951,27846313720.489223
2022-05-11 19:43:32.590281,841.0,30997625.07973951,27846313720.489223
2022-05-11 19:43:45.381742,839.0,30998816.379203,27847313220.73909
2022-05-11 19:43:58.508650,839.0,30998816.379203,27847313220.73909
2022-05-11 19:44:12.059264,838.0,30999196.379203,27847631660.73909
2022-05-11 19:44:23.875616,838.0,30999697.78115997,27848051835.579033
2022-05-11 19:44:36.570894,838.0,30999697.78115997,27848051835.579033
2022-05-11 19:44:49.085894,838.0,31000002.63573301,27848307303.71124
2022-05-11 19:45:00.973293,838.0,31000002.63573301,27848307303.71124
2022-05-11 19:45:14.122890,838.0,31000002.63573301,27848307303.71124
2022-05-11 19:45:27.287928,838.0,31000083.90122951,27848375404.197308
2022-05-11 19:45:40.444353,839.0,31000985.16672602,27849132375.94888
2022-05-11 19:45:54.207553,836.0,31001504.6299042,27849567466.41335
2022-05-11 19:46:08.489944,836.0,31003036.9769042,27850848508.50535
2022-05-11 19:46:21.393463,834.0,31003954.47346084,27851614201.746876
2022-05-11 19:46:34.921540,833.0,31004394.98815177,27851981550.382484
2022-05-11 19:46:49.810882,834.0,31005054.47991101,27852531566.50969
2022-05-11 19:47:03.798252,834.0,31009187.52801101,27855986093.67319
2022-05-11 19:47:16.756334,835.0,31009397.53511101,27856161449.601692
2022-05-11 19:47:30.330841,836.0,31010465.86911101,27857054576.82569
2022-05-11 19:47:43.622228,836.0,31010465.86911101,27857054576.82569
2022-05-11 19:47:56.743604,836.0,31010465.86911101,27857054576.82569
2022-05-11 19:48:09.562723,839.0,31010569.86911101,27857141832.82569
2022-05-11 19:48:23.217169,839.0,31010575.86911101,27857146868.82569
