,price,volume,value
2022-05-11 19:07:15.964959,870.0,64005017.41064383,61612653409.26585
2022-05-11 19:07:28.357572,871.0,64005263.10524773,61612867409.26584
2022-05-11 19:07:41.514438,870.0,64007536.67729466,61614845416.94667
2022-05-11 19:07:54.463058,870.0,64007536.67729466,61614845416.94667
2022-05-11 19:08:12.010038,868.0,64010429.19604373,61617358073.57406
2022-05-11 19:08:27.916469,867.0,64013809.7411027,61620289331.22989
2022-05-11 19:08:42.089008,868.0,64024455.94099623,61629519701.74495
2022-05-11 19:08:54.513638,867.0,64032455.94099623,61636455701.74495
2022-05-11 19:09:06.284988,867.0,64032455.94099623,61636455701.74495
2022-05-11 19:09:19.738711,869.0,64032902.46195351,61636843219.94311
2022-05-11 19:09:34.175261,869.0,64033226.99015024,61637125234.94607
2022-05-11 19:09:45.628805,869.0,64033226.99015024,61637125234.94607
2022-05-11 19:09:57.579848,870.0,64057116.34467395,61657888973.38169
2022-05-11 19:10:10.898270,869.0,64057147.34467395,61657915912.38169
2022-05-11 19:10:22.827620,872.0,64058329.08255735,61658946255.27038
2022-05-11 19:10:33.714149,873.0,64058386.35632595,61658996255.27036
2022-05-11 19:10:45.414730,873.0,64058431.50122858,61659035666.77036
2022-05-11 19:10:58.547014,872.0,64060478.67205659,61660819555.31385
2022-05-11 19:11:10.626329,872.0,64064694.8345656,61664496049.021706
2022-05-11 19:11:22.881392,875.0,64131283.61480003,61722641002.1239
2022-05-11 19:11:36.238858,878.0,64131351.94947376,61722700977.13638
2022-05-11 19:11:48.591527,878.0,64132287.09184278,61723522032.13638
2022-05-11 19:12:01.365145,876.0,64136679.95835758,61727379564.53638
2022-05-11 19:12:15.804650,880.0,64156066.49814227,61744435083.007126
2022-05-11 19:12:30.002944,881.0,64214479.47700657,61795906123.995415
2022-05-11 19:12:43.387741,879.0,64224520.24266051,61804734408.105225
2022-05-11 19:12:55.726441,880.0,64266805.16154566,61841908570.7552
2022-05-11 19:13:07.683372,881.0,64277568.69010824,61851382093.500946
2022-05-11 19:13:21.177925,882.0,64278088.46334745,61851840498.41217
2022-05-11 19:13:33.317830,881.0,64286722.72410809,61859448623.99532
2022-05-11 19:13:46.116096,879.0,64297870.65306981,61869258688.54351
2022-05-11 19:13:58.295996,878.0,64304768.62322708,61875321998.31175
2022-05-11 19:14:10.889691,878.0,64304774.62322708,61875327266.31175
2022-05-11 19:14:24.130802,877.0,64369657.16161366,61932194867.214554
2022-05-11 19:14:36.623638,875.0,64369678.66681366,61932213684.26456
2022-05-11 19:14:49.656983,877.0,64375364.04516423,61937197475.36371
2022-05-11 19:15:02.625022,879.0,64408243.75582857,61966010825.469955
2022-05-11 19:15:15.453604,890.0,64597404.28654899,62133582643.71909
2022-05-11 19:15:28.382709,888.0,64788522.81569714,62303494298.798096
2022-05-11 19:15:41.563179,885.0,64868428.38992262,62374255637.78979
2022-05-11 19:15:53.218604,885.0,64956536.34862761,62452203729.25236
2022-05-11 19:16:05.501773,885.0,64989749.72586183,62481595445.73861
2022-05-11 19:16:17.407366,883.0,64992499.7636736,62484023422.232666
2022-05-11 19:16:29.756399,885.0,64999410.47925255,62490136174.99123
2022-05-11 19:16:42.091477,885.0,65004823.80647147,62494923182.55257
2022-05-11 19:16:54.697064,883.0,65009943.84542965,62499445985.4486
2022-05-11 19:17:07.147148,881.0,65057893.85423313,62541746327.01089
2022-05-11 19:17:19.719798,883.0,65061703.9281925,62545110522.31701
2022-05-11 19:17:32.308971,883.0,65061725.95424006,62545129971.317
2022-05-11 19:17:45.902178,884.0,65081575.54131833,62562655414.33268
2022-05-11 19:17:57.710967,884.0,65084781.12192175,62565489147.586105
2022-05-11 19:18:10.724553,884.0,65088834.46841185,62569072305.883354
2022-05-11 19:18:23.052396,884.0,65096595.56980563,62575935597.09943
2022-05-11 19:18:35.743138,883.0,65111997.16497962,62589535689.92999
2022-05-11 19:18:48.827690,883.0,65114390.71489409,62591652446.5216
2022-05-11 19:19:01.175335,883.0,65118351.38964617,62595149722.32768
2022-05-11 19:19:13.812962,883.0,65127993.9665305,62603664117.716545
2022-05-11 19:19:25.047307,882.0,65136909.49969361,62611527617.96641
2022-05-11 19:19:39.857922,879.0,65156994.78292013,62629202924.650154
2022-05-11 19:19:52.242819,878.0,65159480.05813413,62631384996.28805
2022-05-11 19:20:04.829557,878.0,65159480.05813413,62631384996.28805
2022-05-11 19:20:17.059825,877.0,65171105.54493556,62641577758.317726
2022-05-11 19:20:29.942545,877.0,65171476.84493556,62641903388.417725
2022-05-11 19:20:42.181408,877.0,65171476.84493556,62641903388.417725
2022-05-11 19:20:54.238260,878.0,65173100.07770646,62643329900.78695
2022-05-11 19:21:05.598034,880.0,65173110.07770646,62643338700.78695
2022-05-11 19:21:18.011045,878.0,65176227.16419648,62646079479.597984
2022-05-11 19:21:29.853892,877.0,65182180.42118423,62651300652.33156
2022-05-11 19:21:42.269820,877.0,65207442.20618191,62673411427.21871
