,price,volume,value
2022-05-11 19:07:19.778861,80.0,216083060.25717092,18637068497.454155
2022-05-11 19:07:32.073282,80.0,216083060.25717092,18637068497.454155
2022-05-11 19:07:45.572213,80.0,216083060.25717092,18637068497.454155
2022-05-11 19:08:01.097476,79.9,216097871.7293574,18638251934.081852
2022-05-11 19:08:16.436094,79.8,216157017.17334732,18642971740.512253
2022-05-11 19:08:31.986576,79.8,216157017.17334732,18642971740.512253
2022-05-11 19:08:46.073294,79.8,216169548.50166813,18643971740.51225
2022-05-11 19:08:57.921137,79.8,216170361.41601294,18644036611.07697
2022-05-11 19:09:10.198849,79.7,216170562.53131434,18644052639.966488
2022-05-11 19:09:24.681055,79.2,216183429.24091178,18645072158.666733
2022-05-11 19:09:37.606089,79.2,216183429.24091178,18645072158.666733
2022-05-11 19:09:48.999728,79.2,216183429.24091178,18645072158.666733
2022-05-11 19:10:01.628104,79.2,216183429.24091178,18645072158.666733
2022-05-11 19:10:14.256321,79.3,216186432.1172816,18645310286.762856
2022-05-11 19:10:25.803166,79.3,216186432.1172816,18645310286.762856
2022-05-11 19:10:37.101656,79.3,216186432.1172816,18645310286.762856
2022-05-11 19:10:49.285061,79.4,216186981.3660217,18645353897.11282
2022-05-11 19:11:01.825895,79.4,216186981.3660217,18645353897.11282
2022-05-11 19:11:14.382975,79.4,216186981.3660217,18645353897.11282
2022-05-11 19:11:26.449805,79.7,216190323.95588383,18645620301.524834
2022-05-11 19:11:39.818550,79.7,216219897.63991106,18647977324.141804
2022-05-11 19:11:52.122629,79.7,216253006.80264738,18650614837.211887
2022-05-11 19:12:05.323444,80.0,216258081.59353864,18651020539.283188
2022-05-11 19:12:19.526614,80.2,216259330.97009724,18651120639.283188
2022-05-11 19:12:34.052795,80.2,216259330.97009724,18651120639.283188
2022-05-11 19:12:46.985859,80.2,216264115.49304774,18651504358.02382
2022-05-11 19:12:59.227720,80.4,216268117.25863376,18651825949.176933
2022-05-11 19:13:11.650389,80.3,216271578.20263377,18652103862.980133
2022-05-11 19:13:24.828618,80.4,216271663.49123833,18652110720.183945
