,price,volume,value
2022-05-11 19:07:12.006990,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:07:24.613631,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:07:37.179604,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:07:50.178808,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:08:07.897074,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:08:22.200961,111.0,78306844.57530884,9266490073.932217
2022-05-11 19:08:37.432174,111.0,78306894.57530884,9266495623.932217
2022-05-11 19:08:50.926107,111.0,78306894.57530884,9266495623.932217
2022-05-11 19:09:02.326155,111.0,78306894.57530884,9266495623.932217
2022-05-11 19:09:15.563587,111.0,78316926.79377732,9267609200.182217
2022-05-11 19:09:30.558950,111.0,78366926.79377732,9273159200.182217
2022-05-11 19:09:42.072808,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:09:53.870971,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:10:06.925151,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:10:18.944746,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:10:30.169660,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:10:41.772371,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:10:54.300735,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:11:06.148800,111.0,78373374.3883719,9273874883.182215
2022-05-11 19:11:18.927116,111.0,78440056.9984036,9281276652.895735
2022-05-11 19:11:31.735069,112.0,78446448.44553716,9281992494.974693
2022-05-11 19:11:44.787003,112.0,78451412.73125145,9282548494.974693
2022-05-11 19:11:57.002972,112.0,78451412.73125145,9282548494.974693
2022-05-11 19:12:11.213702,112.0,78451912.73125145,9282604494.974693
2022-05-11 19:12:24.957883,112.0,78481895.10508096,9285962520.843597
2022-05-11 19:12:39.245624,112.0,78482019.82730319,9285976489.732487
2022-05-11 19:12:51.657121,112.0,78482117.66913857,9285987448.01805
2022-05-11 19:13:03.868349,112.0,78491224.81199571,9287007448.018051
2022-05-11 19:13:17.009337,112.0,78491224.81199571,9287007448.018051
2022-05-11 19:13:29.834829,112.0,78491637.01302844,9287053658.781506
2022-05-11 19:13:42.061738,112.0,78491637.01302844,9287053658.781506
2022-05-11 19:13:54.127191,112.0,78491637.01302844,9287053658.781506
2022-05-11 19:14:06.801664,112.0,78491637.01302844,9287053658.781506
2022-05-11 19:14:19.918267,112.0,78491637.01302844,9287053658.781506
2022-05-11 19:14:32.091731,112.0,78556429.04043816,9294310365.851393
2022-05-11 19:14:45.683611,112.0,78556429.04043816,9294310365.851393
2022-05-11 19:14:58.873424,112.0,78556429.04043816,9294310365.851393
2022-05-11 19:15:11.542982,112.0,78598807.24773091,9299056725.06818
2022-05-11 19:15:24.369494,112.0,78598807.24773091,9299056725.06818
2022-05-11 19:15:37.313113,112.0,78598807.24773091,9299056725.06818
2022-05-11 19:15:49.866167,112.0,78598807.24773091,9299056725.06818
2022-05-11 19:16:01.201980,113.0,78630801.30525303,9302672053.56818
2022-05-11 19:16:13.768064,113.0,78631243.56189004,9302722028.568161
2022-05-11 19:16:25.860229,113.0,78631243.56189004,9302722028.568161
2022-05-11 19:16:38.098729,113.0,78631243.56189004,9302722028.568161
2022-05-11 19:16:50.566399,113.0,78631243.56189004,9302722028.568161
2022-05-11 19:17:03.166935,113.0,78631243.56189004,9302722028.568161
2022-05-11 19:17:15.318521,113.0,78636661.20704976,9303334222.471209
2022-05-11 19:17:28.166903,113.0,78636661.20704976,9303334222.471209
2022-05-11 19:17:41.347711,113.0,78641780.75350992,9303912731.221209
2022-05-11 19:17:53.831590,113.0,78642665.70926213,9304012731.221209
2022-05-11 19:18:06.640247,113.0,78642665.70926213,9304012731.221209
2022-05-11 19:18:19.239965,113.0,78642665.70926213,9304012731.221209
2022-05-11 19:18:31.638603,113.0,78642941.99244797,9304043951.221209
2022-05-11 19:18:44.420757,113.0,78642941.99244797,9304043951.221209
2022-05-11 19:18:57.543917,112.0,78651940.03471124,9305051731.954695
2022-05-11 19:19:10.154940,112.0,78651940.03471124,9305051731.954695
2022-05-11 19:19:21.613664,112.0,78651940.03471124,9305051731.954695
2022-05-11 19:19:35.859588,112.0,78651940.03471124,9305051731.954695
2022-05-11 19:19:48.137751,112.0,78652003.0977743,9305058795.017757
2022-05-11 19:20:00.831423,112.0,78652003.0977743,9305058795.017757
2022-05-11 19:20:13.193351,112.0,78663886.27894638,9306389711.30903
2022-05-11 19:20:26.180396,112.0,78717527.17835249,9312397492.042515
2022-05-11 19:20:38.068168,112.0,78717527.17835249,9312397492.042515
2022-05-11 19:20:50.372477,112.0,78717527.17835249,9312397492.042515
2022-05-11 19:21:01.995611,112.0,78717527.17835249,9312397492.042515
2022-05-11 19:21:13.932529,112.0,78784209.78838418,9319865944.366064
2022-05-11 19:21:25.991343,112.0,78784209.78838418,9319865944.366064
2022-05-11 19:21:38.253903,112.0,78784209.78838418,9319865944.366064
2022-05-11 19:21:50.543137,112.0,78789712.78838418,9320482280.366064
2022-05-11 19:22:02.355819,112.0,78789712.78838418,9320482280.366064
2022-05-11 19:22:14.236648,112.0,78789712.78838418,9320482280.366064
2022-05-11 19:22:26.300552,112.0,78941716.58226752,9337506705.280998
2022-05-11 19:22:39.380791,112.0,78941716.58226752,9337506705.280998
2022-05-11 19:22:51.576986,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:23:04.141210,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:23:17.394998,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:23:30.699405,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:23:43.235622,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:23:55.737789,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:24:08.849866,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:24:22.083180,112.0,78946716.58226752,9338066705.280998
2022-05-11 19:24:34.819439,112.0,78950716.58226752,9338514705.280998
2022-05-11 19:24:48.215859,112.0,78950716.58226752,9338514705.280998
2022-05-11 19:25:00.707137,112.0,78950716.58226752,9338514705.280998
2022-05-11 19:25:13.820046,112.0,78950716.58226752,9338514705.280998
2022-05-11 19:25:26.691155,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:25:39.405979,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:25:51.534329,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:26:04.380251,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:26:17.448582,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:26:29.935092,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:26:43.137604,112.0,78959604.58226752,9339510161.280998
2022-05-11 19:26:56.256584,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:27:08.646613,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:27:21.314860,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:27:34.147492,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:27:46.586650,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:28:00.153478,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:28:13.015690,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:28:25.534167,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:28:38.332465,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:28:50.520070,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:29:02.702410,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:29:15.234821,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:29:28.282280,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:29:42.152485,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:29:53.968462,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:30:06.124770,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:30:18.741833,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:30:31.482040,111.0,78968716.07364683,9340521536.8241
2022-05-11 19:30:44.261392,112.0,78968761.56914233,9340526632.319595
2022-05-11 19:30:56.969868,112.0,78968761.56914233,9340526632.319595
2022-05-11 19:31:09.848813,112.0,78968761.56914233,9340526632.319595
2022-05-11 19:31:20.991487,112.0,78968761.56914233,9340526632.319595
2022-05-11 19:31:34.040936,112.0,78968761.56914233,9340526632.319595
2022-05-11 19:31:46.770766,112.0,78968924.76433045,9340544910.180666
