,price,volume,value
2022-05-11 19:07:14.333874,50.7,1793767778.0290198,96238231863.16284
2022-05-11 19:07:27.013913,50.5,1794147377.5640936,96257437580.35327
2022-05-11 19:07:39.563922,50.5,1794368692.5811882,96268613988.71654
2022-05-11 19:07:52.492770,50.5,1794394143.9768755,96269899284.19876
2022-05-11 19:08:10.423005,50.6,1794810942.8283281,96290952038.69441
2022-05-11 19:08:25.285065,50.6,1794811552.6287234,96290982894.59442
2022-05-11 19:08:40.468686,50.6,1794885975.8585098,96294744630.81369
2022-05-11 19:08:53.229273,50.5,1794949856.966281,96297973595.16719
2022-05-11 19:09:04.743198,50.5,1795080737.5592785,96304583065.11356
2022-05-11 19:09:18.358119,50.5,1795145107.2058842,96307833732.26715
2022-05-11 19:09:32.886607,50.6,1795203635.3394697,96310795255.82657
2022-05-11 19:09:44.294672,50.6,1795206530.444355,96310941748.13377
2022-05-11 19:09:56.142355,50.6,1795206530.444355,96310941748.13377
2022-05-11 19:10:09.523052,50.7,1795488473.7133517,96325236271.8719
2022-05-11 19:10:21.420784,50.7,1795618350.8130302,96331821040.8256
2022-05-11 19:10:32.348726,50.8,1795618450.0271757,96331826080.90419
2022-05-11 19:10:43.994469,50.9,1795654659.7526848,96333663915.93547
2022-05-11 19:10:57.128892,50.8,1795658195.0932307,96333843226.60031
2022-05-11 19:11:09.148771,50.8,1795660293.342258,96333949827.4758
2022-05-11 19:11:21.483988,50.9,1795670860.9630327,96334487644.44437
2022-05-11 19:11:34.405082,51.0,1796548314.2513194,96379201466.05992
2022-05-11 19:11:47.067038,51.1,1796679253.5754602,96385870696.16856
2022-05-11 19:11:59.871340,51.1,1797210910.7696528,96413038076.1583
2022-05-11 19:12:14.202769,51.2,1797961226.6793413,96451439924.89485
2022-05-11 19:12:28.494200,51.3,1798377604.0845716,96472782173.82468
2022-05-11 19:12:41.846274,51.2,1798512870.2611217,96479712600.60942
2022-05-11 19:12:54.287833,51.2,1798550741.7518144,96481653619.00403
2022-05-11 19:13:06.331990,51.3,1798663307.1135845,96487425469.91391
2022-05-11 19:13:19.863083,51.4,1799384070.1350074,96524462024.88153
2022-05-11 19:13:32.070141,51.4,1799842028.2343347,96548020773.35619
2022-05-11 19:13:44.734461,51.4,1800092489.85317,96560896981.36432
2022-05-11 19:13:56.799870,51.2,1800621021.2224655,96587962658.94183
2022-05-11 19:14:09.438952,51.2,1800827288.7572129,96598523616.72089
2022-05-11 19:14:22.423251,51.1,1801650996.7114434,96640648356.76929
2022-05-11 19:14:34.822828,51.0,1802005593.8303795,96658767776.0471
2022-05-11 19:14:48.204422,51.2,1802248982.2610462,96671212238.81706
2022-05-11 19:15:01.247875,51.3,1802758901.2177284,96697322216.88576
2022-05-11 19:15:14.108050,51.4,1802941992.8261094,96706733095.32417
2022-05-11 19:15:26.706713,51.4,1802969351.5503812,96708139333.75175
2022-05-11 19:15:39.855816,51.3,1803271013.2061129,96723614751.77834
2022-05-11 19:16:04.023446,51.2,1803466119.5256639,96733604195.39767
2022-05-11 19:16:16.049377,51.1,1803741416.4402568,96747676867.73338
2022-05-11 19:16:28.215306,51.2,1803782740.3643878,96749792652.6489
2022-05-11 19:16:40.595127,51.1,1803787683.7821739,96750045723.78775
2022-05-11 19:16:53.186244,51.1,1804009309.6689436,96761391711.72571
2022-05-11 19:17:05.624687,51.1,1804540546.715997,96788537924.83014
2022-05-11 19:17:18.121237,51.1,1805376059.4988534,96831232628.03412
2022-05-11 19:17:30.849448,51.3,1805781175.9541113,96851936401.38176
2022-05-11 19:17:44.139708,51.3,1805800005.7010312,96852902367.39876
2022-05-11 19:17:56.277660,51.3,1805800005.7010312,96852902367.39876
2022-05-11 19:18:09.088141,51.2,1805809711.293579,96853398332.96477
2022-05-11 19:18:21.696749,51.2,1805813711.293579,96853603132.96477
2022-05-11 19:18:33.852582,51.2,1805872305.043579,96856603132.96477
2022-05-11 19:18:47.231675,51.2,1805912024.5051436,96858636769.39688
2022-05-11 19:18:59.727621,51.2,1805944234.6305497,96860285927.81766
2022-05-11 19:19:12.472407,51.1,1806206601.3286014,96873692875.87492
2022-05-11 19:19:23.796742,51.0,1806405207.506342,96883830632.13681
2022-05-11 19:19:38.424949,51.0,1806552860.1922452,96891360919.11787
2022-05-11 19:19:50.753368,50.9,1806582478.6541545,96892868508.61588
2022-05-11 19:20:03.518546,50.9,1806678163.1130738,96897738847.57487
2022-05-11 19:20:15.549078,50.9,1806687619.5392568,96898220189.4544
2022-05-11 19:20:28.522550,50.9,1806904835.7836742,96909277478.61353
2022-05-11 19:20:40.684951,50.9,1807006393.7781682,96914456839.05646
2022-05-11 19:20:52.531593,51.0,1807070189.1217687,96917710401.58008
2022-05-11 19:21:04.240772,51.1,1807070286.9899857,96917715402.64597
2022-05-11 19:21:16.534104,51.1,1807070286.9899857,96917715402.64597
2022-05-11 19:21:28.299066,51.0,1807072249.3701148,96917815484.03255
2022-05-11 19:21:40.575998,51.0,1807072249.3701148,96917815484.03255
2022-05-11 19:21:52.738799,51.0,1807091780.6201148,96918811577.78255
2022-05-11 19:22:05.085182,51.1,1807270670.2542706,96927951583.17538
2022-05-11 19:22:16.572387,51.1,1807275343.4196327,96928190381.92538
2022-05-11 19:22:28.848157,51.0,1807289655.5017796,96928920534.52309
2022-05-11 19:22:41.729456,51.0,1807346580.7058442,96931823719.93037
2022-05-11 19:22:54.172217,51.1,1807346678.5740612,96931828720.99626
2022-05-11 19:23:06.947080,51.1,1807346678.5740612,96931828720.99626
2022-05-11 19:23:19.948961,51.1,1807346678.5740612,96931828720.99626
2022-05-11 19:23:33.420648,50.8,1807889546.310734,96959435035.16556
2022-05-11 19:23:45.905444,51.0,1807959126.9604967,96962983648.30344
2022-05-11 19:23:58.389333,50.9,1808008432.752241,96965493332.71487
2022-05-11 19:24:11.329631,51.1,1808276130.466769,96979172685.92726
2022-05-11 19:24:25.415117,51.1,1808310171.587109,96980912187.17664
2022-05-11 19:24:37.113751,51.1,1808310171.587109,96980912187.17664
2022-05-11 19:24:50.511583,51.1,1808542730.013809,96992786245.53069
2022-05-11 19:25:03.073605,51.0,1808671231.6475673,96999327008.51389
2022-05-11 19:25:16.820741,50.9,1808701383.5434942,97000862735.74026
2022-05-11 19:25:29.604348,50.9,1808706244.256941,97001110341.93716
2022-05-11 19:25:41.816149,50.8,1808887924.2313566,97010339714.63748
2022-05-11 19:25:53.954022,50.9,1809398026.206263,97036303905.16022
2022-05-11 19:26:07.198150,50.8,1809864778.9733124,97060014945.72632
2022-05-11 19:26:19.757354,50.7,1810150754.5003736,97074513904.94833
2022-05-11 19:26:32.706158,50.9,1810209940.6196399,97077526296.81982
2022-05-11 19:26:45.598957,50.9,1810230586.9923043,97078577403.05368
2022-05-11 19:26:58.788408,51.0,1810471611.1262405,97090864188.10097
2022-05-11 19:27:11.160524,51.0,1810475826.2578013,97091079189.16685
2022-05-11 19:27:24.149917,51.0,1810475826.2578013,97091079189.16685
2022-05-11 19:27:36.429164,51.0,1810537477.8490305,97094223420.31955
2022-05-11 19:27:49.525599,51.0,1810537477.8490305,97094223420.31955
2022-05-11 19:28:02.925309,51.1,1810544682.3043315,97094591567.98544
2022-05-11 19:28:15.532605,51.1,1810597423.7449124,97097284293.3944
2022-05-11 19:28:28.049440,51.0,1810667193.2165365,97100842556.44724
2022-05-11 19:28:41.583190,51.1,1810667291.0847538,97100847557.51312
2022-05-11 19:28:52.754868,51.1,1810667291.0847538,97100847557.51312
2022-05-11 19:29:04.923974,51.1,1810749833.963423,97105065498.61311
2022-05-11 19:29:17.680919,50.9,1810764480.9592314,97105811030.69977
2022-05-11 19:29:31.217133,50.9,1810765018.239156,97105838378.24792
2022-05-11 19:29:44.411858,50.9,1810765118.239156,97105843468.24792
2022-05-11 19:29:56.503004,51.0,1810913082.552091,97113375264.54794
2022-05-11 19:30:08.731767,51.0,1810913082.552091,97113375264.54794
2022-05-11 19:30:21.186859,51.0,1810913278.6305223,97113385264.54794
2022-05-11 19:30:33.881843,51.0,1811099523.0926049,97122883732.11415
2022-05-11 19:30:47.007699,51.0,1811592011.8550518,97148000658.99895
2022-05-11 19:30:59.662473,51.0,1811624361.266244,97149650478.96976
2022-05-11 19:31:12.171558,50.9,1811661260.639577,97151529445.3463
2022-05-11 19:31:23.212298,50.9,1811665390.2626433,97151739643.16039
2022-05-11 19:31:36.601842,50.9,1811665390.2626433,97151739643.16039
2022-05-11 19:31:48.953064,50.9,1811668487.479943,97151897291.52094
2022-05-11 19:32:01.749452,50.9,1811678310.6626542,97152397291.52094
2022-05-11 19:32:14.257881,50.9,1811742407.2849545,97155659809.59602
2022-05-11 19:32:26.854588,50.9,1811749599.8949378,97156025913.44417
2022-05-11 19:32:38.947838,50.9,1811749599.8949378,97156025913.44417
2022-05-11 19:32:51.323746,50.9,1811886990.1332338,97163019076.57344
2022-05-11 19:33:04.161860,50.9,1811950358.5840232,97166243264.0985
2022-05-11 19:33:17.146775,50.9,1811950358.5840232,97166243264.0985
2022-05-11 19:33:30.078645,50.8,1811960358.5840232,97166751264.0985
2022-05-11 19:33:43.096631,50.8,1811960358.5840232,97166751264.0985
2022-05-11 19:33:55.769240,50.9,1811977706.2549582,97167634260.54909
2022-05-11 19:34:08.147919,50.9,1812047542.672702,97171188934.21225
2022-05-11 19:34:22.242476,50.8,1812112396.877075,97174488632.36217
2022-05-11 19:34:35.320416,50.9,1812114852.6727526,97174613632.36217
2022-05-11 19:34:47.183397,50.9,1812114852.6727526,97174613632.36217
2022-05-11 19:34:59.734891,50.9,1812124675.8554637,97175113632.36217
2022-05-11 19:35:12.524241,50.9,1812167948.3504076,97177314408.4118
2022-05-11 19:35:25.360652,51.0,1812862235.7346103,97212723065.00613
2022-05-11 19:35:40.008357,51.0,1812882695.7346103,97213766525.00613
2022-05-11 19:35:53.005468,51.0,1812901858.1683226,97214743809.12546
2022-05-11 19:36:05.913576,51.0,1812916719.6337678,97215501743.86316
2022-05-11 19:36:18.974381,51.0,1813281513.5812576,97234106235.18515
2022-05-11 19:36:32.126066,51.0,1813318853.6928031,97236010580.87396
2022-05-11 19:36:45.016179,51.0,1813576760.5650086,97249163845.05508
2022-05-11 19:36:58.377713,51.0,1813578721.3493223,97249263845.05508
2022-05-11 19:37:11.976320,50.9,1813579811.3493223,97249319376.05508
2022-05-11 19:37:24.982477,50.9,1813579811.3493223,97249319376.05508
2022-05-11 19:37:38.994498,50.9,1813603067.8543606,97250503132.16153
2022-05-11 19:37:51.334299,50.8,1814079354.790445,97274698508.51463
2022-05-11 19:38:05.148352,50.8,1814079354.790445,97274698508.51463
2022-05-11 19:38:18.715198,50.8,1814185617.9290571,97280096675.95612
2022-05-11 19:38:31.349309,50.7,1814208746.604896,97281269299.82114
2022-05-11 19:38:44.734763,50.7,1814245715.0562384,97283143600.3042
2022-05-11 19:38:58.277839,50.8,1814354850.8218763,97288685724.81203
2022-05-11 19:39:11.529393,50.8,1814391380.568814,97290541435.95645
2022-05-11 19:39:23.548903,50.8,1814509361.4488678,97296524751.40756
2022-05-11 19:39:36.549361,50.7,1814524472.015168,97297290868.17561
2022-05-11 19:39:50.843382,50.8,1814548138.7814276,97298493126.20297
2022-05-11 19:40:03.082047,50.9,1814759384.875775,97309245552.40526
2022-05-11 19:40:15.206778,50.8,1814763884.875775,97309474152.40526
2022-05-11 19:40:26.735382,50.8,1814763884.875775,97309474152.40526
2022-05-11 19:40:39.619547,50.8,1814763884.875775,97309474152.40526
2022-05-11 19:40:52.515836,50.8,1814763884.875775,97309474152.40526
2022-05-11 19:41:04.436477,50.8,1814763884.875775,97309474152.40526
2022-05-11 19:41:17.085139,50.8,1815032028.8434231,97323095865.96178
2022-05-11 19:41:29.770353,50.8,1815033015.036717,97323145964.5811
2022-05-11 19:41:45.290426,50.8,1815133015.036717,97328225964.5811
2022-05-11 19:41:58.311279,50.9,1815192471.5854585,97331252302.91205
2022-05-11 19:42:11.564910,50.9,1815219202.9691868,97332612930.34383
2022-05-11 19:42:23.999129,50.9,1815415666.6234107,97342612930.34383
2022-05-11 19:42:36.170035,50.9,1816377998.5911777,97391595627.50316
2022-05-11 19:42:48.701856,51.0,1816837248.5911777,97415017327.50316
2022-05-11 19:43:00.579236,51.0,1816886464.8953888,97417527359.01793
2022-05-11 19:43:13.145755,51.0,1816896464.8953888,97418037359.01793
2022-05-11 19:43:25.202939,51.1,1817139098.227535,97430412255.83737
2022-05-11 19:43:37.807408,51.1,1817548946.0629127,97451355480.22519
2022-05-11 19:43:50.920128,51.1,1817565083.553128,97452180105.97519
2022-05-11 19:44:04.071569,50.9,1817614138.8730338,97454673214.1488
2022-05-11 19:44:16.872286,50.9,1817614138.8730338,97454673214.1488
2022-05-11 19:44:28.978365,50.9,1817614138.8730338,97454673214.1488
2022-05-11 19:44:41.528313,50.9,1817622290.2597632,97455088119.73332
2022-05-11 19:44:53.863793,50.9,1817726648.7887354,97460399968.858
2022-05-11 19:45:06.631667,50.9,1817738912.618712,97461024197.8038
2022-05-11 19:45:19.675945,51.1,1818105679.1585343,97479720296.28223
2022-05-11 19:45:32.577952,51.1,1818388606.6221266,97494177889.6718
2022-05-11 19:45:46.203373,51.1,1818408176.093751,97495177889.6718
2022-05-11 19:46:00.110570,51.1,1818427745.565375,97496177889.6718
2022-05-11 19:46:13.860911,50.9,1818631575.6247218,97506552839.69254
2022-05-11 19:46:26.978968,50.9,1818743488.6269631,97512249211.50664
2022-05-11 19:46:41.595605,50.9,1818786731.4055517,97514446534.0499
2022-05-11 19:46:54.939076,50.9,1818786731.4055517,97514446534.0499
2022-05-11 19:47:09.874991,50.9,1818814504.8027496,97515860199.96725
2022-05-11 19:47:22.732713,50.8,1818825596.3027496,97516424173.37666
2022-05-11 19:47:36.932292,50.9,1818937433.6580417,97522117978.15009
2022-05-11 19:47:49.014791,51.1,1819285458.4163346,97539901091.39384
2022-05-11 19:48:02.326961,51.2,1819286553.0602832,97539957137.164
