,price,volume,value
2022-05-11 19:07:07.879158,13810.0,42775661.23183811,722590138005.088
2022-05-11 19:07:20.807043,13770.0,42782872.91662359,722689535238.2452
2022-05-11 19:07:33.204214,13750.0,42784945.1491977,722718025837.6147
2022-05-11 19:07:46.554662,13750.0,42789168.68403516,722776055659.4
2022-05-11 19:08:03.110815,13740.0,42793537.879235,722836134063.1864
2022-05-11 19:08:17.812909,13740.0,42794914.44549462,722855042200.652
2022-05-11 19:08:33.196039,13730.0,42798750.22594405,722907735640.6825
2022-05-11 19:08:47.191753,13740.0,42800411.15962603,722930556632.7103
2022-05-11 19:08:58.831023,13760.0,42804853.01205094,722991644878.4867
2022-05-11 19:09:11.375279,13750.0,42807550.24522662,723028806245.1477
2022-05-11 19:09:26.085389,13810.0,42809724.58939156,723058737295.4752
2022-05-11 19:09:38.531326,13780.0,42810127.02179464,723064286348.9208
2022-05-11 19:09:50.043844,13750.0,42814421.25358459,723123416530.6854
2022-05-11 19:10:03.075230,13800.0,42818347.21261855,723177518610.4159
2022-05-11 19:10:15.330044,13800.0,42820760.08070855,723210779659.4241
2022-05-11 19:10:26.798330,13830.0,42827928.98140577,723309855675.3978
2022-05-11 19:10:38.026680,13810.0,42830616.29797682,723346995202.3699
2022-05-11 19:10:50.417661,13800.0,42833888.22549694,723392174597.3871
2022-05-11 19:11:02.776049,13800.0,42835180.1201543,723409989181.7388
2022-05-11 19:11:15.335842,13830.0,42837538.06110379,723442560436.8264
2022-05-11 19:11:27.582421,13860.0,42843335.96718123,723522882580.5214
2022-05-11 19:11:40.936849,13890.0,42855758.31040885,723695458893.8492
2022-05-11 19:11:53.238815,13950.0,42864024.83105531,723810571314.5546
2022-05-11 19:12:06.378796,13950.0,42878513.45266787,724012729855.4971
2022-05-11 19:12:20.733958,13980.0,42884976.07975407,724102954057.6964
2022-05-11 19:12:35.078892,13900.0,42897644.82844476,724279862289.8759
2022-05-11 19:12:47.952778,13910.0,42901441.62614549,724332650065.2496
2022-05-11 19:13:00.303024,13950.0,42906459.68835234,724402564428.8564
2022-05-11 19:13:12.617776,13990.0,42913752.88274208,724504554681.3296
