,price,volume,value
2022-05-11 19:07:13.610596,184.0,90348242.64580056,18347069825.128407
2022-05-11 19:07:26.378652,185.0,90348783.2079519,18347169829.126408
2022-05-11 19:07:38.928495,185.0,90350277.7852492,18347446325.926407
2022-05-11 19:07:51.871768,185.0,90350277.7852492,18347446325.926407
2022-05-11 19:08:09.679933,184.0,90350332.92038435,18347456498.35884
2022-05-11 19:08:24.496185,184.0,90350332.92038435,18347456498.35884
2022-05-11 19:08:39.712091,185.0,90350876.3986452,18347557041.837097
2022-05-11 19:08:52.605585,185.0,90351376.3986452,18347649541.837097
2022-05-11 19:09:03.971332,185.0,90351916.93918574,18347749541.837097
2022-05-11 19:09:17.526596,185.0,90351916.93918574,18347749541.837097
2022-05-11 19:09:32.253557,185.0,90411725.4113521,18358814109.187874
2022-05-11 19:09:43.602899,185.0,90411725.4113521,18358814109.187874
2022-05-11 19:09:55.552470,185.0,90411725.4113521,18358814109.187874
2022-05-11 19:10:08.828336,186.0,90412262.97268865,18358914095.596474
2022-05-11 19:10:20.771268,186.0,90413337.5085293,18359113959.262836
2022-05-11 19:10:31.696877,186.0,90413337.5085293,18359113959.262836
2022-05-11 19:10:43.438030,186.0,90413437.5085293,18359132559.262836
2022-05-11 19:10:56.356453,186.0,90413437.5085293,18359132559.262836
2022-05-11 19:11:08.287901,186.0,90413437.5085293,18359132559.262836
2022-05-11 19:11:20.755838,186.0,90413693.68057232,18359180207.262836
2022-05-11 19:11:33.452581,187.0,90487079.93867975,18372846174.59076
2022-05-11 19:11:46.451666,187.0,90526786.17608243,18380271240.98506
2022-05-11 19:11:59.054382,187.0,90538799.72582658,18382517774.787216
2022-05-11 19:12:13.523719,187.0,90553079.84961785,18385188157.936184
2022-05-11 19:12:27.178086,187.0,90553079.84961785,18385188157.936184
2022-05-11 19:12:40.982957,187.0,90553079.84961785,18385188157.936184
2022-05-11 19:12:53.516444,187.0,90553079.84961785,18385188157.936184
2022-05-11 19:13:05.513996,188.0,90553579.84961785,18385282157.936184
2022-05-11 19:13:19.274819,188.0,90557729.09792955,18386062216.618786
2022-05-11 19:13:31.433855,188.0,90578528.8900786,18389972577.54281
2022-05-11 19:13:43.840971,188.0,90598445.35596247,18393716873.128975
2022-05-11 19:13:56.133798,187.0,90598540.44066247,18393734653.967873
2022-05-11 19:14:08.839877,187.0,90598540.44066247,18393734653.967873
2022-05-11 19:14:21.731410,187.0,90599540.44066247,18393921653.967873
2022-05-11 19:14:33.868528,187.0,90626170.6435711,18398901501.911785
2022-05-11 19:14:47.538132,187.0,90627082.60857908,18399072039.368282
2022-05-11 19:15:00.474903,187.0,90638425.27111208,18401193117.26195
2022-05-11 19:15:13.385148,187.0,90666725.47317187,18406485255.047134
2022-05-11 19:15:26.029093,187.0,90666725.47317187,18406485255.047134
2022-05-11 19:15:39.175002,187.0,90666725.47317187,18406485255.047134
2022-05-11 19:15:51.287710,188.0,90666943.48184422,18406526240.677532
2022-05-11 19:16:02.908352,188.0,90666943.48184422,18406526240.677532
2022-05-11 19:16:15.342245,188.0,90666943.48184422,18406526240.677532
2022-05-11 19:16:27.672088,188.0,90678655.66475087,18408716950.79597
2022-05-11 19:16:40.019616,188.0,90678655.66475087,18408716950.79597
2022-05-11 19:16:52.458709,188.0,90678655.66475087,18408716950.79597
2022-05-11 19:17:04.945812,188.0,90678655.66475087,18408716950.79597
2022-05-11 19:17:17.201383,188.0,90678655.66475087,18408716950.79597
2022-05-11 19:17:30.110238,187.0,90679196.15920952,18408818023.25974
2022-05-11 19:17:43.430775,187.0,90701869.95600095,18413058023.25974
2022-05-11 19:17:55.642981,187.0,90701869.95600095,18413058023.25974
2022-05-11 19:18:08.424329,187.0,90726009.83544481,18417572180.715736
2022-05-11 19:18:20.988648,187.0,90726009.83544481,18417572180.715736
2022-05-11 19:18:33.218480,187.0,90726009.83544481,18417572180.715736
2022-05-11 19:18:46.551386,188.0,90741766.70443115,18420529829.542
2022-05-11 19:18:59.063514,188.0,90741979.47038859,18420569829.541996
2022-05-11 19:19:11.880303,188.0,90742709.04485667,18420706419.541996
2022-05-11 19:19:23.209006,187.0,90751062.51518033,18422268518.49252
2022-05-11 19:19:37.702163,187.0,90751062.51518033,18422268518.49252
2022-05-11 19:19:50.143648,186.0,90751228.51518033,18422299394.49252
2022-05-11 19:20:02.748247,186.0,90824310.15154395,18435893648.37487
2022-05-11 19:20:14.918009,186.0,90826215.06674396,18436247962.60207
2022-05-11 19:20:27.797755,187.0,90826375.49455144,18436277962.60207
2022-05-11 19:20:39.959551,186.0,90838959.50036184,18438618587.682804
2022-05-11 19:20:51.973114,186.0,90838959.50036184,18438618587.682804
2022-05-11 19:21:03.533383,186.0,90838959.50036184,18438618587.682804
2022-05-11 19:21:15.823431,186.0,90838959.50036184,18438618587.682804
2022-05-11 19:21:27.694898,186.0,90838959.50036184,18438618587.682804
2022-05-11 19:21:39.868796,186.0,90844912.50036184,18439725845.682804
2022-05-11 19:21:52.088761,186.0,90861694.49418168,18442847296.533295
2022-05-11 19:22:04.223708,186.0,90883424.67293017,18446894454.701637
2022-05-11 19:22:15.954059,186.0,90886057.88492286,18447384232.13228
2022-05-11 19:22:28.048952,186.0,90886057.88492286,18447384232.13228
2022-05-11 19:22:41.067320,186.0,90888437.07033016,18447826760.618034
2022-05-11 19:22:53.507998,186.0,90888437.07033016,18447826760.618034
2022-05-11 19:23:05.981349,186.0,90909503.83013524,18451745177.94178
2022-05-11 19:23:19.194250,186.0,90929428.45384489,18455451157.951775
2022-05-11 19:23:32.711489,186.0,90929726.86782338,18455506662.951775
2022-05-11 19:23:45.107309,186.0,90930726.86782338,18455692662.951775
2022-05-11 19:23:57.681117,186.0,90931726.86782338,18455878662.951775
2022-05-11 19:24:10.540952,186.0,90931726.86782338,18455878662.951775
2022-05-11 19:24:24.552090,186.0,90931726.86782338,18455878662.951775
2022-05-11 19:24:36.493392,186.0,90931726.86782338,18455878662.951775
2022-05-11 19:24:49.831793,186.0,90931726.86782338,18455878662.951775
2022-05-11 19:25:02.440460,186.0,90934156.20882338,18456330520.377773
2022-05-11 19:25:16.037289,186.0,90934156.20882338,18456330520.377773
2022-05-11 19:25:28.774549,186.0,90934278.4807266,18456353262.951775
2022-05-11 19:25:41.228046,186.0,90934278.4807266,18456353262.951775
2022-05-11 19:25:53.105822,186.0,90935278.4807266,18456539262.951775
2022-05-11 19:26:06.564613,186.0,90935278.4807266,18456539262.951775
2022-05-11 19:26:19.106625,186.0,90935278.4807266,18456539262.951775
2022-05-11 19:26:32.027579,186.0,90936353.21217807,18456739163.001747
2022-05-11 19:26:44.878409,186.0,90936353.21217807,18456739163.001747
2022-05-11 19:26:58.124463,186.0,90936353.21217807,18456739163.001747
2022-05-11 19:27:10.363346,186.0,90937428.48099527,18456939163.001747
2022-05-11 19:27:23.442826,186.0,90937428.48099527,18456939163.001747
2022-05-11 19:27:35.723108,186.0,90937455.3627157,18456944163.001747
2022-05-11 19:27:48.487178,186.0,90937455.3627157,18456944163.001747
2022-05-11 19:28:01.979756,186.0,90937455.3627157,18456944163.001747
2022-05-11 19:28:14.777942,186.0,90937455.3627157,18456944163.001747
2022-05-11 19:28:27.358868,186.0,90940143.53475872,18457444163.001747
2022-05-11 19:28:40.631871,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:28:52.029826,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:29:04.284951,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:29:16.955130,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:29:30.252731,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:29:43.716590,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:29:55.945292,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:30:07.964609,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:30:20.536738,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:30:33.140738,185.0,90940368.79360157,18457485835.887676
2022-05-11 19:30:46.010865,185.0,90942768.79360157,18457929835.887676
2022-05-11 19:30:58.688284,185.0,90942768.79360157,18457929835.887676
2022-05-11 19:31:11.462091,185.0,90942768.79360157,18457929835.887676
2022-05-11 19:31:22.459007,186.0,90945471.49630427,18458432538.590378
2022-05-11 19:31:35.937120,186.0,90945471.49630427,18458432538.590378
2022-05-11 19:31:48.337103,186.0,90945471.49630427,18458432538.590378
2022-05-11 19:32:00.952469,185.0,90945986.02936032,18458527727.205746
2022-05-11 19:32:13.657188,185.0,90945986.02936032,18458527727.205746
2022-05-11 19:32:26.292962,185.0,90995986.02936032,18467777727.205746
2022-05-11 19:32:38.135644,185.0,90997601.84577642,18468076653.242725
2022-05-11 19:32:50.722135,185.0,90997601.84577642,18468076653.242725
2022-05-11 19:33:03.302971,185.0,90997601.84577642,18468076653.242725
2022-05-11 19:33:16.545576,185.0,90997601.84577642,18468076653.242725
2022-05-11 19:33:29.293104,186.0,90997763.05545384,18468106638.242725
2022-05-11 19:33:42.418092,186.0,90998126.43290488,18468174226.44862
2022-05-11 19:33:55.141341,186.0,90998156.43290488,18468179806.44862
2022-05-11 19:34:07.364240,186.0,90998156.43290488,18468179806.44862
2022-05-11 19:34:21.609568,186.0,90998156.43290488,18468179806.44862
2022-05-11 19:34:34.762628,186.0,90998156.43290488,18468179806.44862
2022-05-11 19:34:46.503734,186.0,91014287.07800789,18471180106.43778
2022-05-11 19:34:59.117877,186.0,91014287.07800789,18471180106.43778
2022-05-11 19:35:11.922123,185.0,91019333.09449328,18472113619.487576
2022-05-11 19:35:24.732754,185.0,91019333.09449328,18472113619.487576
2022-05-11 19:35:39.420293,186.0,91019440.621375,18472133619.487576
2022-05-11 19:35:52.400530,186.0,91019440.621375,18472133619.487576
2022-05-11 19:36:05.325452,186.0,91019440.621375,18472133619.487576
2022-05-11 19:36:18.236662,186.0,91019440.621375,18472133619.487576
2022-05-11 19:36:31.435516,185.0,91021591.1590094,18472531468.94994
2022-05-11 19:36:44.366968,186.0,91043398.61794889,18476587656.312683
2022-05-11 19:36:57.472644,186.0,91043398.61794889,18476587656.312683
2022-05-11 19:37:10.966580,186.0,91043936.2523575,18476687656.312687
