,price,volume,value
2022-05-11 19:07:19.565657,2550.0,51987183.03176684,136063098908.09047
2022-05-11 19:07:31.816183,2540.0,51993457.13072606,136079041310.3842
2022-05-11 19:07:45.343353,2530.0,51996635.26463413,136087094821.92555
2022-05-11 19:08:00.506377,2530.0,51999292.35688673,136093812975.62292
2022-05-11 19:08:16.105000,2525.0,52005150.0448188,136108560161.88928
2022-05-11 19:08:31.714207,2520.0,52009974.90234919,136120718829.03815
2022-05-11 19:08:45.877692,2520.0,52010767.22753915,136122715488.51685
2022-05-11 19:08:57.738424,2520.0,52012087.07591695,136126041506.4289
2022-05-11 19:09:09.986610,2535.0,52013683.51392406,136130081555.19598
2022-05-11 19:09:24.286678,2530.0,52013762.72184485,136130281951.23558
2022-05-11 19:09:37.259276,2530.0,52016235.07044827,136136532979.9131
2022-05-11 19:09:48.817112,2530.0,52016256.99190404,136136588441.1962
2022-05-11 19:10:01.400834,2535.0,52020725.84854233,136147914992.77428
2022-05-11 19:10:14.059665,2540.0,52021032.34528088,136148693470.64517
2022-05-11 19:10:25.606570,2540.0,52021993.63478994,136151131973.3472
2022-05-11 19:10:36.920201,2545.0,52022782.98195542,136153140582.95522
2022-05-11 19:10:49.070031,2545.0,52022782.98195542,136153140582.95522
2022-05-11 19:11:01.599176,2540.0,52022804.98195542,136153196462.95522
2022-05-11 19:11:14.171101,2540.0,52023972.83675887,136156162814.15598
2022-05-11 19:11:26.267956,2540.0,52024220.87289053,136156792825.9304
2022-05-11 19:11:39.608597,2545.0,52025567.28046436,136160219433.2058
2022-05-11 19:11:51.835676,2545.0,52027351.83692703,136164761129.40329
2022-05-11 19:12:05.065822,2545.0,52051302.36737182,136225931163.3773
2022-05-11 19:12:19.331217,2555.0,52051792.0245749,136227183547.86624
2022-05-11 19:12:33.840777,2560.0,52054258.72262198,136233496780.96834
2022-05-11 19:12:46.744222,2555.0,52060136.14071171,136248533780.42043
2022-05-11 19:12:59.046524,2545.0,52065996.85709193,136263462551.34366
2022-05-11 19:13:11.119937,2545.0,52066764.8582476,136265417114.28484
2022-05-11 19:13:24.646208,2555.0,52070753.53829439,136275637305.02594
2022-05-11 19:13:36.994529,2555.0,52075345.43978825,136287369613.34276
2022-05-11 19:13:49.084502,2555.0,52075424.7483516,136287572246.72212
2022-05-11 19:14:01.863186,2550.0,52082407.32683356,136305403490.93706
2022-05-11 19:14:14.361416,2550.0,52083245.43821952,136307540674.97127
2022-05-11 19:14:27.469031,2550.0,52093147.85168287,136332793707.16231
2022-05-11 19:14:39.973180,2545.0,52103374.97254162,136358821729.74783
2022-05-11 19:14:53.329702,2540.0,52104516.03068532,136361720027.25798
2022-05-11 19:15:06.127529,2545.0,52105370.85445937,136363895212.78056
2022-05-11 19:15:19.556691,2550.0,52106473.13283003,136366703350.22438
2022-05-11 19:15:32.032518,2545.0,52106480.65528603,136366722494.87491
2022-05-11 19:15:45.071329,2550.0,52106873.58259447,136367724459.51143
2022-05-11 19:15:56.519409,2545.0,52107027.87181015,136368117615.76141
2022-05-11 19:16:08.709802,2545.0,52111840.65403677,136380366146.52817
2022-05-11 19:16:21.013366,2540.0,52111953.16558853,136380652025.86963
2022-05-11 19:16:33.453071,2540.0,52114807.9515906,136387902182.3149
2022-05-11 19:16:45.415246,2540.0,52116920.50790344,136393268075.3495
2022-05-11 19:16:58.076541,2540.0,52116920.50790344,136393268075.3495
2022-05-11 19:17:10.259666,2525.0,52122961.86747307,136408540262.91699
2022-05-11 19:17:22.825642,2525.0,52123045.75442959,136408752077.4822
2022-05-11 19:17:36.059561,2525.0,52127175.23388568,136419179013.10883
2022-05-11 19:17:49.352356,2525.0,52127455.06846126,136419885595.41217
2022-05-11 19:18:01.577116,2525.0,52129126.89575915,136424106959.33934
2022-05-11 19:18:13.955436,2520.0,52144242.12404406,136462228524.86307
2022-05-11 19:18:26.445679,2520.0,52148433.12185446,136472786561.88335
2022-05-11 19:18:39.220275,2530.0,52148627.10874306,136473276093.9272
2022-05-11 19:18:52.347426,2535.0,52149019.24139583,136474268199.53871
2022-05-11 19:19:04.523228,2535.0,52149349.63607933,136475104655.50638
2022-05-11 19:19:16.965611,2535.0,52149349.63607933,136475104655.50638
2022-05-11 19:19:28.748339,2525.0,52150460.49048683,136477909562.88531
2022-05-11 19:19:43.100195,2530.0,52152009.55940475,136481821086.90306
2022-05-11 19:19:55.562479,2525.0,52155707.82333565,136491159203.32858
2022-05-11 19:20:07.967466,2520.0,52156045.41469621,136492009933.5572
2022-05-11 19:20:20.639773,2525.0,52160599.54381509,136503487711.72107
2022-05-11 19:20:33.222758,2525.0,52161731.83935227,136506344108.97752
