,price,volume,value
2022-05-11 19:07:08.635247,198.0,98726875.35026295,19648902347.16547
2022-05-11 19:07:21.366161,198.0,98804014.27498773,19664168474.128433
2022-05-11 19:07:33.764711,198.0,98814456.92150757,19666229761.0978
2022-05-11 19:07:47.083382,197.0,98828173.16903234,19668932398.563717
2022-05-11 19:08:03.638037,197.0,99031810.71535888,19709060526.881184
2022-05-11 19:08:18.399919,197.0,99044447.74396081,19711550021.515762
2022-05-11 19:08:33.769723,197.0,99044557.18354493,19711571606.871407
2022-05-11 19:08:47.751423,197.0,99047605.72979242,19712173203.03267
2022-05-11 19:08:59.345671,197.0,99048819.03675602,19712412224.5045
2022-05-11 19:09:11.995098,197.0,99087174.75668612,19719968301.330727
2022-05-11 19:09:26.884358,197.0,99088072.75548892,19720145207.094875
2022-05-11 19:09:39.045997,197.0,99118050.57710741,19726050837.953724
2022-05-11 19:09:50.572589,197.0,99121154.06565043,19726662225.196697
2022-05-11 19:10:03.648311,198.0,99136544.11793713,19729696752.846764
2022-05-11 19:10:15.964661,198.0,99218494.58073612,19745883023.195866
2022-05-11 19:10:27.295277,198.0,99292370.70921738,19760510496.63516
2022-05-11 19:10:38.589067,198.0,99292370.70921738,19760510496.63516
2022-05-11 19:10:50.902033,198.0,99298650.53335132,19761753901.813675
2022-05-11 19:11:03.335727,199.0,99310922.3672836,19764195996.7662
2022-05-11 19:11:15.882750,199.0,99310922.3672836,19764195996.7662
2022-05-11 19:11:28.335549,199.0,99311247.14240922,19764260627.016197
2022-05-11 19:11:41.676316,199.0,99342697.67519979,19770521952.64395
2022-05-11 19:11:53.843594,200.0,99382004.71141693,19778347183.938587
2022-05-11 19:12:07.071514,200.0,99384842.33329433,19778914708.314068
2022-05-11 19:12:21.263920,201.0,99407293.01692641,19783410359.977898
2022-05-11 19:12:35.666633,200.0,99420269.72830467,19786007888.021362
2022-05-11 19:12:48.544690,199.0,99460529.57654198,19794058576.959587
2022-05-11 19:13:00.816358,200.0,99460659.57654198,19794084576.959587
2022-05-11 19:13:13.206157,200.0,99628853.34644452,19827724325.940098
2022-05-11 19:13:26.487223,201.0,99631506.84133942,19828257678.41397
2022-05-11 19:13:38.912334,200.0,99653756.94133942,19832707698.41397
2022-05-11 19:13:50.970014,200.0,99675506.00035393,19837038172.177917
2022-05-11 19:14:03.928823,200.0,99675506.00035393,19837038172.177917
2022-05-11 19:14:16.531043,199.0,99683486.61481448,19838628986.19667
2022-05-11 19:14:28.978914,199.0,99706267.25929683,19843162334.44866
2022-05-11 19:14:42.044674,199.0,99721373.63807943,19846172753.8264
2022-05-11 19:14:55.159871,200.0,99723110.8807679,19846518694.8264
2022-05-11 19:15:08.014410,200.0,99729007.80487289,19847697979.6474
2022-05-11 19:15:21.188362,200.0,99747748.54432489,19851446127.5378
2022-05-11 19:15:34.129677,200.0,99749273.54932489,19851751128.5378
2022-05-11 19:15:46.808067,200.0,99774439.94079383,19856772754.110683
2022-05-11 19:15:58.034226,200.0,99776822.03612196,19857247803.175987
2022-05-11 19:16:10.541125,200.0,99776822.03612196,19857247803.175987
2022-05-11 19:16:22.609942,200.0,99776922.03612196,19857267803.175987
2022-05-11 19:16:35.431640,200.0,99776922.03612196,19857267803.175987
2022-05-11 19:16:47.290415,199.0,99779038.43812197,19857688967.173985
2022-05-11 19:16:59.844262,199.0,99779038.43812197,19857688967.173985
2022-05-11 19:17:12.071779,199.0,99780656.98581041,19858012565.70167
2022-05-11 19:17:24.752585,199.0,99780656.98581041,19858012565.70167
2022-05-11 19:17:38.140858,199.0,99800656.98581041,19861992565.70167
2022-05-11 19:17:51.025254,199.0,99800656.98581041,19861992565.70167
2022-05-11 19:18:03.691702,200.0,99800933.14081042,19862047796.70167
2022-05-11 19:18:15.678220,200.0,99800933.14081042,19862047796.70167
2022-05-11 19:18:28.208649,199.0,99800959.45188908,19862053032.606327
2022-05-11 19:18:41.163550,199.0,99800959.45188908,19862053032.606327
2022-05-11 19:18:54.117262,199.0,99801948.3933158,19862249831.950245
2022-05-11 19:19:06.863914,199.0,99801948.3933158,19862249831.950245
2022-05-11 19:19:18.697523,199.0,99801948.3933158,19862249831.950245
2022-05-11 19:19:31.615098,199.0,99823354.38527656,19866509624.350437
2022-05-11 19:19:44.802392,199.0,99857867.18065536,19873377670.630817
2022-05-11 19:19:57.478836,199.0,99857917.43191165,19873387670.630817
2022-05-11 19:20:09.872025,199.0,99857967.43191165,19873397620.630817
2022-05-11 19:20:22.986195,199.0,99857967.43191165,19873397620.630817
2022-05-11 19:20:34.878062,199.0,99858467.43191165,19873497120.630817
2022-05-11 19:20:47.264011,199.0,99858718.68819304,19873547120.630817
2022-05-11 19:20:59.171192,199.0,99869609.35662016,19875714363.64781
2022-05-11 19:21:10.923888,199.0,99869609.35662016,19875714363.64781
2022-05-11 19:21:22.999213,198.0,99870556.12429693,19875901823.647816
2022-05-11 19:21:35.295009,198.0,99883122.86153439,19878390037.62083
2022-05-11 19:21:47.659474,198.0,99883122.86153439,19878390037.62083
2022-05-11 19:21:59.086729,199.0,99883252.86153439,19878415907.62083
2022-05-11 19:22:11.447834,199.0,99883252.86153439,19878415907.62083
2022-05-11 19:22:23.310802,198.0,99883375.25153437,19878440140.840828
2022-05-11 19:22:36.074604,198.0,99948521.27666,19891340057.840828
2022-05-11 19:22:48.503444,198.0,99949757.08916,19891584748.715828
2022-05-11 19:23:01.059475,198.0,99950992.90166,19891829439.590828
2022-05-11 19:23:14.084794,198.0,99950992.90166,19891829439.590828
