,price,volume,value
2022-05-11 19:07:15.375008,2760.0,9743531.61848193,29127388711.49476
2022-05-11 19:07:27.859064,2760.0,9743531.61848193,29127388711.49476
2022-05-11 19:07:40.865673,2750.0,9743670.45856843,29127770531.560513
2022-05-11 19:07:53.762681,2750.0,9744003.7745915,29128687150.623955
2022-05-11 19:08:11.343484,2750.0,9744384.33306694,29129733686.431416
2022-05-11 19:08:26.192941,2750.0,9744508.60943057,29130075446.4314
2022-05-11 19:08:41.528844,2750.0,9752416.08037018,29151820991.515327
2022-05-11 19:08:54.001365,2745.0,9752425.44685268,29151846712.50979
2022-05-11 19:09:05.649532,2750.0,9754302.2016878,29157005885.513992
2022-05-11 19:09:19.281888,2750.0,9755052.95334364,29159070335.17291
2022-05-11 19:09:33.688981,2755.0,9756052.95334364,29161825335.17291
2022-05-11 19:09:45.157295,2750.0,9756058.58187494,29161840813.633984
2022-05-11 19:09:56.989085,2750.0,9756068.69991879,29161868638.25457
2022-05-11 19:10:10.339569,2760.0,9757109.17264606,29164733070.254562
2022-05-11 19:10:22.357947,2760.0,9758467.30076201,29168481503.854588
2022-05-11 19:10:33.141238,2760.0,9758669.921174,29169040736.191677
2022-05-11 19:10:44.931708,2760.0,9758669.921174,29169040736.191677
2022-05-11 19:10:58.004178,2760.0,9759209.359147,29170529584.997158
2022-05-11 19:11:10.111551,2760.0,9759209.359147,29170529584.997158
2022-05-11 19:11:22.324353,2770.0,9759327.47508903,29170856675.57687
2022-05-11 19:11:35.527087,2775.0,9759505.69323863,29171351230.942013
2022-05-11 19:11:48.017050,2775.0,9759505.69323863,29171351230.942013
2022-05-11 19:12:00.823807,2785.0,9759938.85019118,29172557573.054863
2022-05-11 19:12:15.230970,2795.0,9760120.09555153,29173064153.83704
2022-05-11 19:12:29.444398,2795.0,9765260.77156808,29187433193.408768
2022-05-11 19:12:42.706832,2790.0,9766189.82479907,29190025251.92323
2022-05-11 19:12:55.166060,2790.0,9766215.4107516,29190096636.730785
2022-05-11 19:13:07.197982,2790.0,9766215.4107516,29190096636.730785
2022-05-11 19:13:20.634250,2795.0,9766859.44781992,29191896773.836742
2022-05-11 19:13:32.851111,2795.0,9767955.27271605,29194959604.421425
2022-05-11 19:13:45.645166,2795.0,9768028.02256652,29195162940.25349
2022-05-11 19:13:57.706632,2785.0,9769760.66712741,29199991939.584957
2022-05-11 19:14:10.301527,2780.0,9769789.56169134,29200072366.94396
2022-05-11 19:14:23.494950,2770.0,9769823.31279646,29200165857.50514
2022-05-11 19:14:35.987299,2775.0,9770003.81821162,29200666760.032207
2022-05-11 19:14:49.094984,2775.0,9771223.42234133,29204046576.822056
2022-05-11 19:15:02.064560,2785.0,9771942.84684133,29206050174.054558
2022-05-11 19:15:14.952968,2785.0,9771942.84684133,29206050174.054558
2022-05-11 19:15:27.703809,2795.0,9772050.18136726,29206350174.05453
2022-05-11 19:15:40.912359,2795.0,9772050.18136726,29206350174.05453
2022-05-11 19:15:52.621514,2785.0,9772454.42107958,29207476017.568066
