,price,volume,value
2022-05-11 19:07:10.421056,88.2,6037371628.519996,563083172292.218
2022-05-11 19:07:23.181615,88.1,6037607137.989757,563103943397.7042
2022-05-11 19:07:35.714334,87.9,6038390691.661837,563172892467.3109
2022-05-11 19:07:48.638319,87.8,6038934821.589998,563220704974.8584
2022-05-11 19:08:05.624619,87.8,6039412735.234755,563262713188.604
2022-05-11 19:08:20.377458,87.9,6039438735.3223295,563264996353.6431
2022-05-11 19:08:35.304042,87.7,6039841812.467694,563300362302.8876
2022-05-11 19:08:49.322071,87.6,6040012340.238876,563315308546.7156
2022-05-11 19:09:00.840405,87.6,6040247690.943299,563335928565.5728
2022-05-11 19:09:13.868866,87.7,6041289522.538877,563427266492.1014
2022-05-11 19:09:28.868990,87.8,6041972611.779022,563487231285.0336
2022-05-11 19:09:40.527448,87.8,6042015186.747958,563490973296.924
2022-05-11 19:09:52.404713,88.0,6042229886.2540245,563509878243.6228
2022-05-11 19:10:05.172431,88.1,6042884136.100231,563567495141.7231
2022-05-11 19:10:17.492011,88.1,6043095910.457892,563586152392.6727
2022-05-11 19:10:28.746277,88.3,6043646556.053395,563634715532.6194
2022-05-11 19:10:39.993085,88.3,6043700088.796924,563639440131.0676
2022-05-11 19:10:52.789083,88.2,6044033428.122081,563668868804.3748
2022-05-11 19:11:04.713438,88.3,6044111033.859572,563675720560.7195
2022-05-11 19:11:17.460222,88.4,6044368649.675991,563698484983.9531
2022-05-11 19:11:30.054737,88.7,6045075942.610479,563761174852.3131
2022-05-11 19:11:43.304293,88.7,6045394656.385881,563789480766.1646
2022-05-11 19:11:55.401477,89.1,6046594280.508744,563896148765.5599
2022-05-11 19:12:09.537006,89.1,6047324835.78766,563961241664.2887
2022-05-11 19:12:23.102669,89.4,6048710589.346291,564085163948.923
2022-05-11 19:12:37.582689,89.3,6049512204.427892,564156866530.9764
2022-05-11 19:12:50.222537,89.0,6049719709.448534,564175345986.7672
2022-05-11 19:13:02.360315,89.1,6049987603.648432,564199193261.2268
2022-05-11 19:13:15.212886,89.5,6050416826.728627,564237478051.5135
2022-05-11 19:13:28.074583,89.6,6051078492.847899,564296760613.8606
2022-05-11 19:13:40.543415,89.6,6052222434.603534,564399226071.9409
2022-05-11 19:13:52.495309,89.4,6053034493.016764,564471935864.0984
2022-05-11 19:14:05.438021,89.2,6053939824.19913,564552718760.9845
2022-05-11 19:14:18.223567,89.0,6054184163.695606,564574481514.5487
2022-05-11 19:14:30.582509,88.9,6054584183.351743,564610029865.4679
2022-05-11 19:14:43.735027,89.2,6054866000.774205,564635109204.7361
2022-05-11 19:14:57.240572,89.2,6055345179.232947,564677849483.4852
