,price,volume,value
2022-05-11 19:07:10.784485,640.0,115090970.83397686,81877424285.89455
2022-05-11 19:07:23.406713,639.0,115099655.89516144,81882974767.69148
2022-05-11 19:07:35.924651,640.0,115100974.04748236,81883817310.69794
2022-05-11 19:07:48.850172,639.0,115113259.92248236,81891667616.82294
2022-05-11 19:08:06.094954,638.0,115116779.28877056,81893913007.5148
2022-05-11 19:08:20.814870,637.0,115147626.09070283,81913562420.34567
2022-05-11 19:08:35.638057,637.0,115154001.78212006,81917623735.77844
2022-05-11 19:08:49.534505,638.0,115154069.78212006,81917667072.77844
2022-05-11 19:09:01.023926,638.0,115155978.39606705,81918884768.47662
2022-05-11 19:09:14.308053,636.0,115170344.00330155,81928021670.69296
2022-05-11 19:09:29.065557,638.0,115170394.00330155,81928053570.69296
2022-05-11 19:09:40.708711,638.0,115201741.90330155,81948053530.89296
2022-05-11 19:09:52.690813,639.0,115228776.90498795,81965305826.96887
2022-05-11 19:10:05.413721,640.0,115229423.79809378,81965719272.81783
2022-05-11 19:10:17.689320,640.0,115230295.6651355,81966277267.72453
2022-05-11 19:10:29.005151,640.0,115230295.6651355,81966277267.72453
2022-05-11 19:10:40.233983,641.0,115230393.41813108,81966339927.39468
2022-05-11 19:10:52.969332,641.0,115231266.90487707,81966899832.39886
2022-05-11 19:11:17.731550,642.0,115266861.61200388,81989742762.47145
2022-05-11 19:11:30.310395,643.0,115285615.67207327,82001800270.393
2022-05-11 19:11:43.498643,644.0,115295269.00614575,82008012954.80463
2022-05-11 19:11:55.597493,646.0,115314373.16741517,82020332981.71167
2022-05-11 19:12:09.763015,646.0,115318240.87617671,82022832336.8763
2022-05-11 19:12:23.346504,650.0,115376320.74978775,82060539966.51675
2022-05-11 19:12:37.942700,647.0,115426323.80704746,82092989101.37897
2022-05-11 19:12:50.493001,648.0,115436215.51185079,82099397434.09154
2022-05-11 19:13:02.616300,645.0,115459637.58529305,82114504681.46179
2022-05-11 19:13:15.620525,651.0,115472577.5941998,82122912576.06068
2022-05-11 19:13:28.319028,652.0,115491636.79466093,82135339174.76132
2022-05-11 19:13:40.758130,651.0,115512684.15879573,82149035733.04546
2022-05-11 19:13:52.813312,648.0,115518704.99724832,82152937236.36275
2022-05-11 19:14:05.681132,648.0,115518704.99724832,82152937236.36275
2022-05-11 19:14:18.406009,645.0,115523559.90029153,82156068648.8256
2022-05-11 19:14:30.763077,645.0,115523559.90029153,82156068648.8256
2022-05-11 19:14:44.006565,647.0,115528934.64981148,82159538595.6077
2022-05-11 19:14:57.573681,650.0,115542652.88047145,82168458977.11427
2022-05-11 19:15:09.762015,653.0,115544944.24655093,82169955116.24353
2022-05-11 19:15:22.878196,654.0,115554966.53094044,82176509384.42387
2022-05-11 19:15:35.995580,652.0,115555398.74237454,82176791186.2789
2022-05-11 19:15:48.600871,649.0,115574424.79869996,82189164803.15254
2022-05-11 19:15:59.998938,649.0,115597123.20976946,82203856339.79602
2022-05-11 19:16:12.552156,648.0,115599213.13866946,82205209425.7232
2022-05-11 19:16:24.303703,648.0,115601366.5758347,82206604853.00629
2022-05-11 19:16:37.060938,650.0,115605010.26480538,82208969761.46924
2022-05-11 19:16:49.390565,647.0,115608248.00867614,82211071583.41328
2022-05-11 19:17:01.705294,647.0,115609830.54955092,82212095487.35927
2022-05-11 19:17:13.971227,646.0,115610788.90455092,82212714584.68927
2022-05-11 19:17:26.882327,647.0,115611213.70055231,82212989393.38686
2022-05-11 19:17:40.018426,647.0,115618527.38009883,82217721344.05347
2022-05-11 19:17:52.683776,648.0,115619257.87999883,82218194707.98866
2022-05-11 19:18:05.338579,647.0,115621594.73982468,82219707041.71086
2022-05-11 19:18:17.821968,648.0,115623909.14082468,82221206773.55887
2022-05-11 19:18:30.308014,648.0,115625353.14082468,82222142485.55887
2022-05-11 19:18:43.047176,650.0,115626628.02514233,82222969227.88065
2022-05-11 19:18:56.259131,647.0,115626983.16711763,82223199622.02261
2022-05-11 19:19:08.840984,647.0,115626983.16711763,82223199622.02261
2022-05-11 19:19:20.388063,647.0,115626983.16711763,82223199622.02261
2022-05-11 19:19:34.465416,645.0,115645102.99862419,82234889561.72144
2022-05-11 19:19:46.989683,644.0,115648762.21667565,82237246253.18533
2022-05-11 19:19:59.289942,642.0,115654007.82922947,82240616535.75911
2022-05-11 19:20:11.697845,642.0,115654007.82922947,82240616535.75911
2022-05-11 19:20:25.060094,642.0,115654007.82922947,82240616535.75911
2022-05-11 19:20:36.843381,646.0,115655445.82922947,82241545483.75911
2022-05-11 19:20:49.195927,645.0,115655855.81052949,82241809921.6976
2022-05-11 19:21:00.802934,645.0,115731633.90622188,82290686793.4192
2022-05-11 19:21:12.542915,645.0,115742090.05788721,82297420865.16919
2022-05-11 19:21:24.850847,645.0,115742090.05788721,82297420865.16919
2022-05-11 19:21:37.074442,645.0,115742090.05788721,82297420865.16919
2022-05-11 19:21:49.246446,645.0,115742425.4558684,82297637196.86707
2022-05-11 19:22:00.999417,644.0,115745959.45915613,82299916478.98764
2022-05-11 19:22:13.168419,644.0,115745959.45915613,82299916478.98764
2022-05-11 19:22:24.971149,644.0,115745959.45915613,82299916478.98764
2022-05-11 19:22:38.128188,647.0,115746270.01816233,82300117255.38515
2022-05-11 19:22:50.329959,644.0,115746735.85667162,82300417721.22365
2022-05-11 19:23:02.887554,644.0,115746735.85667162,82300417721.22365
2022-05-11 19:23:16.154907,644.0,115748327.99650395,82301443059.27567
2022-05-11 19:23:29.345346,642.0,115825819.07063586,82351193665.23839
2022-05-11 19:23:42.031260,642.0,115825916.82363142,82351256422.66153
2022-05-11 19:23:54.489294,647.0,115835147.23611756,82357226225.23509
2022-05-11 19:24:07.400507,647.0,115835627.99844477,82357537278.46078
2022-05-11 19:24:20.907549,647.0,115838539.04109842,82359420723.0577
2022-05-11 19:24:33.748581,647.0,115840819.36209375,82360895965.94168
2022-05-11 19:24:46.751979,645.0,115840832.98607194,82360904753.40762
2022-05-11 19:24:59.410010,645.0,115840832.98607194,82360904753.40762
2022-05-11 19:25:12.402732,645.0,115840832.98607194,82360904753.40762
2022-05-11 19:25:25.165896,641.0,115843505.78394753,82362618026.84587
2022-05-11 19:25:38.243844,641.0,115845150.82198873,82363672496.23029
2022-05-11 19:25:50.205743,640.0,115845774.84694971,82364072184.21779
2022-05-11 19:26:02.764480,640.0,115847419.88499092,82365125008.56416
2022-05-11 19:26:16.402868,641.0,115859013.38499092,82372557067.06416
2022-05-11 19:26:28.471460,642.0,115859638.38499092,82372958317.06416
2022-05-11 19:26:41.990482,642.0,115859973.85899091,82373173691.37216
2022-05-11 19:26:54.856021,643.0,115860596.91218047,82373574314.57281
2022-05-11 19:27:07.301650,641.0,115864083.62991162,82375813267.6522
2022-05-11 19:27:20.120847,642.0,115864644.67190228,82376173456.61021
2022-05-11 19:27:32.745726,642.0,115864706.19838203,82376212956.61021
2022-05-11 19:27:45.098467,643.0,115868099.5115919,82378394857.00415
2022-05-11 19:27:58.858585,642.0,115868866.38275754,82378887188.2925
2022-05-11 19:28:11.690224,642.0,115868866.38275754,82378887188.2925
2022-05-11 19:28:24.219592,643.0,115869111.37657455,82379044719.31683
2022-05-11 19:28:36.932085,643.0,115869111.37657516,82379044719.31721
2022-05-11 19:28:49.463937,642.0,115873531.21204904,82381883636.93031
2022-05-11 19:29:01.364096,642.0,115873531.21204904,82381883636.93031
2022-05-11 19:29:14.075338,641.0,115874090.87992126,82382242384.0364
2022-05-11 19:29:26.938326,643.0,115877655.3446431,82384534334.85255
2022-05-11 19:29:40.718722,644.0,115878590.22122495,82385136395.37126
2022-05-11 19:29:52.750582,644.0,115878590.22122495,82385136395.37126
2022-05-11 19:30:04.887373,641.0,115879417.69498187,82385666806.04945
2022-05-11 19:30:17.526853,641.0,115889075.31411174,82391858269.3387
2022-05-11 19:30:30.353877,642.0,115891250.37983136,82393254661.5307
2022-05-11 19:30:42.663432,642.0,115892410.36131111,82393999369.64069
2022-05-11 19:30:55.704571,642.0,115892410.36131111,82393999369.64069
2022-05-11 19:31:08.463951,642.0,115899062.54767898,82398270073.28886
2022-05-11 19:31:19.542920,643.0,115900617.75763232,82399270073.28886
2022-05-11 19:31:32.808888,643.0,115900773.27862765,82399370073.28886
2022-05-11 19:31:45.038019,642.0,115901889.14146116,82400086457.22797
2022-05-11 19:31:58.185031,644.0,115902094.64654861,82400218672.56204
2022-05-11 19:32:10.643634,644.0,115903943.54390885,82401409362.46204
2022-05-11 19:32:23.144105,643.0,115912017.92900202,82406605850.46204
2022-05-11 19:32:34.683989,643.0,115912640.01298334,82407005850.46204
2022-05-11 19:32:47.327089,643.0,115913564.46166345,82407600270.96335
2022-05-11 19:32:59.504437,643.0,115913564.46166345,82407600270.96335
2022-05-11 19:33:13.533349,643.0,115913564.46166345,82407600270.96335
2022-05-11 19:33:26.145545,642.0,115917160.46166345,82409908902.96335
2022-05-11 19:33:39.485667,642.0,115920711.96924937,82412188970.8335
2022-05-11 19:33:51.830526,643.0,115920798.36893833,82412244525.83351
2022-05-11 19:34:04.116021,642.0,115921078.36893833,82412424285.83351
2022-05-11 19:34:17.598265,642.0,115921078.36893833,82412424285.83351
2022-05-11 19:34:31.733219,641.0,115925950.1758942,82415547114.09222
2022-05-11 19:34:43.729417,643.0,115927505.38584754,82416547114.09221
2022-05-11 19:34:56.010893,643.0,115927505.38584754,82416547114.09221
